"gene","module","score"
"ALB",1,0.902105946065595
"APOE",1,0.835077340726705
"APOA1",1,0.804829704181004
"AMBP",1,0.800528087049254
"SERPINA1",1,0.777375837030256
"VTN",1,0.759533564998924
"APOC3",1,0.758103220967605
"CLU",1,0.748972394310759
"APOA2",1,0.748791108444765
"MT1G",1,0.745278085499867
"AGT",1,0.739928849011262
"TTR",1,0.734021044592175
"AFP",1,0.73337627713282
"APOC1",1,0.716251990386682
"FTL",1,0.701540208591311
"DLK1",1,0.693926473222081
"MT1E",1,0.684295884156343
"RPLP1",1,0.684156202273083
"RBP4",1,0.672641749606055
"FGB",1,0.67207706818467
"FABP1",1,0.666046448941428
"AHSG",1,0.665910409492401
"MT1H",1,0.663054251349517
"DHCR24",1,0.656288243979553
"MT2A",1,0.655982932907503
"IGF2",1,0.655432722328372
"APOH",1,0.653877074724222
"APOM",1,0.653700415214957
"PRAP1",1,0.637626797516389
"HBA2",1,0.62840636545553
"FGA",1,0.621850739459063
"PEBP1",1,0.621290011298489
"HBA1",1,0.607872746864307
"TPT1",1,0.607553185807204
"TMBIM6",1,0.60603890500986
"SEPP1",1,0.589512328888802
"GAPDH",1,0.587107101733351
"ITIH2",1,0.58048451116945
"SERPINC1",1,0.575371943237649
"MT1F",1,0.574292403909972
"FGG",1,0.57373330524921
"APOB",1,0.56022974785299
"HBG2",1,0.558615747844428
"EEF2",1,0.550980291146851
"RPLP0",1,0.548770394015689
"CTSD",1,0.541613418122831
"HBG1",1,0.536607207879481
"MT1X",1,0.527613370991008
"ALDOB",1,0.526559865762343
"P4HB",1,0.525752659774642
"SCD",1,0.525213682602784
"TF",1,0.507271055750133
"PSAP",1,0.504683491885068
"PEG10",1,0.50287326676
"TM7SF2",1,0.497482970530647
"CALR",1,0.494155629603514
"AL590714.1",1,0.490967967058766
"PABPC1",1,0.488487516112121
"COL2A1",1,0.482040482632645
"SERPINA5",1,0.478758254131545
"A2M",1,0.472100578190351
"C3",1,0.469140855072209
"RPLP2",1,0.468935172099422
"GSN",1,0.466102013063526
"ACTG1",1,0.463332687338572
"CD63",1,0.461430172547416
"DHCR7",1,0.456713149940708
"ITIH1",1,0.45191313119372
"ANGPTL3",1,0.44310219833857
"GNB2L1",1,0.440105918339478
"METTL7A",1,0.436662081059904
"FAU",1,0.436462133839624
"DUSP9",1,0.433537196391409
"PPIB",1,0.43290615449428
"SERPINA4",1,0.421169263627527
"UBB",1,0.404318039557077
"APLP2",1,0.403896060765807
"MYL6",1,0.403319906934647
"SERPIND1",1,0.402439427980215
"RDH11",1,0.399339067307459
"HSP90B1",1,0.398760987622552
"ITM2B",1,0.396581564543025
"CTSB",1,0.388698543811215
"SERF2",1,0.388068742181188
"PTMS",1,0.384917662601825
"TUBA1B",1,0.384466206321563
"RARRES2",1,0.382151228730969
"GATM",1,0.380243374346074
"HBM",1,0.379847540766295
"PFN1",1,0.379158568690506
"HSPB1",1,0.377819868616686
"FXYD1",1,0.377560275765342
"B2M",1,0.375053190710598
"PGRMC1",1,0.372997412941699
"GNAS",1,0.372335013310311
"AMN",1,0.370873153092138
"HSP90AA1",1,0.370331054589213
"CCND1",1,0.369645424518058
"SERPING1",1,0.369322207104248
"ITIH3",1,0.36821312968267
"SERPINA6",1,0.365458732397114
"TMEM97",1,0.365247042944542
"UBA52",1,0.36264954003147
"GPX4",1,0.362186191661031
"HPX",1,0.361592933264647
"AHSP",1,0.360418946757332
"TUBB",1,0.358914473400251
"SDC1",1,0.358526118928295
"GSTP1",1,0.357982533358858
"TMEM176A",1,0.355573581279831
"CANX",1,0.354883260783543
"NUPR1",1,0.354558949656987
"EBP",1,0.353957867688944
"CYP4A11",1,0.351758404203559
"EEF1B2",1,0.351444951340119
"SERPINF2",1,0.35105172948161
"GAMT",1,0.350419765459973
"CEBPA",1,0.349766064342743
"TMEM199",1,0.349108338130528
"SIGMAR1",1,0.347900005388672
"ECH1",1,0.347613833354279
"KNG1",1,0.347525240553582
"TST",1,0.345674317519568
"FXYD2",1,0.340831722963753
"TMSB10",1,0.340018189998989
"ASGR2",1,0.339766476050047
"CST3",1,0.338781229714532
"PRDX1",1,0.337949226896936
"GPX3",1,0.337921399068603
"GLUL",1,0.337535682735596
"CFL1",1,0.336872712396626
"HSP90AB1",1,0.334282840722723
"EEF1A1",1,0.332883935113452
"FADS1",1,0.332764432808778
"COX6B1",1,0.332315734235018
"COX4I1",1,0.332024316176338
"ATF5",1,0.33185665880856
"KRT8",1,0.330122410036408
"BCAM",1,0.329016173697808
"C2",1,0.327491670295743
"SERPINF1",1,0.327402519577796
"HNRNPA1",1,0.319433590639953
"PRDX3",1,0.319071483294351
"GC",1,0.316975851480831
"PDIA4",1,0.316495216767459
"DHRS7",1,0.316492782644856
"FADS2",1,0.316350079212188
"H1F0",1,0.314873987974895
"HRG",1,0.314762058279062
"ACTB",1,0.312679628287388
"COX8A",1,0.310250710208893
"DBI",1,0.308230555069137
"MARCKS",1,0.306976964935038
"ZNHIT1",1,0.306346678472996
"SSR4",1,0.305762293441971
"PRDX2",1,0.305385716550416
"ARL6IP1",1,0.305286266226198
"SLC25A1",1,0.30474512150944
"SC5D",1,0.304691075621452
"PCYOX1",1,0.304401630454469
"HSPA5",1,0.301837292957321
"NUCB1",1,0.300699047434913
"FAM213A",1,0.300654778942193
"MDK",1,0.300516309711503
"CD164",1,0.300243254429569
"TXN",1,0.298832926083093
"EPHX1",1,0.298664021109948
"ORMDL3",1,0.298122403922721
"REEP6",1,0.295677043012976
"TPI1",1,0.295583257934158
"BEX1",1,0.295132146310371
"GLTSCR2",1,0.294604326246569
"KRT18",1,0.292551199502144
"COX6C",1,0.292434623709481
"NDUFB9",1,0.290987826098742
"BSG",1,0.290897328520983
"MZT2B",1,0.290878449693222
"KDELR1",1,0.289728720702536
"HLA-A",1,0.289494470151941
"HBB",1,0.287320343259524
"QPRT",1,0.286846171388265
"SERPINA3",1,0.286715701582151
"GJB1",1,0.286282946250781
"HBZ",1,0.285767474888902
"GSTA1",1,0.285508325567018
"TRAM1",1,0.284611191167078
"CERS2",1,0.284586502903981
"DDT",1,0.282464754512764
"MLEC",1,0.282319008465022
"UBC",1,0.281867667823292
"COX7C",1,0.281179397795213
"CFB",1,0.281109609059597
"TMED2",1,0.2799926927979
"IDI1",1,0.278800860258328
"HINT1",1,0.278678506445978
"ALDH6A1",1,0.278589253228041
"F10",1,0.278556984343969
"PDIA6",1,0.2776719961389
"RRBP1",1,0.276025005101485
"TMED9",1,0.275678040791007
"CFHR1",1,0.274567707302077
"LMAN2",1,0.274304572502036
"CKAP4",1,0.273598902065432
"CD302",1,0.272695820801172
"UQCR11",1,0.27236198449256
"H1FX",1,0.271817824365803
"OAZ1",1,0.270437726502153
"POLR2L",1,0.270359632087258
"IGF2R",1,0.270357321584689
"EIF1",1,0.270245250705494
"AGPAT2",1,0.269894824767225
"UQCRQ",1,0.268818702398656
"SEPHS2",1,0.26753137874465
"TMEM176B",1,0.267132066993015
"RPN2",1,0.26654682971164
"COX5B",1,0.266305416670564
"ATP5I",1,0.265099142649543
"EDF1",1,0.264423002248158
"ATP5G3",1,0.263377014237031
"TCEAL8",1,0.26242113214656
"NDRG2",1,0.262188590921127
"HABP2",1,0.26167470274926
"SOD1",1,0.261100466892885
"NDUFB7",1,0.259198607896748
"CIDEB",1,0.258284266282722
"CYP3A7",1,0.258065421502954
"FTH1",1,0.257807240229492
"SAA4",1,0.257453515826044
"FKBP2",1,0.257300693352587
"PFDN5",1,0.256580588600202
"IGSF1",1,0.255840683411022
"ATP5E",1,0.255807707764871
"EIF5A",1,0.255453509090672
"HFE2",1,0.255300722414682
"PRDX5",1,0.253615927320691
"HSPD1",1,0.253042848585317
"TMEM66",1,0.252797038199745
"SERPINA10",1,0.252119531579574
"SERINC1",1,0.252096816935213
"AZGP1",1,0.252051545321148
