"gene_name","module","kME"
"ALB","blue",0.773875339080381
"APOA1","blue",0.712496289520753
"APOA2","blue",0.691359699302093
"SERPINA1","blue",0.681278103258237
"AHSG","blue",0.671240910261077
"APOE","blue",0.654821593513246
"AFP","blue",0.653491583593885
"APOC3","blue",0.629263413818891
"AMBP","blue",0.603552957358504
"FTL","blue",0.592417753455821
"MT1G","blue",0.559384628137847
"FGB","blue",0.5455216708896
"IGF2","blue",0.542481985354679
"VTN","blue",0.53827445970345
"APOC1","blue",0.52020731489799
"TF","blue",0.508845343348671
"TTR","blue",0.507894813138366
"APOB","blue",0.503334541878323
"RBP4","blue",0.476571766228723
"APOH","blue",0.439517685523727
"AGT","blue",0.435686606881189
"FGA","blue",0.435286847368243
"MT1E","blue",0.434805320237201
"FABP1","blue",0.434079072269443
"SEPP1","blue",0.433547393855048
"MT1H","blue",0.416855640702288
"DHCR24","blue",0.399173661275632
"DLK1","blue",0.398060760120953
"HBA1","blue",0.39669243148434
"FGG","blue",0.39527587768429
"ITIH2","blue",0.382723001542149
"MT2A","blue",0.381466618167354
"HBA2","blue",0.38092746170894
"RPLP1","blue",0.379072187214808
"A2M","blue",0.373430805068693
"APOM","blue",0.372582959417697
"SCD","blue",0.37225272148961
"ALDOB","blue",0.371251318061385
"PEBP1","blue",0.369776746970004
"C3","blue",0.365748174242953
"ITIH1","blue",0.361851517577922
"PRAP1","blue",0.352835468944312
"TPT1","blue",0.346523886311372
"PEG10","blue",0.331494819022483
"SERPINC1","blue",0.327317319992471
"CLU","blue",0.321638983926471
"TMBIM6","blue",0.316890429454821
"GAPDH","blue",0.316685186318433
"TM7SF2","blue",0.301745037604051
"MT1F","blue",0.301411955650881
"COL2A1","blue",0.301180716307368
"SERPINF2","blue",0.293902497021069
"P4HB","blue",0.292919203600514
"CTSD","blue",0.291906857836803
"HBG1","blue",0.290196979179994
"RPLP0","blue",0.288326087445488
"GSN","blue",0.284602962034539
"AL590714.1","blue",0.280098524728513
"EEF2","blue",0.279122508956427
"HMGCS1","blue",0.278354492702424
"KNG1","blue",0.274378625681248
"PABPC1","blue",0.274045128492355
"HBG2","blue",0.272516880607392
"DUSP9","blue",0.272512707282831
"GATM","blue",0.268487994651161
"MT1X","blue",0.268360920287101
"HPX","blue",0.264744238340867
"RPLP2","blue",0.262688443602479
"SERPINA4","blue",0.259644036809602
"PSAP","blue",0.258467375776211
"SERPINA5","blue",0.256018842190238
"CYP3A7","blue",0.253855386625225
"AMN","blue",0.251241468697476
"METTL7A","blue",0.245584717383577
"FADS2","blue",0.241971332056291
"CALR","blue",0.239667807020234
"RDH11","blue",0.23368119326131
"ITIH3","blue",0.231818809377908
"GAMT","blue",0.22825584996714
"DHCR7","blue",0.226737222126802
"TST","blue",0.226210643701797
"PTMS","blue",0.222759011265054
"SERPIND1","blue",0.221605260081593
"GNB2L1","blue",0.221362545101792
