"gene","module","score"
"ALB",1,0.773875339080381
"APOA1",1,0.712496289520753
"APOA2",1,0.691359699302093
"SERPINA1",1,0.681278103258237
"AHSG",1,0.671240910261077
"APOE",1,0.654821593513246
"AFP",1,0.653491583593885
"APOC3",1,0.629263413818891
"AMBP",1,0.603552957358504
"FTL",1,0.592417753455821
"MT1G",1,0.559384628137847
"FGB",1,0.5455216708896
"IGF2",1,0.542481985354679
"VTN",1,0.53827445970345
"APOC1",1,0.52020731489799
"TF",1,0.508845343348671
"TTR",1,0.507894813138366
"APOB",1,0.503334541878323
"RBP4",1,0.476571766228723
"APOH",1,0.439517685523727
"AGT",1,0.435686606881189
"FGA",1,0.435286847368243
"MT1E",1,0.434805320237201
"FABP1",1,0.434079072269443
"SEPP1",1,0.433547393855048
"MT1H",1,0.416855640702288
"DHCR24",1,0.399173661275632
"DLK1",1,0.398060760120953
"HBA1",1,0.39669243148434
"FGG",1,0.39527587768429
"ITIH2",1,0.382723001542149
"MT2A",1,0.381466618167354
"HBA2",1,0.38092746170894
"RPLP1",1,0.379072187214808
"A2M",1,0.373430805068693
"APOM",1,0.372582959417697
"SCD",1,0.37225272148961
"ALDOB",1,0.371251318061385
"PEBP1",1,0.369776746970004
"C3",1,0.365748174242953
"ITIH1",1,0.361851517577922
"PRAP1",1,0.352835468944312
"TPT1",1,0.346523886311372
"PEG10",1,0.331494819022483
"SERPINC1",1,0.327317319992471
"CLU",1,0.321638983926471
"TMBIM6",1,0.316890429454821
"GAPDH",1,0.316685186318433
"TM7SF2",1,0.301745037604051
"MT1F",1,0.301411955650881
"COL2A1",1,0.301180716307368
"SERPINF2",1,0.293902497021069
"P4HB",1,0.292919203600514
"CTSD",1,0.291906857836803
"HBG1",1,0.290196979179994
"RPLP0",1,0.288326087445488
"GSN",1,0.284602962034539
"AL590714.1",1,0.280098524728513
"EEF2",1,0.279122508956427
"HMGCS1",1,0.278354492702424
"KNG1",1,0.274378625681248
"PABPC1",1,0.274045128492355
"HBG2",1,0.272516880607392
"DUSP9",1,0.272512707282831
"GATM",1,0.268487994651161
"MT1X",1,0.268360920287101
"HPX",1,0.264744238340867
"RPLP2",1,0.262688443602479
"SERPINA4",1,0.259644036809602
"PSAP",1,0.258467375776211
"SERPINA5",1,0.256018842190238
"CYP3A7",1,0.253855386625225
"AMN",1,0.251241468697476
"METTL7A",1,0.245584717383577
"FADS2",1,0.241971332056291
"CALR",1,0.239667807020234
"RDH11",1,0.23368119326131
"ITIH3",1,0.231818809377908
"GAMT",1,0.22825584996714
"DHCR7",1,0.226737222126802
"TST",1,0.226210643701797
"PTMS",1,0.222759011265054
"SERPIND1",1,0.221605260081593
"GNB2L1",1,0.221362545101792
"FAU",1,0.219921111277202
"SERPINA6",1,0.219906164270141
"CYP4A11",1,0.219894399313806
"TMEM97",1,0.21955912238912
"ANGPTL3",1,0.218432644409752
"IDI1",1,0.218307862045359
"ALDH6A1",1,0.217230667717972
"RARRES2",1,0.216329075248597
"ATF5",1,0.216278488149354
"GC",1,0.215625768412572
"GLUD1",1,0.213885736574258
"TMEM176B",1,0.213828415697171
"MYL6",1,0.213487689232355
"CTSB",1,0.212867206757222
"UBA52",1,0.206276398559047
"TUBA1B",1,0.205843953386639
"PPIB",1,0.205715104006591
"ITM2B",1,0.205532300746352
"B2M",1,0.205201760223548
"APLP2",1,0.204898373463547
"GNAS",1,0.20484191189253
"NUPR1",1,0.204819129677383
"GLUL",1,0.204781100826132
"EBP",1,0.204764868427752
"GPX3",1,0.204266073829303
"FXYD1",1,0.203952769524893
"FAM213A",1,0.203309610730409
"C2",1,0.202391230358993
"RRBP1",1,0.201671750423522
"DBI",1,0.201046417079244
"AHSP",1,0.199993259276057
"SC5D",1,0.199630724372287
"ASGR2",1,0.198188526205142
"ECH1",1,0.198154224594165
"ACTG1",1,0.19758325219834
"CD63",1,0.197557801209313
"CFHR1",1,0.196774729085013
"MAT1A",1,0.195932812953487
"UBB",1,0.195211573911837
"TUBB",1,0.194927165357377
"FADS1",1,0.194298303327274
"TMEM176A",1,0.193309486653111
"QPRT",1,0.192306048890681
"HBM",1,0.19189714850368
"CANX",1,0.191766026422709
"SERPING1",1,0.191190913860463
"CEBPA",1,0.191074369649644
"EEF1B2",1,0.190430969628152
"GSTA1",1,0.190152695144229
"SERF2",1,0.190018472104184
"CCND1",1,0.189733617526735
"GJB1",1,0.18914865739972
"PRDX1",1,0.187657460407616
"TMEM199",1,0.18755842026759
"HSP90B1",1,0.185742222146809
"ORMDL3",1,0.185552826838277
"PFN1",1,0.184892558102054
"COX6B1",1,0.184243530001433
"SLC13A5",1,0.18415068269019
"GPX4",1,0.183673626555889
"HRSP12",1,0.182472900419293
"SDC1",1,0.182078582765781
"HBZ",1,0.181411680295692
"ACAA1",1,0.181292753756967
"COX8A",1,0.179615081914889
"SERPINF1",1,0.178798053361083
"EPHX1",1,0.178558013768821
"TPI1",1,0.178545961501989
"SLC25A1",1,0.178142243178512
"IGSF1",1,0.177980253182839
"PDIA4",1,0.177956068059206
"PRDX3",1,0.177231893536552
"F12",1,0.177049268192903
"CST3",1,0.176839684822074
"GLO1",1,0.175986127088736
"AGXT",1,0.175039310897029
"PRDX2",1,0.174659325810721
"NDRG2",1,0.174425749978345
"EEF1A1",1,0.17333144461808
"GSTP1",1,0.171996656252771
