"gene_name","module","kME"
"JUN","red",0.529599234022435
"SFTPB","red",0.511538318178038
"CLDN18","red",0.471790699959036
"DUSP1","red",0.429096787086658
"SMARCA5","red",0.419379025261352
"EMP2","red",0.41789394082074
"ICAM4","red",0.406629943580703
"SDPR","red",0.397930941430544
"KRT19","red",0.382756921336948
"AGER","red",0.373576105279095
"CAV1","red",0.372661694300743
"ATP1B1","red",0.372061165727121
"EDN3","red",0.370375295401587
"NDNF","red",0.364340132348666
"ANXA2","red",0.363721869913184
"CD47","red",0.359527641427775
"S100A6","red",0.357973544658931
"C1orf116","red",0.353613662590417
"ST6GALNAC5","red",0.351357281274652
"MSLN","red",0.346509772903804
"CRIP1","red",0.345955227364216
"ICAM1","red",0.339843907752314
"CAV2","red",0.33914531212405
"PDPN","red",0.333065122135212
"H3F3B","red",0.331854183914092
"C1orf198","red",0.316070906114445
"LMO7","red",0.315335595050281
"GJA1","red",0.31510990613733
"BCAM","red",0.315004421310871
"BTG2","red",0.303254674327596
"CLDN4","red",0.299739338779172
"AHNAK","red",0.297082079088696
"SPTBN1","red",0.294304721546352
"KLF5","red",0.291636127714192
"ELF3","red",0.290196601010982
"EFEMP1","red",0.288220744981852
"PTP4A1","red",0.288198758726911
"ITGA3","red",0.284865957484193
"SEPP1","red",0.278861304038623
"BMP3","red",0.277059253162278
"LGALS3","red",0.276109770118924
"TXNIP","red",0.270828814201089
"CD9","red",0.26849663782011
"RNASE1","red",0.268135992739481
"HOPX","red",0.265205242384664
"LMO4","red",0.259963219443109
"DSTN","red",0.259047316187046
"KLF6","red",0.258321710134039
"S100A11","red",0.257655468763908
"MXRA8","red",0.248737178048813
"CCND2","red",0.248636845395297
"PTRF","red",0.247973635893514
"DHCR24","red",0.242561549403457
"PTP4A2","red",0.24029343102894
"STOM","red",0.23803537666674
"FLRT3","red",0.237178354906984
"ARL4C","red",0.233240809805285
"IRF2BPL","red",0.232056516955373
"PLS3","red",0.228165793825523
