"gene","module","score"
"JUN",6,0.529599234022435
"SFTPB",6,0.511538318178038
"CLDN18",6,0.471790699959036
"DUSP1",6,0.429096787086658
"SMARCA5",6,0.419379025261352
"EMP2",6,0.41789394082074
"ICAM4",6,0.406629943580703
"SDPR",6,0.397930941430544
"KRT19",6,0.382756921336948
"AGER",6,0.373576105279095
"CAV1",6,0.372661694300743
"ATP1B1",6,0.372061165727121
"EDN3",6,0.370375295401587
"NDNF",6,0.364340132348666
"ANXA2",6,0.363721869913184
"CD47",6,0.359527641427775
"S100A6",6,0.357973544658931
"C1orf116",6,0.353613662590417
"ST6GALNAC5",6,0.351357281274652
"MSLN",6,0.346509772903804
"CRIP1",6,0.345955227364216
"ICAM1",6,0.339843907752314
"CAV2",6,0.33914531212405
"PDPN",6,0.333065122135212
"H3F3B",6,0.331854183914092
"C1orf198",6,0.316070906114445
"LMO7",6,0.315335595050281
"GJA1",6,0.31510990613733
"BCAM",6,0.315004421310871
"BTG2",6,0.303254674327596
"CLDN4",6,0.299739338779172
"AHNAK",6,0.297082079088696
"SPTBN1",6,0.294304721546352
"KLF5",6,0.291636127714192
"ELF3",6,0.290196601010982
"EFEMP1",6,0.288220744981852
"PTP4A1",6,0.288198758726911
"ITGA3",6,0.284865957484193
"SEPP1",6,0.278861304038623
"BMP3",6,0.277059253162278
"LGALS3",6,0.276109770118924
"TXNIP",6,0.270828814201089
"CD9",6,0.26849663782011
"RNASE1",6,0.268135992739481
"HOPX",6,0.265205242384664
"LMO4",6,0.259963219443109
"DSTN",6,0.259047316187046
"KLF6",6,0.258321710134039
"S100A11",6,0.257655468763908
"MXRA8",6,0.248737178048813
"CCND2",6,0.248636845395297
"PTRF",6,0.247973635893514
"DHCR24",6,0.242561549403457
"PTP4A2",6,0.24029343102894
"STOM",6,0.23803537666674
"FLRT3",6,0.237178354906984
"ARL4C",6,0.233240809805285
"IRF2BPL",6,0.232056516955373
"PLS3",6,0.228165793825523
"EZR",6,0.227224285508666
"CYR61",6,0.226115490718348
"IFT57",6,0.225743638513945
"EFNA1",6,0.225409872645484
"FSTL1",6,0.224230758602975
"CLDN3",6,0.222495966603897
"CYB5A",6,0.216177134512612
"SERPING1",6,0.213192419957363
"AMOTL2",6,0.197711581549864
"CLU",5,0.425875020923953
"BTG1",5,0.403691173077116
"CST3",5,0.374372312247098
"LAMP3",5,0.357985412068505
"ENO1",5,0.34173838779826
"COL1A1",5,0.315826266105063
"C16orf89",5,0.314975234631984
"MLEC",5,0.304726783897794
"VWA1",5,0.295471340811415
"NID2",5,0.291037293946606
"FCGRT",5,0.271623202612197
"CD74",5,0.268342397458334
"CRABP2",5,0.258013089391846
"CDH16",5,0.253784061879948
"IQGAP1",5,0.253702228222967
"PKM",5,0.251678067629611
"ZNF503",5,0.2482550489632
"ODC1",5,0.247121520940564
"BAMBI",5,0.243811462596248
"TKT",5,0.241821776228371
"NAPSA",5,0.23439889745067
"ID2",5,0.232879202892632
"THBS1",5,0.232229741525038
"ID3",5,0.231486817719224
"MEST",5,0.231197421506413
"RRBP1",5,0.229307412554873
"ASPSCR1",5,0.226167858991626
"CALU",5,0.223763469435192
"MMP15",5,0.220366435642024
"SCARB2",5,0.219997303205538
