"gene_name","module","kME"
"CFTR","yellow",0.858829858531486
"SLC4A4","yellow",0.841665691058322
"ATP1B1","yellow",0.777190258235095
"TTYH1","yellow",0.745470828261634
"DCDC2","yellow",0.679528333145674
"ANXA4","yellow",0.676155907982856
"CCND1","yellow",0.675642814861945
"SFRP5","yellow",0.624047587335811
"PDE3A","yellow",0.609717519921431
"BICC1","yellow",0.609576503484
"WWTR1","yellow",0.606232563558084
"ATP1A1","yellow",0.594002939399347
"COL18A1","yellow",0.585098545304654
"ANXA2","yellow",0.551041682375473
"FRMD4A","yellow",0.547230821214707
"NTRK2","yellow",0.541973139065278
"NAALADL2","yellow",0.52901242577851
"AQP1","yellow",0.525884928726281
"LAMA1","yellow",0.525045538923231
"CTGF","yellow",0.518695766270529
"SHANK2","yellow",0.511600340440082
"PLD1","yellow",0.509908303038509
"PPARGC1A","yellow",0.507058598796283
"PKHD1","yellow",0.498988790325851
"WNK2","yellow",0.488001083140602
"SOD3","yellow",0.48456786936208
"ADAMTS16","yellow",0.475877524267387
"HES4","yellow",0.475747283722969
"PPP1R1B","yellow",0.463304081682822
"CALB1","yellow",0.461603135513933
"C14orf105","yellow",0.453161254767062
"NOTCH2NL","yellow",0.444290031304398
"SAT1","yellow",0.434644244897947
"FRAS1","yellow",0.433128154890626
"COL6A2","yellow",0.425698065000367
"NOTCH2","yellow",0.42469190822631
"ID1","yellow",0.421624706334616
"VEPH1","yellow",0.418998622263159
"LYPD6B","yellow",0.4186447392924
"ID2","yellow",0.417083630312108
"NRTN","yellow",0.406182557103245
"FGFR2","yellow",0.405021695348535
"PDGFD","yellow",0.402160078858578
"FGFR3","yellow",0.399106388149831
"LEFTY1","yellow",0.393906217815706
"COL27A1","yellow",0.386659588144092
"MAGI1","yellow",0.382644704617377
"COL6A1","yellow",0.382560013002289
"CAV2","yellow",0.37315794168191
"FAM171A1","yellow",0.373011994790571
"IFFO2","yellow",0.37294616836686
"PCDP1","yellow",0.37230067870077
"KCNJ16","yellow",0.371947200319553
"CYR61","yellow",0.368942486337649
"SDC4","yellow",0.362871537965897
"ACTN4","yellow",0.362496173888229
"KRT19","yellow",0.361579439083155
"CHCHD10","yellow",0.359543972450036
"EXT1","yellow",0.358712273685874
"PTPRK","yellow",0.35750026499272
"NAV2","yellow",0.35164184381403
"ID3","yellow",0.350717805433557
"IGFBP7","yellow",0.345768780807817
"NEDD4L","yellow",0.345425311735465
"HNF1B","yellow",0.344537306605628
"EHF","yellow",0.34085002461486
"SPATS2L","yellow",0.340229286240666
"PTPRG","yellow",0.339076593803527
"WWC1","yellow",0.335727667577846
"NPNT","yellow",0.330900218339945
"NOTCH3","yellow",0.328993096844986
"NBPF10","yellow",0.324420421747968
"SOAT1","yellow",0.322063608750702
"YAP1","yellow",0.321772103315631
"S100A10","yellow",0.311437865409301
"APLP2","yellow",0.307814324995687
"NRARP","yellow",0.306193265726275
"FREM1","yellow",0.302586524782638
"LITAF","yellow",0.301415631425223
"TPM4","yellow",0.299682083946697
"GSTK1","yellow",0.293792188820885
"MYO1E","yellow",0.29251108188016
"GAPDH","yellow",0.291789559463704
"SPEF2","yellow",0.290077835349223
"GALNT10","yellow",0.285804336565392
"RHPN2","yellow",0.283682950441384
"ZHX2","yellow",0.280610016867781
"IER3","yellow",0.28009084300459
"SV2B","yellow",0.27735424674337
"CITED4","yellow",0.273729287614114
"PKNOX2","yellow",0.272020662464307
"STAT1","yellow",0.271408209978817
"ZNF83","yellow",0.269996558628531
"WLS","yellow",0.26959083458055
"GADD45B","yellow",0.268600829268196
"TACC1","yellow",0.262984626537951
"SLC38A1","yellow",0.262134159532302
"ADCY5","yellow",0.260588024709419
"ATP5B","yellow",0.254163971112729
"PDGFC","yellow",0.252445782026624
