"gene","module","score"
"CFTR",5,0.858829858531486
"SLC4A4",5,0.841665691058322
"ATP1B1",5,0.777190258235095
"TTYH1",5,0.745470828261634
"DCDC2",5,0.679528333145674
"ANXA4",5,0.676155907982856
"CCND1",5,0.675642814861945
"SFRP5",5,0.624047587335811
"PDE3A",5,0.609717519921431
"BICC1",5,0.609576503484
"WWTR1",5,0.606232563558084
"ATP1A1",5,0.594002939399347
"COL18A1",5,0.585098545304654
"ANXA2",5,0.551041682375473
"FRMD4A",5,0.547230821214707
"NTRK2",5,0.541973139065278
"NAALADL2",5,0.52901242577851
"AQP1",5,0.525884928726281
"LAMA1",5,0.525045538923231
"CTGF",5,0.518695766270529
"SHANK2",5,0.511600340440082
"PLD1",5,0.509908303038509
"PPARGC1A",5,0.507058598796283
"PKHD1",5,0.498988790325851
"WNK2",5,0.488001083140602
"SOD3",5,0.48456786936208
"ADAMTS16",5,0.475877524267387
"HES4",5,0.475747283722969
"PPP1R1B",5,0.463304081682822
"CALB1",5,0.461603135513933
"C14orf105",5,0.453161254767062
"NOTCH2NL",5,0.444290031304398
"SAT1",5,0.434644244897947
"FRAS1",5,0.433128154890626
"COL6A2",5,0.425698065000367
"NOTCH2",5,0.42469190822631
"ID1",5,0.421624706334616
"VEPH1",5,0.418998622263159
"LYPD6B",5,0.4186447392924
"ID2",5,0.417083630312108
"NRTN",5,0.406182557103245
"FGFR2",5,0.405021695348535
"PDGFD",5,0.402160078858578
"FGFR3",5,0.399106388149831
"LEFTY1",5,0.393906217815706
"COL27A1",5,0.386659588144092
"MAGI1",5,0.382644704617377
"COL6A1",5,0.382560013002289
"CAV2",5,0.37315794168191
"FAM171A1",5,0.373011994790571
"IFFO2",5,0.37294616836686
"PCDP1",5,0.37230067870077
"KCNJ16",5,0.371947200319553
"CYR61",5,0.368942486337649
"SDC4",5,0.362871537965897
"ACTN4",5,0.362496173888229
"KRT19",5,0.361579439083155
"CHCHD10",5,0.359543972450036
"EXT1",5,0.358712273685874
"PTPRK",5,0.35750026499272
"NAV2",5,0.35164184381403
"ID3",5,0.350717805433557
"IGFBP7",5,0.345768780807817
"NEDD4L",5,0.345425311735465
"HNF1B",5,0.344537306605628
"EHF",5,0.34085002461486
"SPATS2L",5,0.340229286240666
"PTPRG",5,0.339076593803527
"WWC1",5,0.335727667577846
"NPNT",5,0.330900218339945
"NOTCH3",5,0.328993096844986
"NBPF10",5,0.324420421747968
"SOAT1",5,0.322063608750702
"YAP1",5,0.321772103315631
"S100A10",5,0.311437865409301
"APLP2",5,0.307814324995687
"NRARP",5,0.306193265726275
"FREM1",5,0.302586524782638
"LITAF",5,0.301415631425223
"TPM4",5,0.299682083946697
"GSTK1",5,0.293792188820885
"MYO1E",5,0.29251108188016
"GAPDH",5,0.291789559463704
"SPEF2",5,0.290077835349223
