"gene_name","module","kME"
"ACSM2A","brown",0.546062403564695
"GHR","brown",0.540764412461099
"SLC22A25","brown",0.528182771673876
"ACSM2B","brown",0.517244710656934
"PLG","brown",0.51200140825054
"AFM","brown",0.510119485319545
"AGMO","brown",0.500957943788442
"SOX5","brown",0.500203088011454
"AL391117.1","brown",0.498267444846869
"EBNA1BP2","brown",0.497980101277289
"DPYS","brown",0.491152536581225
"HPN","brown",0.489844725493669
"ADRA1A","brown",0.489531808529857
"C3","brown",0.48541196495524
"SORBS2","brown",0.484295801500797
"SHROOM3","brown",0.483841064156012
"TF","brown",0.482093995106488
"AR","brown",0.481328245338122
"ADH4","brown",0.48032182924274
"AKR1C8P","brown",0.480314118733516
"SHANK2","brown",0.474293845426325
"PCSK6","brown",0.472276428643571
"SLCO1B1","brown",0.471831283473195
"ASGR1","brown",0.470235856656073
"ALDH1A2","brown",0.47009388598031
"HNF4A","brown",0.46793996967317
"APOB","brown",0.467399043025671
"PAH","brown",0.465554471339826
"CYP2C9","brown",0.463367565603467
"CYP2C18","brown",0.463365662136688
"EHHADH","brown",0.461109394416291
"GPC6","brown",0.460383309660577
"A1CF","brown",0.460297518726565
"SLC22A7","brown",0.460205489320494
"HNF1A-AS1","brown",0.46003035126496
"AC087482.1","brown",0.459777961176771
"CGNL1","brown",0.456711035711453
"COBLL1","brown",0.453426796755202
"FMO3","brown",0.449017423620431
"CUX2","brown",0.448585313974113
"HNF4A-AS1","brown",0.448470013008272
"CA5A","brown",0.447018383936376
"PTGR1","brown",0.445261260281519
"PIK3C2G","brown",0.445072186410538
"CPS1","brown",0.444752999836724
"BDH1","brown",0.44464863005066
"CYP2C8","brown",0.443331357264095
"CYP3A5","brown",0.442410466414429
"AC004160.1","brown",0.441732739175649
"F2","brown",0.44116147040232
"BHMT","brown",0.440660156294405
"SLC22A10","brown",0.439885165019462
"FYB2","brown",0.439641676884031
"HSD17B6","brown",0.438935590881246
"ADH1B","brown",0.437266377625396
"AC018467.1","brown",0.43478482926974
"CYP2E1","brown",0.434764998026167
"KNG1","brown",0.43432654870268
"CFH","brown",0.434282784297965
"DANT2","brown",0.43360853713165
"SLC2A2","brown",0.433084946330405
"FTCD","brown",0.432966437066918
"MLXIPL","brown",0.432354723512664
"GPAM","brown",0.431745740881878
"MAGI1","brown",0.431464467100563
"ZNF385B","brown",0.43086458603717
"F11","brown",0.430648943909508
"AC022784.1","brown",0.429927261775289
"COBL","brown",0.42947261190521
"LINC02532","brown",0.428566276018022
"ECHDC2","brown",0.428379648264869
"PNPLA3","brown",0.428035477996589
"ONECUT1","brown",0.427551880997799
"SLC6A1","brown",0.42634293291769
"UPB1","brown",0.425157745740139
"COL18A1","brown",0.424512522516256
"XYLB","brown",0.424211064699998
"GLYAT","brown",0.424092050860642
"C8A","brown",0.423480189146242
"CECR2","brown",0.42308311513724
"LINC02484","brown",0.423018916588925
"ALB","brown",0.422122027677174
"TFR2","brown",0.422010076865113
"CYP4F3","brown",0.421370129157056
"AC007364.1","brown",0.420752031710195
"RBFOX2","brown",0.420441557033037
"AOX1","brown",0.420223628927717
"THSD4","brown",0.41986629365675
"ABCC2","brown",0.419483449606951
"MAT1A","brown",0.41916150744388
"MLIP","brown",0.419045747201371
"APOH","brown",0.418163516991544
"NOS1AP","brown",0.417820210382193
"LINC01725","brown",0.416954767650295
"ACACB","brown",0.416486385543626
"GAS2","brown",0.413893023127833
"ABCC6","brown",0.413105157390566
"PARD3","brown",0.412597778509649
"ABCB4","brown",0.412561367479686
"PLIN5","brown",0.411329189891315
"RGN","brown",0.410739151246135
"SLC38A4","brown",0.410585948247942
"COL27A1","brown",0.41040817857766
"TSPAN9","brown",0.40960448419236
"NR1H4","brown",0.409476211445642
"SUGCT","brown",0.409237712096028
"EPHX2","brown",0.409056884626145
"AC010280.1","brown",0.407734206606553
"LINC02499","brown",0.406362025362452
"PROX1","brown",0.406192039249178
"HGD","brown",0.406092083439668
"LIPC","brown",0.404744960988392
"FN1","brown",0.404163563131647
"SCP2","brown",0.404159357513876
"DMGDH","brown",0.403591736434914
"BAAT","brown",0.403508656230332
"BHMT2","brown",0.402961430089687
"PFKFB1","brown",0.402675022367896
"EGFR","brown",0.402620606378716
"LINC01818","brown",0.402619938362326
"SERPINF2","brown",0.402566103997452
"ACMSD","brown",0.402025334014337
"ADORA2A-AS1","brown",0.401832450925217
"IL1RAPL2","brown",0.401404334323364
"LINC01687","brown",0.400732886447848
"TENM2","brown",0.3994649987505
"C6","brown",0.399407771984782
"C5","brown",0.399250881382192
"SLC28A1","brown",0.39825597751889
"MIR122HG","brown",0.398203463135807
"OAF","brown",0.39814597884122
"RAPH1","brown",0.397743298268892
"MIR100HG","brown",0.396608385953715
"PTPRK","brown",0.395882702664751
"GC","brown",0.395068769934853
"CYP2C19","brown",0.39482428685353
"SFXN5","brown",0.392897167476536
"PALM2-AKAP2","brown",0.392813503733075
"GLDC","brown",0.391944928994646
"ABCB11","brown",0.39160068238172
"GRB14","brown",0.391219989761648
"ADH6","brown",0.391075577080881
"PROX1-AS1","brown",0.390834673398768
"SLCO1B3","brown",0.390421212717615
"ADGRA3","brown",0.390420410617784
"CPB2","brown",0.390330102612603
"HMGCS2","brown",0.389504287946602
"MIR99AHG","brown",0.388725816026876
"C1R","brown",0.388398243597587
"MAOB","brown",0.38762361051479
"EPB41L5","brown",0.385518728399401
"ABCA6","brown",0.384106688674871
"MGST1","brown",0.383746341487286
"BX284613.2","brown",0.383657728254843
"MYO1B","brown",0.38335187793012
"SLC39A14","brown",0.383222288801887
"ABCG8","brown",0.382694373778216
"CADM1","brown",0.382357636479052
"ATP2B2","brown",0.382097957590681
"CFAP57","brown",0.382083459552209
"KLKB1","brown",0.381865304293625
"LINC02027","brown",0.381821065309
"AL359915.1","brown",0.381763759078882
"MYLK","brown",0.381607214485786
"FGGY","brown",0.381462611963168
"PECR","brown",0.381074878231824
"XDH","brown",0.380885358872131
"AL139383.1","brown",0.380541236084997
"ACOT12","brown",0.379409988841998
"SMOC1","brown",0.378510424370574
"NAV2","brown",0.377864687628499
"MAP3K13","brown",0.377853069900804
"SLC30A10","brown",0.375512274075193
"HPX","brown",0.375488086958238
"C9","brown",0.375231955673504
"AC068631.1","brown",0.375008943052297
"CTNNA3","brown",0.371465073423495
"CFI","brown",0.371191358888148
"C4BPA","brown",0.370646536115913
"AKR1D1","brown",0.37042094923631
"ALDOB","brown",0.370111727659995
"FBXO17","brown",0.370109037295818
"CALD1","brown",0.368687776552179
"TRABD2B","brown",0.367520178318054
"DLC1","brown",0.367381020927478
"PALMD","brown",0.367319138828261
"PLEKHA7","brown",0.367121633406577
"SULT2A1","brown",0.366381224366056
"ZNRF3","brown",0.36633611792583
"CAPN12","brown",0.366022462730754
"F5","brown",0.365726208851964
"NFIB","brown",0.365653195376397
"C4orf19","brown",0.365635489299931
"NR1I2","brown",0.363567881049699
"MARC2","brown",0.363469994166827
"ALDH1L1","brown",0.363327798294447
"TTC6","brown",0.363030598511012
"AC104461.1","brown",0.362877350352795
"SDC2","brown",0.36242072860632
"TEAD1","brown",0.362069140761908
"CYB5A","brown",0.361631545181986
"ABCG5","brown",0.361558494100877
"DMD","brown",0.360669373825948
"CDK14","brown",0.360446775949263
"AL162411.1","brown",0.360305145413823
"SLC41A2","brown",0.360186492189419
"RBP4","brown",0.360075631530171
"C8B","brown",0.359922089504891
"PON3","brown",0.359428762989051
"PPARA","brown",0.359139590047217
"ADH1A","brown",0.359045830873094
"PTPRG","brown",0.359013057153003
"FOXP2","brown",0.358310369261546
"SH3D19","brown",0.358131347676956
"KCNT2","brown",0.357627393289695
"NR5A2","brown",0.357619322355301
"TMEM220-AS1","brown",0.35707682682569
"EXOC3L4","brown",0.356987950115459
"CDH2","brown",0.356899889745968
"FMO5","brown",0.356518841008549
"ACOX2","brown",0.355501771675756
"SLC22A1","brown",0.355417762852729
"ARG1","brown",0.355055632946979
"LINC00907","brown",0.354334069468417
"NTN1","brown",0.354140446775211
"EHBP1","brown",0.353981137320246
"AASS","brown",0.353318087414797
"AKR1C4","brown",0.352955443105075
"GPLD1","brown",0.352127284350339
"APBB2","brown",0.351942655508454
"MYRIP","brown",0.351807082475669
"PBLD","brown",0.351389625168094
"TCEA3","brown",0.351065423449926
"ABCA8","brown",0.350286261287928
"TFPI","brown",0.349901691330279
"TTPA","brown",0.34880996284871
"GCKR","brown",0.34843489752513
"ERBB3","brown",0.348407355727391
"AFMID","brown",0.348324472000298
"GSTA1","brown",0.347494327208082
"LINC01239","brown",0.347185590451104
"UGT2B15","brown",0.346840154586425
"GRTP1","brown",0.346353471572714
"ERRFI1","brown",0.345843023662575
"TSHZ2","brown",0.345624298622046
"MST1","brown",0.345391211706643
"KCND3","brown",0.345088068468256
"AP002026.1","brown",0.344814168901212
"LRP6","brown",0.344633411783185
"ALDH8A1","brown",0.344234675571819
"ITIH4","brown",0.343801319068199
"ITIH2","brown",0.343749421506038
"SLC22A3","brown",0.343684733439387
"F12","brown",0.343396930282091
"MACROD2","brown",0.342958043841749
"TDO2","brown",0.342774307046716
"CFHR3","brown",0.342556597648765
"U91319.1","brown",0.342262328282964
"PON1","brown",0.341258844404772
"DLG2","brown",0.341218899067681
"C4BPB","brown",0.340769643162515
"ENPP1","brown",0.3405202508991
"DNAH14","brown",0.340298769524573
"GDA","brown",0.339916323999826
"DDAH1","brown",0.339186866455123
"FBP1","brown",0.338493205370135
"HAO1","brown",0.338342306391517
"CYP2A6","brown",0.337256239368663
"ADAMTSL3","brown",0.336980140309719
"TENM1","brown",0.336657768332425
"SLC7A2","brown",0.335791984792854
"RAI14","brown",0.335637490968965
"GRB10","brown",0.335427243207779
"MAST4","brown",0.335400518922769
"CNKSR3","brown",0.334215656979086
"SORBS1","brown",0.334139827282007
"ARHGEF28","brown",0.333861334071418
"PDIA5","brown",0.3337054331396
"AC007262.2","brown",0.333293337784089
"GLYATL1","brown",0.332844709146138
"GIPC2","brown",0.332690477719783
"APOC4","brown",0.332501855570395
"AOPEP","brown",0.332224866966001
"GYS2","brown",0.331572270709446
"GFRA1","brown",0.331520774110004
"ASS1","brown",0.33092527122086
"SLC1A1","brown",0.330171172131775
"HPD","brown",0.330138089361528
"AL358232.2","brown",0.32990803289213
"LIPG","brown",0.329768269971977
"MAPT","brown",0.329188499888776
"ABCC9","brown",0.328970238074001
"SGK2","brown",0.328789675950898
"AGXT","brown",0.328713847433588
"CES1","brown",0.328301695222992
"SEC14L2","brown",0.327795993864639
"ATF5","brown",0.327153848828244
"SORD","brown",0.326803435214689
"CFHR4","brown",0.326583335109495
"ANO1","brown",0.326320607390501
"APOC2","brown",0.326231687655978
"SLC27A2","brown",0.3261256314813
"FERMT2","brown",0.325923410407842
"AL023755.1","brown",0.325492080783192
"AC022816.1","brown",0.325007565953331
"C1S","brown",0.324802511556033
"HNF4G","brown",0.32457754726933
"CDH1","brown",0.324281099922411
"AHSG","brown",0.32408553470012
"WDR72","brown",0.323785387258496
"GPR39","brown",0.323735530565946
"APOC1","brown",0.323378850504824
"SLC17A4","brown",0.323301401051332
"CAT","brown",0.322716151315519
"ZKSCAN1","brown",0.322478025172737
"FGG","brown",0.322095108115077
"AZGP1","brown",0.322072251589307
"TMC3-AS1","brown",0.321841952768969
"SLC13A5","brown",0.321791505302831
"AK4","brown",0.321686687468756
"CP","brown",0.320833227066953
"MPDZ","brown",0.319248369059594
"EPHX1","brown",0.31799250671077
"LINC02197","brown",0.317807704146257
"IDO2","brown",0.316937532445647
