"gene","module","score"
"ACSM2A",2,0.546062403564695
"GHR",2,0.540764412461099
"SLC22A25",2,0.528182771673876
"ACSM2B",2,0.517244710656934
"PLG",2,0.51200140825054
"AFM",2,0.510119485319545
"AGMO",2,0.500957943788442
"SOX5",2,0.500203088011454
"AL391117.1",2,0.498267444846869
"EBNA1BP2",2,0.497980101277289
"DPYS",2,0.491152536581225
"HPN",2,0.489844725493669
"ADRA1A",2,0.489531808529857
"C3",2,0.48541196495524
"SORBS2",2,0.484295801500797
"SHROOM3",2,0.483841064156012
"TF",2,0.482093995106488
"AR",2,0.481328245338122
"ADH4",2,0.48032182924274
"AKR1C8P",2,0.480314118733516
"SHANK2",2,0.474293845426325
"PCSK6",2,0.472276428643571
"SLCO1B1",2,0.471831283473195
"ASGR1",2,0.470235856656073
"ALDH1A2",2,0.47009388598031
"HNF4A",2,0.46793996967317
"APOB",2,0.467399043025671
"PAH",2,0.465554471339826
"CYP2C9",2,0.463367565603467
"CYP2C18",2,0.463365662136688
"EHHADH",2,0.461109394416291
"GPC6",2,0.460383309660577
"A1CF",2,0.460297518726565
"SLC22A7",2,0.460205489320494
"HNF1A-AS1",2,0.46003035126496
"AC087482.1",2,0.459777961176771
"CGNL1",2,0.456711035711453
"COBLL1",2,0.453426796755202
"FMO3",2,0.449017423620431
"CUX2",2,0.448585313974113
"HNF4A-AS1",2,0.448470013008272
"CA5A",2,0.447018383936376
"PTGR1",2,0.445261260281519
"PIK3C2G",2,0.445072186410538
"CPS1",2,0.444752999836724
"BDH1",2,0.44464863005066
"CYP2C8",2,0.443331357264095
"CYP3A5",2,0.442410466414429
"AC004160.1",2,0.441732739175649
"F2",2,0.44116147040232
"BHMT",2,0.440660156294405
"SLC22A10",2,0.439885165019462
"FYB2",2,0.439641676884031
"HSD17B6",2,0.438935590881246
"ADH1B",2,0.437266377625396
"AC018467.1",2,0.43478482926974
"CYP2E1",2,0.434764998026167
"KNG1",2,0.43432654870268
"CFH",2,0.434282784297965
"DANT2",2,0.43360853713165
"SLC2A2",2,0.433084946330405
"FTCD",2,0.432966437066918
"MLXIPL",2,0.432354723512664
"GPAM",2,0.431745740881878
"MAGI1",2,0.431464467100563
"ZNF385B",2,0.43086458603717
"F11",2,0.430648943909508
"AC022784.1",2,0.429927261775289
