"gene","module","score"
"ALB",1,0.903311879592882
"APOA1",1,0.836510125276136
"APOA2",1,0.782898396962667
"SERPINA1",1,0.754565359923415
"AFP",1,0.747882392220871
"APOE",1,0.734094463993506
"AMBP",1,0.668451076506184
"APOC3",1,0.66084621769695
"SPP1",3,0.397079412368394
"FTL",1,0.624260457982162
"GPC5",2,0.417862368458925
"AHSG",1,0.623674555520751
"IGF2",1,0.619847437310908
"VTN",1,0.612458913179267
"MT1G",1,0.588209752754103
"FGB",1,0.557297642923679
"TTR",1,0.565020958074229
"RORA",2,0.393680838572502
"HBA2",1,0.591815287377425
"APOC1",1,0.522283231701939
"HBA1",1,0.56641850432997
"APOLD1",5,0.392687231727014
"NRG3",2,0.377149727931906
"CLU",1,0.473695852184805
"DPYD",2,0.343249223056764
"APOB",1,0.473752336750555
"ACSM3",3,0.285729503662312
"SLC4A4",3,0.353530585665873
"RBP4",1,0.450091362253139
"CPS1",2,0.323538379418088
"HBG2",1,0.496791044214708
"CHST9",3,0.368988969119353
"AGT",1,0.447336987903556
"ITIH2",1,0.407468969190397
"ZBTB20",2,0.318523433100483
"MT1H",1,0.421246474899474
"BICC1",3,0.276053903503746
"APOH",1,0.405466883824951
"FGA",1,0.412492954376672
"FABP1",1,0.412623880949641
"TENM3",4,0.359379350703268
"PDE4B",14,0.264975641547691
"MT1E",1,0.411685577268588
"UTY",14,0.24537338974794
"RPLP1",1,0.380312656039645
"DLK1",1,0.394934586113456
"HBG1",1,0.411696002116512
"MT2A",1,0.361486560792712
"FIG4",14,0.213814969983972
"TF",1,0.328189866384433
"ARHGAP11B",5,0.286890104141306
"DHCR24",1,0.351902518662101
"DIAPH3",6,0.279341486697347
"WWOX",2,0.262690138598709
"BRIP1",6,0.27348289941659
"CDH6",3,0.276062376143913
"APOM",1,0.343478257162119
"PKHD1",10,0.223679238512031
"FGG",1,0.322469139350702
"SEPP1",1,0.310015288259809
"SFRP5",3,0.271814723646046
"DLC1",2,0.22582089360014
"PIK3C2G",2,0.228052045890496
"PRAP1",1,0.312415408082886
"KCNMA1",3,0.221321584921149
"PEBP1",1,0.310667660652436
"GPC6",2,0.227760702023438
"C10orf11",2,0.222556185802719
"GAS2",2,0.222707706596141
"PRR4",2,0.201676506014888
"KCNT2",2,0.205364484673706
"CENPP",6,0.240252347155056
"TMBIM6",1,0.290585980469317
"KLF12",2,0.211174673685533
"CDC25C",5,0.234313518718388
"FOXP1",2,0.207440390429872
"NAALADL2",2,0.205290024769965
"FNDC3B",2,0.214622892654849
"MAGI1",2,0.201812308209152
"THRB",2,0.192183949732173
"ITPR2",2,0.200991190367696
"LPP",2,0.202241317652366
"ALDOB",1,0.281804312845575
"SORBS2",2,0.192217312595927
"TPT1",1,0.286846724742655
"SPC25",6,0.212154414637334
"SNTB1",2,0.18879105959363
"DCDC2",3,0.190090771055002
"STAT1",3,0.21346552440678
"FOXP2",2,0.19815611785478
"FHIT",2,0.188406768079593
"GAPDH",1,0.271225552079316
"PDE3B",2,0.194194188797515
"ANXA4",3,0.192707205931537
"PTPRK",2,0.179955814456978
"KIF18B",5,0.225073173538682
"PARD3B",2,0.191530556031209
"SERPINC1",1,0.258213618563796
"SLCO1B3",2,0.182725257158316
"FAM171A1",3,0.200693107670732
"ASPM",5,0.25128429432769
"GPC3",2,0.177144484027334
"TENM1",2,0.179355583925882
"SHANK2",2,0.161588282404665
"MT1F",1,0.260295965430956
"SCD",1,0.246904756119633
"SEMA6D",3,0.169988215687471
"GPHN",2,0.164021186093675
"KIF6",2,0.161629101803124
"EEF2",1,0.246338703037828
"LYPD6B",3,0.195302915615637
"PDGFD",3,0.180799336317761
"TTC28",2,0.168401122693025
"PSD3",2,0.158422895264738
