C,Z,Pval,FDR,module,gene
0.44130579364002814,261.53308,0.0,0.0,1,BICC1
0.3624041357918762,242.47275,0.0,0.0,1,SPP1
0.437858676689854,230.64954,0.0,0.0,1,PKHD1
0.2937485075355003,216.34651,0.0,0.0,1,ACSM3
0.486234577736096,207.32355,0.0,0.0,5,ALB
0.42940366468568164,204.62422,0.0,0.0,1,CHST9
0.3970350926651367,193.77364,0.0,0.0,1,ANXA4
0.4879072038367949,193.69252,0.0,0.0,-1,FAXC
0.3714029325194279,190.55394,0.0,0.0,1,SLC4A4
0.5772090278402334,183.8597,0.0,0.0,-1,FARP2
0.3463670349334625,180.74612,0.0,0.0,1,CDH6
0.33620449157930976,159.2902,0.0,0.0,1,DCDC2
0.33486655271623866,154.42465,0.0,0.0,1,CSPP1
0.37791706899013355,151.78711,0.0,0.0,2,ZBTB20
0.36614877750094915,150.60965,0.0,0.0,5,APOA1
0.27421712688312305,141.51604,0.0,0.0,1,STAT1
0.3663315967247726,139.9009,0.0,0.0,2,GPC5
0.27774074310870095,139.79506,0.0,0.0,1,SEMA6D
0.25871721227953676,136.98198,0.0,0.0,1,PDGFD
0.22591626905688444,136.89081,0.0,0.0,1,KCNMA1
0.2737176726381895,136.6679,0.0,0.0,1,FAM171A1
0.3724798795072996,134.33516,0.0,0.0,2,NRG3
0.4744848559386982,134.0579,0.0,0.0,-1,NCK2
0.37272906716813653,132.6802,0.0,0.0,11,HBA2
0.3650599934267317,130.43356,0.0,0.0,11,HBA1
0.3263318421258397,129.46933,0.0,0.0,2,RORA
0.28375280968285943,126.97479,0.0,0.0,1,SFRP5
0.44428554497722383,126.63279,0.0,0.0,-1,ANKRD30B
0.4795329901446576,126.01086,0.0,0.0,-1,NPIPB5
0.27416842528973895,123.77672,0.0,0.0,1,GLIS3
0.36166141842087063,123.27327,0.0,0.0,2,CPS1
0.15578583784179673,123.062836,0.0,0.0,1,KCNH7
0.285294732046089,122.29711,0.0,0.0,1,CTNND2
0.28931441685842574,116.37209,0.0,0.0,5,SERPINA1
0.27193169039478793,109.50506,0.0,0.0,5,APOA2
0.38174464265138774,104.78068,0.0,0.0,-1,PAPLN
0.2609946736277133,104.3743,0.0,0.0,2,GPC6
0.2644384624563933,101.16121,0.0,0.0,5,APOE
0.23416858775934582,100.25094,0.0,0.0,1,RALYL
0.2785896647912558,98.02262,0.0,0.0,11,HBG2
0.26052363067187145,95.74066,0.0,0.0,2,DPYD
0.2532689883351691,94.6904,0.0,0.0,5,AHSG
0.19647290839124926,93.48558,0.0,0.0,3,LYPD6B
0.23190202016224204,92.84354,0.0,0.0,5,AMBP
0.22561137257245448,90.619705,0.0,0.0,5,AFP
0.2562890857797666,89.5648,0.0,0.0,2,WWOX
0.20204516756890317,88.97777,0.0,0.0,3,CFTR
0.2534164931480042,85.75088,0.0,0.0,11,HBG1
0.20399998175659642,83.97027,0.0,0.0,1,SLC44A3
0.21150969167815417,81.787094,0.0,0.0,5,APOC3
0.2251834045528589,80.79828,0.0,0.0,2,GAS2
0.2102474894632472,80.60378,0.0,0.0,2,SORBS2
0.1260602207491231,80.047226,0.0,0.0,1,KCNIP1
0.16188271826171163,76.49035,0.0,0.0,1,SLC12A2
