"gene","module","score"
"BICC1",1,0.441305793640028
"SPP1",1,0.362404135791876
"PKHD1",1,0.437858676689854
"ACSM3",1,0.2937485075355
"ALB",5,0.486234577736096
"CHST9",1,0.429403664685682
"ANXA4",1,0.397035092665137
"SLC4A4",1,0.371402932519428
"CDH6",1,0.346367034933462
"DCDC2",1,0.33620449157931
"CSPP1",1,0.334866552716239
"ZBTB20",2,0.377917068990134
"APOA1",5,0.366148777500949
"STAT1",1,0.274217126883123
"GPC5",2,0.366331596724773
"SEMA6D",1,0.277740743108701
"PDGFD",1,0.258717212279537
"KCNMA1",1,0.225916269056884
"FAM171A1",1,0.27371767263819
"NRG3",2,0.3724798795073
"HBA2",11,0.372729067168137
"HBA1",11,0.365059993426732
"RORA",2,0.32633184212584
"SFRP5",1,0.283752809682859
"GLIS3",1,0.274168425289739
"CPS1",2,0.361661418420871
"KCNH7",1,0.155785837841797
"CTNND2",1,0.285294732046089
"SERPINA1",5,0.289314416858426
"APOA2",5,0.271931690394788
"GPC6",2,0.260994673627713
"APOE",5,0.264438462456393
"RALYL",1,0.234168587759346
"HBG2",11,0.278589664791256
"DPYD",2,0.260523630671871
"AHSG",5,0.253268988335169
"LYPD6B",3,0.196472908391249
"AMBP",5,0.231902020162242
"AFP",5,0.225611372572454
"WWOX",2,0.256289085779767
"CFTR",3,0.202045167568903
"HBG1",11,0.253416493148004
"SLC44A3",1,0.203999981756596
"APOC3",5,0.211509691678154
"GAS2",2,0.225183404552859
"SORBS2",2,0.210247489463247
"KCNIP1",1,0.126060220749123
"SLC12A2",1,0.161882718261712
"SNAP25",1,0.163352942597174
"FOXP2",2,0.218582015765918
"FTL",5,0.180467180722415
"GRHL2",3,0.138583891911732
"VEPH1",3,0.181450842252801
"DLC1",2,0.194345206105416
"RBPMS",1,0.170393829947926
"ASS1",2,0.197681224833474
"MAGI1",4,0.186014655316261
"UGT2B15",1,0.173017050728845
"SOX9",1,0.202318802976433
"C10orf11",2,0.202412174971046
"FREM1",1,0.146327477900979
"EXT1",4,0.168936664945726
"FRAS1",1,0.170466109956606
"ANXA13",1,0.144877439356642
"NAALADL2",2,0.185791115197957
"IGF2",5,0.172854346601032
"PTPRK",4,0.167679371297523
"THRB",2,0.163417958344355
"CLDN6",1,0.148885992292648
"FHIT",2,0.173759314238678
"IMMP2L",4,0.155065174848225
"PDGFC",1,0.141358645742411
"PIK3C2G",2,0.191018202952608
"FOXP1",2,0.155405040861752
"DTNA",1,0.154468717920676
"RGS7",1,0.145468360038443
"DLGAP1",2,0.174999781648795
"FNDC3B",2,0.161831487237132
"RBMS3",1,0.145997280753973
"KCNT2",2,0.162216135773455
"KLF12",2,0.16091283986492
"LRRC7",3,0.150196933300648
