C,Z,Pval,FDR,module,gene
0.6905710980989245,817.8815278382258,0.0,0.0,-1,HORMAD1
0.4663754635180006,508.10559091388035,0.0,0.0,2,DLG2
0.6218189782789457,496.40902728291206,0.0,0.0,3,SCGB3A2
0.4782593398385908,463.0815224298836,0.0,0.0,1,TOP2A
0.5079600085217938,459.1546375584595,0.0,0.0,1,CENPF
0.44308315630772116,457.73558971251714,0.0,0.0,4,GPC5
0.4661688010775268,388.3900074874554,0.0,0.0,10,SFTPC
0.4121587026976937,383.9532601309111,0.0,0.0,1,ASPM
0.3816668131840475,371.8741828960774,0.0,0.0,3,RALYL
0.42217200554039147,371.78837748154865,0.0,0.0,5,SFTPB
0.4311862005004441,368.2838624472274,0.0,0.0,8,CCL20
0.39506286763175164,354.85915624988115,0.0,0.0,1,MKI67
0.3410077328025189,354.54112000565607,0.0,0.0,2,FOXP2
0.3698050569667433,338.38200142929225,0.0,0.0,1,CENPE
0.3320936475409394,337.9944625121126,0.0,0.0,4,DMD
0.3177741605898859,336.13869999840176,0.0,0.0,2,ATP11A
0.35089566565713165,326.09704729912477,0.0,0.0,3,CP
0.31618946501144274,316.20516780566516,0.0,0.0,4,NCKAP5
0.3243270175081934,312.3770152789821,0.0,0.0,13,CHST9
0.3187992701046445,292.91660937152966,0.0,0.0,1,ARHGAP11B
0.3148054887492313,291.8741511026647,0.0,0.0,1,TUBA1B
0.3191422939136552,289.84908116088053,0.0,0.0,4,NTN1
0.3056386926179547,286.2597403737337,0.0,0.0,4,KAL1
0.3134585067219157,280.3135633885998,0.0,0.0,1,TPX2
0.30997192116294,277.2395347728938,0.0,0.0,7,DIAPH3
0.2673933375406029,273.5920289903679,0.0,0.0,3,BMPR1B
0.2528465187348557,271.1240229112554,0.0,0.0,2,PTPRD
0.27569568364322805,270.9300927840716,0.0,0.0,1,APOLD1
0.3104450513336795,270.42498434996577,0.0,0.0,1,NUSAP1
0.2860212629358837,269.6016383441823,0.0,0.0,1,ARL6IP1
0.33042295327945204,267.32905303229995,0.0,0.0,5,JUN
0.26623128834189697,265.4299540423811,0.0,0.0,3,NEGR1
0.29532109614509067,259.3894085134396,0.0,0.0,2,PIK3C2G
0.2704017879418688,256.8991900917589,0.0,0.0,5,CLDN18
0.2378333702597318,254.14572333040422,0.0,0.0,2,NAALADL2
0.34834106589030117,246.33946418826338,0.0,0.0,14,FOS
0.37247073239120854,246.23097489667907,0.0,0.0,14,EGR1
0.28296595049362533,245.56756972743656,0.0,0.0,5,AQP4
0.32250835193872485,244.80574430909044,0.0,0.0,3,C5orf46
0.26909127342103534,241.5415351382293,0.0,0.0,-1,EIF1AX
0.24671860499309972,241.44834280418195,0.0,0.0,2,SLC4A4
0.304874007620309,238.0116829739499,0.0,0.0,12,STEAP4
0.22902002450231862,235.4661300648001,0.0,0.0,2,ADAMTS6
0.2716778732598558,231.75326315627177,0.0,0.0,10,NPC2
0.20766152138348,228.6149068657162,0.0,0.0,3,PCDH7
0.22806664290592768,228.03941700521156,0.0,0.0,3,GALNT13
0.23878016265452306,224.44307354495302,0.0,0.0,4,CTNND2
0.23730113918961981,223.0550971488099,0.0,0.0,5,SMARCA5
0.2127869028334302,222.86350878594308,0.0,0.0,4,TMEM132D
0.22375869847929244,222.55412902433986,0.0,0.0,2,AUTS2
0.23944752190813992,217.90125813284732,0.0,0.0,4,LPHN3
0.23136037843493676,216.65728521476657,0.0,0.0,5,GPRC5A
0.23265729959981274,215.99053703170281,0.0,0.0,5,ST6GALNAC5
0.23898663939332698,215.46227013946933,0.0,0.0,7,BRIP1
0.21676229331166802,215.44893754763945,0.0,0.0,3,CLIC6
0.3138031050591065,214.49876408190414,0.0,0.0,-1,FAXC
0.21810591862860818,212.60788223041135,0.0,0.0,5,CPM
0.26289216992221526,212.05986847588173,0.0,0.0,5,DUSP1
0.30956154014078124,211.40317320736563,0.0,0.0,14,FOSB
0.2607221331958427,206.12873485338505,0.0,0.0,12,NAMPT
0.27959387961013715,205.22841346229967,0.0,0.0,12,C3
0.21339329004665836,204.89340468163914,0.0,0.0,1,DLGAP5
0.20097530777899342,204.82881584799773,0.0,0.0,-1,MEGF11
0.2323246538413719,203.19988483291422,0.0,0.0,1,PRR11
0.25572199108303934,202.58089664710405,0.0,0.0,12,CEBPD
0.238124267669573,202.14441617259374,0.0,0.0,-1,TMEM68
0.20504775211222553,201.32091300406245,0.0,0.0,4,RBMS3
0.23883053223851655,201.02512426317188,0.0,0.0,8,CXCL1
0.2524509805715129,199.48238926489532,0.0,0.0,13,CAMK1D
0.17267246216420493,199.4639385317017,0.0,0.0,2,RNF220
0.25934939719485794,199.15922430299128,0.0,0.0,12,AGBL1
0.20481763981346246,196.7024763870571,0.0,0.0,2,C10orf90
0.22157979908672384,196.68524738873086,0.0,0.0,1,UBE2C
0.18627616675310324,194.97376455368686,0.0,0.0,2,PTPN13
0.18695826365488652,194.48245585978634,0.0,0.0,3,INPP4B
0.22728436478020267,194.210155567751,0.0,0.0,1,CASC5
0.21880890328615427,193.9873659688644,0.0,0.0,3,TLL1
0.18013890817838804,193.8447006089887,0.0,0.0,2,CCSER1
0.21611954362499394,192.98562144976665,0.0,0.0,1,KIF14
0.26713518370741235,191.77320934839142,0.0,0.0,14,ZFP36
0.1885373302808589,190.5469313470045,0.0,0.0,2,PTPRZ1
0.18089212721219644,190.43087186586575,0.0,0.0,2,PSD3
0.25849671650649964,188.54273642540628,0.0,0.0,12,LCN2
0.1915805003580185,188.47497492584034,0.0,0.0,2,FMN1
0.19125305528377548,187.7823702300426,0.0,0.0,4,FAM189A2
0.1992131998598074,186.63646108189718,0.0,0.0,3,FMO2
0.2043752056809663,186.5102618534749,0.0,0.0,1,HMGB2
0.1930146748817269,186.48796944212776,0.0,0.0,4,NEDD4L
0.18294353583521167,185.53985674549156,0.0,0.0,1,SCLT1
0.20883150938091727,185.32482271512325,0.0,0.0,3,ADCY2
0.23577558837347465,182.37665895173248,0.0,0.0,3,KIAA1324
0.17741391639890844,181.18296049812227,0.0,0.0,4,ERBB4
0.20651555051673806,178.59668620163322,0.0,0.0,25,PPP1R3A
0.1943802157197474,177.1152692875487,0.0,0.0,1,CDC25C
0.27844803287574926,176.55486452043758,0.0,0.0,12,CXCL2
0.1547497544221307,175.04008173851184,0.0,0.0,2,FGF13
0.20159814599955453,174.2497676681335,0.0,0.0,1,KIF18B
0.24160208655794507,174.04666782517552,0.0,0.0,-1,FARP2
0.18273060706894972,173.58948880321873,0.0,0.0,4,MAGI3
0.2093990683844711,172.79641557338775,0.0,0.0,13,KRT15
0.20672461631346117,171.25298108352365,0.0,0.0,9,GDF15
0.17243063087682897,170.8761252492423,0.0,0.0,3,PLCL1
0.16925929169697637,169.56718524329617,0.0,0.0,2,UTRN
0.19415951343096108,169.12132562704048,0.0,0.0,3,CFH
0.21693757892657234,169.00931387262284,0.0,0.0,1,HIST1H1D
0.18811300566280106,168.91162638374075,0.0,0.0,3,NEK10
0.19107940424457742,168.6860155799235,0.0,0.0,7,CENPP
0.23223840981641303,168.46579644672406,0.0,0.0,8,SLPI
0.20257769458436276,168.4407490824078,0.0,0.0,1,HIST1H4C
0.19024216438200398,168.1888779249844,0.0,0.0,10,TPPP3
0.2454860672849253,167.6733612531311,0.0,0.0,1,HIST1H1A
0.21933488238123824,166.5787363011118,0.0,0.0,30,ASCL1
0.16364403095462673,166.0655583457849,0.0,0.0,2,SAMD5
0.16175129215979486,165.7790120227674,0.0,0.0,2,NHSL1
0.19690301622995734,164.7343414440103,0.0,0.0,14,NR4A1
0.17353449862750914,164.60278170572244,0.0,0.0,3,CNTN4
0.1790404196719204,163.9175840875161,0.0,0.0,49,BCAS4
0.1506811819216935,163.81948603781055,0.0,0.0,9,IGF2
0.1678295758124133,162.72720835929658,0.0,0.0,4,ADAMTSL1
0.18763724644411636,161.85769801078686,0.0,0.0,7,CENPK
0.12998582421300986,161.47564869483827,0.0,0.0,2,IL1RAPL1
0.1821387205151322,160.60347220537642,0.0,0.0,6,RPLP1
0.1603216559514935,160.1611674308618,0.0,0.0,4,IL1RAPL2
0.18140019089737486,160.1607224684594,0.0,0.0,5,EMP2
0.24899200986968223,159.5253490990955,0.0,0.0,12,DMBT1
0.1617854600681643,158.42710430666068,0.0,0.0,4,GLCCI1
0.19111984505604182,157.76370017508012,0.0,0.0,1,BUB1
0.16610904864252968,157.59217662838884,0.0,0.0,4,ALCAM
0.19126964945621933,157.32731507239205,0.0,0.0,4,SMOC2
0.17822871446609212,157.08352534731736,0.0,0.0,6,TMSB10
0.16610645065049068,156.965225787581,0.0,0.0,3,ARHGEF38
0.18254841472115252,156.82622170012843,0.0,0.0,1,TUBB
0.17005578611928743,156.34835191555976,0.0,0.0,5,NDNF
0.23294711718254965,155.8657527509745,0.0,0.0,14,ATF3
0.13831097549436375,155.23227118552109,0.0,0.0,18,KHDRBS2
0.18004184481299926,153.9598537827936,0.0,0.0,1,NDC80
0.2024874320747596,153.13414636339337,0.0,0.0,8,CSF3
0.20159022871963816,152.76518913804574,0.0,0.0,16,SGPP2
0.2528673560419428,149.89706885634664,0.0,0.0,-1,ANKRD30B
0.18805006274822883,148.93285508894732,0.0,0.0,12,ELF3
0.15194598895086825,148.90459830296993,0.0,0.0,3,SLC44A5
0.15513284696517543,148.29546084723984,0.0,0.0,2,ABCC4
0.14763108173874215,147.7159413135355,0.0,0.0,18,LAMA3
0.158868259914662,146.78478694105706,0.0,0.0,10,SLC34A2
0.16335507450488806,146.1413110709328,0.0,0.0,6,ACTG1
0.18116998527894979,145.62171404060666,0.0,0.0,1,KPNA2
0.16842201385469474,145.32566718410695,0.0,0.0,10,CD36
0.141596918161398,144.11119835480056,0.0,0.0,4,DAPK1
0.1649272830950767,142.7457502373129,0.0,0.0,1,GTSE1
0.16610183297231912,142.45140018065874,0.0,0.0,9,NPNT
0.176914827204817,141.6507887152863,0.0,0.0,3,KDR
0.16927095172043483,141.31988830779633,0.0,0.0,5,ICAM4
0.14320706117175072,141.1985602462826,0.0,0.0,3,NLGN1
0.1513570203788751,141.17942277582173,0.0,0.0,7,RFC3
0.14782771591143942,140.7827309386855,0.0,0.0,2,CHST11
0.1630977507173146,139.3198365733357,0.0,0.0,7,POLQ
0.12938132757851795,139.1463155380685,0.0,0.0,2,PRKD1
0.14400824845350763,138.56419976011077,0.0,0.0,3,PLCB1
0.19450654578682947,138.1463472929656,0.0,0.0,14,JUNB
0.1481744346736207,138.06423236796678,0.0,0.0,2,FAM184A
0.15450924241066533,137.65546486558932,0.0,0.0,1,H2AFX
0.17630657020150323,137.57162436524692,0.0,0.0,3,NLGN4X
0.15843461297303066,137.3652688048923,0.0,0.0,1,DEPDC1B
0.14691333861804104,137.24439291541933,0.0,0.0,16,C10orf11
0.14438717987145896,136.739235940244,0.0,0.0,3,KCNT2
0.15250307857137402,136.5429018767912,0.0,0.0,10,MFSD2A
0.14364546083688318,136.4598654711798,0.0,0.0,5,FILIP1
0.12082482920603019,135.7923334682984,0.0,0.0,4,NCALD
0.14984908066871408,135.47575324489162,0.0,0.0,3,FRMD3
0.14089536279778317,134.60082987159484,0.0,0.0,2,LPPR1
0.1367363723873946,134.453361762582,0.0,0.0,2,COL11A1
0.1351641366758491,134.4032779060468,0.0,0.0,4,CFTR
0.20244948868013182,133.49728910770597,0.0,0.0,25,SLC8A3
0.13244734769324554,133.4415229414308,0.0,0.0,13,KRT5
0.1415668722893293,132.981650318626,0.0,0.0,2,ETV5
0.16496565682062525,132.53098674917075,0.0,0.0,3,CDH2
0.15058973047773344,132.40488983926414,0.0,0.0,5,KRT19
0.16704186787979652,132.32152147117395,0.0,0.0,1,PRC1
0.13632459306583114,132.28136301016733,0.0,0.0,5,SEMA3E
0.12492593437413177,132.16069498363996,0.0,0.0,13,EYA2
0.14647665139524257,132.03391653506347,0.0,0.0,9,CLIC5
0.1706648059948925,131.0670467069145,0.0,0.0,9,SOX2
0.16785433451333762,130.77399929802758,0.0,0.0,1,CCNB1
0.15794736973228185,130.43681982847397,0.0,0.0,16,DOCK10
0.14408175704561793,129.85807599767878,0.0,0.0,5,S100A10
0.15987635951777418,129.64744205467113,0.0,0.0,3,PRSS12
0.17770428726170787,129.20650441234397,0.0,0.0,12,CXCL5
0.10722708710104832,129.18896866483394,0.0,0.0,18,PCDH11X
0.1455408137290057,129.07009807083332,0.0,0.0,1,STMN1
0.13671784833574513,129.05704791233413,0.0,0.0,4,PRKCE
0.14992373695889546,128.94293530768456,0.0,0.0,5,PTPRQ
0.1601545616240839,128.5805145878726,0.0,0.0,12,NFKBIA
0.12557240135974598,128.20638250136548,0.0,0.0,2,KIAA1199
0.1370952660478288,128.19947587047963,0.0,0.0,4,FAM129A
0.13219399466795656,127.80672406035247,0.0,0.0,5,MID1
0.1447743363598414,127.45501847238562,0.0,0.0,5,CAV1
0.1324968181738676,127.42685464252493,0.0,0.0,1,GAS2L3
0.13947643705743037,126.32959233328961,0.0,0.0,1,KIF15
0.11761738929860356,125.84659074872305,0.0,0.0,2,ACOXL
0.1631301564331748,125.66432194624358,0.0,0.0,14,BTG2
0.10280018566394929,125.42542175272509,0.0,0.0,19,ST6GALNAC3
0.17317427868319418,125.3934253317927,0.0,0.0,14,IER2
0.15162743778579454,125.34695787775203,0.0,0.0,3,CXCL17
0.15040588364869972,124.51317323182847,0.0,0.0,1,ANLN
0.14392146877655732,124.18206798151972,0.0,0.0,1,SGOL2
0.1455200909555348,124.12182148996581,0.0,0.0,9,BMP3
0.1300425639193575,123.83310131837662,0.0,0.0,3,MPPED2
0.15800517624398158,123.7573849425031,0.0,0.0,12,CXCL3
0.1525467993342352,123.64670661612415,0.0,0.0,9,ANXA1
0.1235283895885693,123.25482003282958,0.0,0.0,3,CDH10
0.15516909121115044,121.89270379220909,0.0,0.0,5,SEMA5A
0.12943791488647163,121.84823093019625,0.0,0.0,3,NDRG1
0.13820270473116805,121.71060186199881,0.0,0.0,9,CYTL1
0.1419735909846446,121.16396395084804,0.0,0.0,1,KIF4A
0.12697772769284038,121.07567519691976,0.0,0.0,1,NUF2
0.11952667744980283,121.0359718325099,0.0,0.0,34,SLIT2
0.13655539353329357,120.00261004733096,0.0,0.0,5,PHACTR1
0.13738604404761612,119.86653486936173,0.0,0.0,9,AGR2
0.12926811311704894,119.78313819623418,0.0,0.0,16,PTPRG
0.14344388928953075,119.59658938214218,0.0,0.0,5,SDPR
0.14144521757857145,119.56430530507771,0.0,0.0,1,CKAP2L
0.12651854805128254,119.08730566601955,0.0,0.0,3,SLC41A2
0.14160302030540187,118.86786330267284,0.0,0.0,12,ICAM1
0.13341992836881583,118.63237069945701,0.0,0.0,1,SMC4
0.1187770569745862,118.5709816494563,0.0,0.0,2,SEL1L3
0.1133683140919576,118.54586970825723,0.0,0.0,34,PID1
0.11603473818039774,118.16983317382758,0.0,0.0,2,PLCH1
0.13407829473211905,117.87959683584438,0.0,0.0,16,CACNB4
0.13558402072817666,117.59717137668166,0.0,0.0,10,CLU
0.13202887845763508,117.38530173924343,0.0,0.0,10,SOX9
0.13417711232889393,116.51470665853583,0.0,0.0,12,SOD2
0.14060168703332052,116.37438741703802,0.0,0.0,1,CDC20
0.11564940651731552,116.15436965481453,0.0,0.0,18,ZNF385B
0.11115183544651688,114.66761221713638,0.0,0.0,2,ROS1
0.11409010307895182,114.06600107403445,0.0,0.0,3,LMO3
0.14511424413237634,113.9011551939437,0.0,0.0,7,TK1
0.11894134947718817,113.79479669997647,0.0,0.0,2,ROR1
