"gene","module","score"
"DLG2",2,0.466375463518001
"SCGB3A2",3,0.621818978278946
"TOP2A",1,0.478259339838591
"CENPF",1,0.507960008521794
"GPC5",4,0.443083156307721
"SFTPC",10,0.466168801077527
"ASPM",1,0.412158702697694
"RALYL",3,0.381666813184047
"SFTPB",5,0.422172005540391
"CCL20",8,0.431186200500444
"MKI67",1,0.395062867631752
"FOXP2",2,0.341007732802519
"CENPE",1,0.369805056966743
"DMD",4,0.332093647540939
"ATP11A",2,0.317774160589886
"CP",3,0.350895665657132
"NCKAP5",4,0.316189465011443
"CHST9",13,0.324327017508193
"ARHGAP11B",1,0.318799270104644
"TUBA1B",1,0.314805488749231
"NTN1",4,0.319142293913655
"KAL1",4,0.305638692617955
"TPX2",1,0.313458506721916
"DIAPH3",7,0.30997192116294
"BMPR1B",3,0.267393337540603
"PTPRD",2,0.252846518734856
"APOLD1",1,0.275695683643228
"NUSAP1",1,0.31044505133368
"ARL6IP1",1,0.286021262935884
"JUN",5,0.330422953279452
"NEGR1",3,0.266231288341897
"PIK3C2G",2,0.295321096145091
"CLDN18",5,0.270401787941869
"NAALADL2",2,0.237833370259732
"FOS",14,0.348341065890301
"EGR1",14,0.372470732391209
"AQP4",5,0.282965950493625
"C5orf46",3,0.322508351938725
"SLC4A4",2,0.2467186049931
"STEAP4",12,0.304874007620309
"ADAMTS6",2,0.229020024502319
"NPC2",10,0.271677873259856
"PCDH7",3,0.20766152138348
"GALNT13",3,0.228066642905928
"CTNND2",4,0.238780162654523
"SMARCA5",5,0.23730113918962
"TMEM132D",4,0.21278690283343
"AUTS2",2,0.223758698479292
"LPHN3",4,0.23944752190814
"GPRC5A",5,0.231360378434937
"ST6GALNAC5",5,0.232657299599813
"BRIP1",7,0.238986639393327
"CLIC6",3,0.216762293311668
"CPM",5,0.218105918628608
"DUSP1",5,0.262892169922215
"FOSB",14,0.309561540140781
"NAMPT",12,0.260722133195843
"C3",12,0.279593879610137
"DLGAP5",1,0.213393290046658
"PRR11",1,0.232324653841372
"CEBPD",12,0.255721991083039
"RBMS3",4,0.205047752112226
"CXCL1",8,0.238830532238517
"CAMK1D",13,0.252450980571513
"RNF220",2,0.172672462164205
"AGBL1",12,0.259349397194858
"C10orf90",2,0.204817639813462
"UBE2C",1,0.221579799086724
"PTPN13",2,0.186276166753103
"INPP4B",3,0.186958263654887
"CASC5",1,0.227284364780203
"TLL1",3,0.218808903286154
"CCSER1",2,0.180138908178388
"KIF14",1,0.216119543624994
"ZFP36",14,0.267135183707412
"PTPRZ1",2,0.188537330280859
"PSD3",2,0.180892127212196
"LCN2",12,0.2584967165065
"FMN1",2,0.191580500358018
"FAM189A2",4,0.191253055283775
"FMO2",3,0.199213199859807
"HMGB2",1,0.204375205680966
"NEDD4L",4,0.193014674881727
"SCLT1",1,0.182943535835212
"ADCY2",3,0.208831509380917
"KIAA1324",3,0.235775588373475
"ERBB4",4,0.177413916398908
"PPP1R3A",25,0.206515550516738
"CDC25C",1,0.194380215719747
"CXCL2",12,0.278448032875749
"FGF13",2,0.154749754422131
"KIF18B",1,0.201598145999555
"MAGI3",4,0.18273060706895
"KRT15",13,0.209399068384471
"GDF15",9,0.206724616313461
"PLCL1",3,0.172430630876829
"UTRN",2,0.169259291696976
"CFH",3,0.194159513430961
"HIST1H1D",1,0.216937578926572
"NEK10",3,0.188113005662801
"CENPP",7,0.191079404244577
"SLPI",8,0.232238409816413
"HIST1H4C",1,0.202577694584363
"TPPP3",10,0.190242164382004
"HIST1H1A",1,0.245486067284925
"ASCL1",30,0.219334882381238
"SAMD5",2,0.163644030954627
"NHSL1",2,0.161751292159795
"NR4A1",14,0.196903016229957
"CNTN4",3,0.173534498627509
"BCAS4",49,0.17904041967192
"IGF2",9,0.150681181921693
"ADAMTSL1",4,0.167829575812413
"CENPK",7,0.187637246444116
"IL1RAPL1",2,0.12998582421301
"RPLP1",6,0.182138720515132
"IL1RAPL2",4,0.160321655951494
"EMP2",5,0.181400190897375
"DMBT1",12,0.248992009869682
"GLCCI1",4,0.161785460068164
"BUB1",1,0.191119845056042
"ALCAM",4,0.16610904864253
"SMOC2",4,0.191269649456219
"TMSB10",6,0.178228714466092
"ARHGEF38",3,0.166106450650491
"TUBB",1,0.182548414721153
"NDNF",5,0.170055786119287
"ATF3",14,0.23294711718255
"KHDRBS2",18,0.138310975494364
"NDC80",1,0.180041844812999
"CSF3",8,0.20248743207476
"SGPP2",16,0.201590228719638
"ELF3",12,0.188050062748229
"SLC44A5",3,0.151945988950868
"ABCC4",2,0.155132846965175
"LAMA3",18,0.147631081738742
"SLC34A2",10,0.158868259914662
"ACTG1",6,0.163355074504888
"KPNA2",1,0.18116998527895
"CD36",10,0.168422013854695
"DAPK1",4,0.141596918161398
"GTSE1",1,0.164927283095077
"NPNT",9,0.166101832972319
"KDR",3,0.176914827204817
"ICAM4",5,0.169270951720435
"NLGN1",3,0.143207061171751
"RFC3",7,0.151357020378875
"CHST11",2,0.147827715911439
"POLQ",7,0.163097750717315
"PRKD1",2,0.129381327578518
"PLCB1",3,0.144008248453508
"JUNB",14,0.194506545786829
"FAM184A",2,0.148174434673621
"H2AFX",1,0.154509242410665
"NLGN4X",3,0.176306570201503
"DEPDC1B",1,0.158434612973031
"C10orf11",16,0.146913338618041
"KCNT2",3,0.144387179871459
"MFSD2A",10,0.152503078571374
"FILIP1",5,0.143645460836883
"NCALD",4,0.12082482920603
"FRMD3",3,0.149849080668714
"LPPR1",2,0.140895362797783
"COL11A1",2,0.136736372387395
"CFTR",4,0.135164136675849
"SLC8A3",25,0.202449488680132
"KRT5",13,0.132447347693246
"ETV5",2,0.141566872289329
"CDH2",3,0.164965656820625
"KRT19",5,0.150589730477733
"PRC1",1,0.167041867879797
"SEMA3E",5,0.136324593065831
"EYA2",13,0.124925934374132
"CLIC5",9,0.146476651395243
"SOX2",9,0.170664805994893
"CCNB1",1,0.167854334513338
"DOCK10",16,0.157947369732282
"S100A10",5,0.144081757045618
"PRSS12",3,0.159876359517774
"CXCL5",12,0.177704287261708
"PCDH11X",18,0.107227087101048
"STMN1",1,0.145540813729006
"PRKCE",4,0.136717848335745
"PTPRQ",5,0.149923736958895
"NFKBIA",12,0.160154561624084
"KIAA1199",2,0.125572401359746
"FAM129A",4,0.137095266047829
"MID1",5,0.132193994667957
"CAV1",5,0.144774336359841
"GAS2L3",1,0.132496818173868
"KIF15",1,0.13947643705743
"ACOXL",2,0.117617389298604
"BTG2",14,0.163130156433175
"ST6GALNAC3",19,0.102800185663949
"IER2",14,0.173174278683194
"CXCL17",3,0.151627437785795
"ANLN",1,0.1504058836487
"SGOL2",1,0.143921468776557
"BMP3",9,0.145520090955535
"MPPED2",3,0.130042563919358
"CXCL3",12,0.158005176243982
"ANXA1",9,0.152546799334235
"CDH10",3,0.123528389588569
"SEMA5A",5,0.15516909121115
