"gene","module","score"
"CHGA",3,0.777599661903149
"SST",7,0.855333359572655
"SLC4A4",2,0.664468733053525
"TTR",3,0.746790652726203
"GCG",3,0.736801950704365
"CFTR",2,0.621411997210482
"GHRL",22,0.550894307938685
"INS",1,0.833404083549329
"ATP1B1",2,0.649994342803037
"PCSK1N",1,0.718661109014008
"CCND1",2,0.458615917100205
"TTYH1",2,0.459835605213107
"GNAS",1,0.67508868033353
"ANXA4",2,0.504671373845824
"SPINK1",6,0.826070839199444
"FXYD2",2,0.519876995943102
"KCNMB2",3,0.551554077669781
"CEL",6,0.780593887238028
"CLPS",6,0.841792839990398
"PTPRT",3,0.515045126111113
"IGF2",36,0.569994940688453
"DCDC2",2,0.435031199788138
"CPA2",6,0.777452367521393
"ERO1LB",1,0.566466840047447
"MAFB",1,0.489631567501833
"CTGF",8,0.372995608630265
"PDE3A",2,0.46060240411018
"SFRP5",2,0.396656326565119
"PLAGL1",1,0.590969181640519
"CPE",1,0.55654456552643
"CACNA2D1",5,0.391548834554527
"MEIS2",1,0.529111980858704
"ROBO2",1,0.533276357410861
"CTRB2",6,0.705282138866135
"PDE4D",1,0.507322716717324
"CTRB1",6,0.780496668171872
"CPA1",6,0.749565544002823
"SYCN",6,0.762035735136134
"ATP1A1",2,0.430109010791518
"IRX2",3,0.384810730709622
"CCSER1",1,0.511649453231864
"ANKS1B",3,0.420412210761051
"HS6ST3",3,0.439468513771195
"NLGN1",7,0.471977808754302
"PAX4",27,0.301425603072854
"GP2",6,0.711932439798034
"ARX",3,0.329679634365232
"ACSL1",22,0.3755474788747
"KCTD8",7,0.419337841135886
"CNTN5",7,0.439965047949071
"NAALADL2",2,0.40835704046671
"CACNA1A",3,0.390159742727242
"PTPRD",3,0.409309247304082
"SLC30A8",1,0.492179544565717
"ACVR1C",1,0.465214259896435
"PTPRN2",3,0.419788656383399
"GLS",3,0.415364970590946
"MAGI2",3,0.438687418094072
"PCSK1",1,0.447792475268423
"BICC1",2,0.345282441004119
"LEPR",7,0.406135180439122
"DLK1",36,0.648052069356305
"AQP1",2,0.304778822253083
"NRXN1",3,0.467624610436599
"PKHD1",2,0.372854397084345
"PDZD2",1,0.443871827200091
"KIAA1244",3,0.435305966079242
"CRYBA2",3,0.383639218515864
"CACNA1C",3,0.414435517051394
"PAX6",1,0.417207695664919
"WWTR1",2,0.337552137012599
"CHGB",7,0.413144628026827
"CADPS",3,0.461651503341008
"PCSK2",7,0.423198723236574
"ROBO1",3,0.410244780498325
"COL18A1",2,0.308290326794081
"FGF12",22,0.347353145169553
"SHANK2",2,0.35264827644319
"TUBA1A",5,0.352519224316851
"CACNB2",3,0.377983645908127
"IGFBP5",5,0.314466050917054
"RIMS2",3,0.427061686867205
"DACH1",3,0.377398296403689
"GPC6",3,0.384991812377914
"LAMA1",2,0.308271115005476
"LSAMP",7,0.405128614936808
"SOX4",27,0.318340842521547
"SCTR",2,0.298851164100194
"NEUROD1",5,0.357053817709818
"INSM1",5,0.36399630467906
"CADM2",27,0.296424346214222
"PLD3",7,0.374133357401009
"CELA3A",6,0.604473620298108
"BTBD11",3,0.313130152539995
"CDK14",2,0.356469785966515
"ANXA2",2,0.294061465584525
"RAB3B",1,0.374832887841371
"CNTN4",1,0.382172176180073
"NTRK2",2,0.288420367287116
"NOL4",3,0.341441189314896
"ST6GALNAC5",1,0.364638735085639
"KCNB2",1,0.351416495860665
"UNC5D",1,0.350505168159276
"ISL1",7,0.344526333475728
"MAGI1",2,0.331237856386215
"PLCXD3",1,0.337198119014087
"MAP1B",1,0.33133430226985
"MKI67",4,0.435445470269947
"EGR1",8,0.380622809772877
"FRAS1",2,0.356853699337326
"LRFN5",7,0.340100109224914
"LINGO2",1,0.38286174867593
"STMN2",1,0.317068899904068
"HES4",8,0.257635382811722
"KCNMA1",1,0.345983124059185
"GUCY1A2",2,0.285063705539139
"TOP2A",4,0.573555741998682
"PLD1",2,0.263293183679541
"RBP4",1,0.320604287990286
"MAML2",2,0.260510696470866
"CDKN1C",23,0.268173866939499
"FRMD4A",2,0.282279376311976
"RUNX1T1",1,0.299905473690108
"TPX2",4,0.401014026672699
"PPARGC1A",2,0.233036375120301
"CALB1",8,0.247318086845617
"ID1",8,0.266620726448764
"CNTNAP2",1,0.355156265349507
"CTRC",6,0.624920973035239
"DSCAM",7,0.273208928622023
"THSD4",22,0.284419299805123
"TUBA1B",4,0.402093709656007
"PPFIA2",7,0.33760545792882
"GLIS3",2,0.293458256771236
"SOD3",8,0.266808989818839
"MFAP4",1,0.294339997618898
"DCDC1",5,0.274096883723432
"EEF1A2",5,0.288765733227666
"WNK2",2,0.288746405219371
"TPD52",7,0.301183706953804
"PPP1R1B",8,0.260663186061441
"NPAS3",7,0.32353445428117
"ISYNA1",8,0.238713742903724
"CENPF",4,0.476406631746242
"SPP1",8,0.244192374350392
"C5orf38",3,0.258565346039562
"TUBB",23,0.316016126644168
"GAD2",7,0.288962172941186
"LARGE",2,0.278755298757484
"HADH",1,0.311671711958483
"PTPRN",5,0.259355276242348
"FOXP2",1,0.325859542306472
"CRH",7,0.225698790395161
"NKX2-2",5,0.229577516832053
"KCNK16",5,0.257053254623489
"HECTD4",1,0.302790585920134
"SAMD5",7,0.289445109957291
"FGF14",7,0.26502412131928
"MDK",23,0.255101172087237
"ABCC8",1,0.30288879971356
"SLC7A2",3,0.296949675101911
"APLP1",5,0.27744226132413
"SCG2",3,0.244191978717773
"MT1G",6,0.541242444304895
"GAPDH",8,0.309506922326989
"SGCD",1,0.313574515800174
"COL6A2",8,0.241284433653644
"ID3",8,0.225194466115764
"SORBS2",2,0.27512564239785
"NOTCH2NL",2,0.222903698332865
"DCC",3,0.274788047248244
"PCDH17",2,0.235424187866215
"NUAK2",8,0.197315386155781
"GABRB3",7,0.23937017169449
"TENM2",7,0.262019821908911
"MAFA",10,0.233332258301379
"MAP2",5,0.27566209083261
"STMN1",23,0.258293454903409
"GMNN",2,0.270036688603842
"PAK7",2,0.206673047102972
"CAMK2N1",5,0.237875632650698
"MOB1B",3,0.240849138698917
"SERPINI2",6,0.420933473695696
"VWA5B2",5,0.236151527948928
"KIAA1377",7,0.261697815117229
"CNIH2",5,0.226394395148582
"ADAMTS16",2,0.219477264015658
"KCTD16",2,0.318944803487207
"H3F3B",8,0.297690415870889
"ID4",8,0.217568729261601
"PTPRK",2,0.243312288383805
"SLIT2",17,0.234150140788225
"JUN",8,0.288115811673599
"DPP6",1,0.286673960291428
"GADD45B",8,0.251988718587392
"NRP1",17,0.192418760547849
"ASIC2",1,0.27574234289115
"SAT1",8,0.23811346781353
"SYP",5,0.224861485427168
"REG1A",6,0.521011762819146
"RBPJL",14,0.429427588850677
"ECEL1",10,0.233136347884415
"FOSB",20,0.307987262139386
"CLDN10",2,0.257064060889815
"NCAM1",7,0.250127032449157
"LYPD6B",2,0.23146657551888
"ITIH5",2,0.200032531375769
"FGFR2",2,0.197580038055642
"EXT1",2,0.239066562186389
"KCNJ3",7,0.236690808641181
"ESRRG",2,0.196396669459893
"KIF5C",1,0.247196018902123
"DSCAML1",7,0.218855498656846
"IMMP2L",2,0.260218766004367
"FEV",3,0.187580017476005
"SCG3",5,0.248028785286737
"GCK",1,0.236974500475498
"DUSP1",8,0.266586783389592
"NEURL",2,0.21246014568451
"PRR11",4,0.334269390045611
"ID2",8,0.205992721807209
"ADRBK2",2,0.200038552655953
"PHACTR2",1,0.2513931647661
"ELF3",8,0.220124188180599
"LEFTY1",8,0.185632199767156
"SERPINA1",36,0.300241867689003
"CYR61",8,0.228593863552378
"SYNE2",2,0.228802013312898
"HMGB2",4,0.295076245410768
"SYT4",7,0.227570244411137
"KCTD12",3,0.203173604089249
"FLRT2",2,0.285711355766949
"SEZ6L",3,0.223986184958766
"NUSAP1",4,0.329649352473289
"IAPP",33,0.373850194808826
"PCDH7",10,0.241176064807416
"SYT7",5,0.218672517225742
"HDAC9",7,0.236213854921287
"PRSS1",6,0.4962661786397
"NOTCH2",2,0.185208109539721
"ERBB4",7,0.233359468106396
"TMEM132D",3,0.217245703582069
"KRT19",23,0.208928425685143
"CENPE",4,0.338306808956984
"SCGN",5,0.215248420517537
"PNLIPRP1",6,0.476929044770083
"GTSE1",4,0.27806905352694
"UBE2C",4,0.304547775735749
"BIRC5",4,0.298051316327732
"FGFR3",8,0.169059217724617
"CDHR3",22,0.179251398416563
"CLU",36,0.287828034481729
"LRFN2",10,0.219457899777099
"SEMA6D",2,0.198222238279795
"COX8A",8,0.233663524619524
"NPDC1",5,0.20268555614381
"PTPRG",2,0.218455846114159
"RRBP1",6,0.337111881761868
"ERP27",6,0.359488027209467
"SLC35F4",3,0.218979883831742
"C14orf105",2,0.210913287397733
"ZFP36L1",8,0.239883167051153
"NEDD4L",2,0.210679222468421
"VEPH1",2,0.173208672615292
"PPP1R1A",7,0.214842884845686
"DPP4",3,0.191534380182229
"CTTNBP2",2,0.177699282936264
"VSTM2L",22,0.201864057554941
"KLF6",8,0.231749167667474
"PEX5L",10,0.207356489513506
"MT1E",6,0.365978294730629
"RXRG",7,0.146793571850596
"CHCHD10",8,0.188882860350039
"PIK3C2G",2,0.193011832208463
"POU6F2",3,0.195647553328991
"CLDN4",8,0.229515651961204
"APOLD1",4,0.22819688238071
"GNG4",10,0.204285780642938
