"gene","module","score"
"LINC02694",114,0.739536811966005
"ADAMTS17",4,0.58996940265166
"GNLY",9,0.5730344358379
"APOA1",13,0.630241067327986
"CD247",4,0.54651853891008
"VCAN",19,0.769479652136576
"IFNG-AS1",25,0.672120586615261
"MALAT1",11,0.498935720053472
"NKG7",9,0.516846149849914
"SLC4A10",25,0.620812783395407
"RAP1GAP2",9,0.450522552129028
"TCF7L2",1,0.625670808787684
"TOX2",4,0.403732417974478
"NCAM1",4,0.429735878510416
"THEMIS",5,0.546066108351171
"MCTP2",4,0.475929769181838
"IL7R",11,0.512860839298514
"APOA2",13,0.525154028983872
"B2M",8,0.606677932067532
"ALB",13,0.734072096356899
"PRKCH",3,0.463777131437844
"SLC11A1",19,0.414661184153924
"KCNMA1",1,0.592739346567101
"FYN",3,0.450975535134344
"KLRF1",4,0.401369790127543
"SIGLEC1",1,0.509971712244743
"TXK",4,0.425038752023313
"LINGO2",4,0.325287805829714
"INPP4B",11,0.4907055165615
"APOE",13,0.468750633519996
"ADAP2",1,0.544956383111803
"APOC3",13,0.442615231271738
"SKAP1",3,0.516501683492022
"CCND3",3,0.377804059763234
"AUTS2",4,0.422068642624103
"SAMD3",9,0.425084863498823
"FCN1",19,0.477010188024439
"BCL2",11,0.393081051832235
"HP",13,0.429642695275723
"LTB",8,0.374605268407139
"BCL11B",3,0.364750451971607
"PARP8",3,0.443052168213587
"MTSS1",1,0.517474099054282
"IL2RB",4,0.332666431025946
"FRMD4A",1,0.530750666085541
"FRMD4B",1,0.677756085960197
"AOAH",4,0.463306428667832
"FMNL2",1,0.585461655967579
"SYNE2",3,0.385122995559597
"NCR1",4,0.320252417997025
"SYTL3",3,0.310290411859491
"TOX",3,0.369253554593339
"CARD11",3,0.338919497480209
"SYNE1",9,0.371511565444028
"RBM47",1,0.53534210892129
"TNFAIP2",1,0.415670007935565
"AL589693.1",33,0.396948695471431
"PITPNC1",3,0.343143740662575
"CD163",1,0.597100710783214
"LRMDA",1,0.526402776457536
"PLXDC2",20,0.55887689701074
"SPON2",9,0.308076395151304
"RGL1",1,0.576457261647787
"AC013652.1",114,0.363063665809886
"ARHGAP15",11,0.548153898641988
"HLA-B",8,0.393410547620743
"SDC3",1,0.395904269507155
"PRF1",9,0.346902534627326
"CAMK4",11,0.433331368758222
"SAT1",1,0.511417418661164
"AC079793.1",43,0.367831830521974
"LGMN",1,0.436141120236482
"PYHIN1",9,0.338145824547696
"ETS1",3,0.338507272714314
"KLRD1",9,0.331900721226949
"CD96",3,0.348382531513993
"CIITA",20,0.47095630717227
"DST",1,0.54915245247474
"DAPK1",1,0.496350108112291
"ABR",17,0.373024690690815
"LYN",18,0.472029416985054
"RIPOR2",11,0.437487593766791
"TBXAS1",1,0.463481688396272
"DOCK4",1,0.536956579485952
"VCAN-AS1",19,0.451108771782761
"PLCB1",3,0.392679787271374
"EXT1",1,0.590355579607962
"LEF1",11,0.392822752705133
"BNC2",4,0.313145863882335
"APOC1",13,0.424355189641392
"SLFN12L",3,0.329726774675995
"CBLB",3,0.335669745691412
"AL031599.1",4,0.292393713195041
"SERPINA1",13,0.353603453299928
"ADAM12",25,0.305723997282759
"DMXL2",1,0.514120604134949
"GRIK4",4,0.238582601429891
"MBNL1",5,0.461561336412476
"TC2N",5,0.356599022428001
"WDFY4",12,0.697011071015318
"CNOT6L",3,0.311000839733849
"ANK3",11,0.375546875374338
"CTSB",1,0.432789486129607
"MYBL1",3,0.283692976508606
"ADAMTS2",1,0.365763826212866
"STAT4",3,0.337427867186958
"ITGA9",1,0.474760595166733
"S100A4",8,0.386252155467229
"TGFBR3",9,0.306704314912167
"WSB1",1,0.446799359274152
"HLA-A",8,0.332621286769629
"EPB41L2",1,0.516760139486346
"KCNQ5",3,0.290162621593796
"ITGAX",17,0.315541462993132
"LILRB5",1,0.395179906105909
"SLC8A1",6,0.618819857268831
"TTC39C",11,0.314189151019356
"PPP1R16B",3,0.251923485727262
"IRAK3",14,0.431449000667025
"ITSN1",1,0.434531498069908
"LZTFL1",4,0.251409251078325
"CCDC26",2,0.571765721722376
"LDB2",4,0.316944558921358
"SAA1",64,0.343320404589773
"ZFHX3",1,0.328636362211186
"CBFA2T3",12,0.310478394930559
"ZNF710",1,0.35966749558908
"MERTK",2,0.449722365038629
"AMBP",13,0.341951344638064
"APBA2",3,0.230071261536506
