"gene","module","score"
"AL627309.1",12,0.00141040852699434
"HES4",9,0.00165130225560442
"C1orf159",11,0.0202302464397733
"C1orf86",2,0.0197376219509291
"AL590822.2",2,0.000987845797858169
"MORN1",14,0.00718676343854186
"GPR153",16,0.000783904578498434
"TNFRSF25",8,0.00181220664314786
"ERRFI1",18,0.251840888627033
"CASZ1",20,0.00884198409037632
"KIAA2013",3,0.00694606148021607
"KAZN",1,0.0517631721890361
"C1orf195",10,0.00178459166257976
"RSC1A1",15,0.000305396452616052
"ZBTB17",1,0.00601825346409206
"AKR7A3",7,0.00045067845943333
"CAPZB",9,0.101007040782428
"CAMK2N1",5,0.0662641340639053
"ALPL",2,0.00118266152897512
"LDLRAD2",4,0.000345879712151366
"C1QC",3,0.00821760952410982
"LACTBL1",8,0.000411459589278157
"ID3",3,0.00890439432641769
"SRSF10",18,0.00784285436804859
"STMN1",4,0.0356744768758645
"PAFAH2",20,0.0166522576555833
"UBXN11",11,0.00568489794462463
"CD52",9,0.000323728860921091
"GPATCH3",17,0.00397597976625964
"SLC9A1",18,0.00907973947760623
"AHDC1",10,0.0394481924316006
"FGR",19,0.00035910649274668
"SDC3",5,0.0125410970653287
"SNRNP40",18,0.0186606552641651
"PEF1",2,0.0116000533343311
"BAI2",21,0.000735589668417129
"MARCKSL1",5,0.041773054804504
"CSMD2",10,0.00562971775020842
"LSM10",4,0.00439178958970199
"MEAF6",1,0.0189866604440153
"GNL2",10,0.0116268809382343
"CDCA8",16,0.00852603490953422
"EPHA10",15,0.000318443387432564
"SLFNL1",14,0.00222702694476926
"HIVEP3",18,0.034458672703899
"CDC20",5,0.00509576185870219
"HYI",1,0.0138010314777105
"PTCH2",13,0.00202401707771467
"HECTD3",2,0.00585670147994687
"ZSWIM5",7,0.166681310381099
"TESK2",17,0.0813083456443142
"PRDX1",5,0.0725465157517611
"TRABD2B",13,0.040500345795252
"C1orf185",12,0.000606114909000067
"TTC39A",12,0.00158769654148195
"KTI12",15,0.00127629049952021
"C1orf123",3,0.00978356867890059
"PARS2",4,0.00184703899096996
"DHCR24",5,0.395038692729471
"JUN",5,0.0188476086808488
"ANGPTL3",3,0.236825104050839
"PDE4B",8,0.0578315690547672
"SGIP1",11,0.194287682403033
