"gene","module","score"
"NOC2L",1,0.0273332357269371
"HES4",3,0.00381353597688446
"C1orf159",5,0.0190762275691879
"C1orf86",6,0.0399524352822027
"AL590822.2",9,0.00173355470453283
"MORN1",9,0.00774166880323688
"GPR153",4,0.00137831070792904
"DNAJC11",10,0.0434269656665027
"CASZ1",12,0.0110201799073088
"KIAA2013",3,0.00972695190564475
"KAZN",2,0.0765057908447138
"FHAD1",2,0.00142298767176401
"CAPZB",13,0.125349796828151
"ALPL",7,0.00285301415730943
"LDLRAD2",14,0.000749851840971693
"C1QC",7,0.0176370671386345
"ZNF436",2,0.00265588471078969
"ID3",15,0.0198450597664887
"SRSF10",14,0.00581713117293758
"IL22RA1",14,0.0222224942244113
"STPG1",14,0.004793262872836
"AUNIP",6,0.00363264889024846
"STMN1",4,0.0768847521594265
"UBXN11",9,0.00540781022775802
"SLC9A1",16,0.0085404680358905
"AHDC1",17,0.0409489349748341
"SDC3",18,0.0219265518494017
"SNRNP40",1,0.0180017352229364
"PEF1",3,0.0221594080062071
"BAI2",19,0.00166046055557065
"FAM167B",7,0.00330527452886034
"MARCKSL1",18,0.0975888553162388
"ZBTB8A",14,0.00257881339223541
"RNF19B",9,0.00987287653311316
"LSM10",8,0.00956992150360006
"GRIK3",8,0.00338355331158517
"MEAF6",12,0.026721894440492
"GNL2",14,0.0115720114727676
"EPHA10",16,0.000728143621588379
"COL9A2",3,0.00517282224143539
"ZFP69B",9,0.000823296787815963
"CITED4",4,0.00372187501557764
"SLFNL1",20,0.00129791196951852
"HIVEP3",5,0.0242412206948278
"FAM183A",9,0.000650115458333323
"CDC20",7,0.0113871489613138
"HYI",18,0.0233756840576193
"RNF220",2,0.0389515916337623
"HECTD3",20,0.00910055454440756
"ZSWIM5",10,0.106523252529257
"TESK2",21,0.0524353175586815
"LRRC41",5,0.0540235792656493
"TRABD2B",9,0.0241283245966635
"AGBL4",1,0.00509034729144314
"TTC39A",2,0.00291295184174371
"KTI12",8,0.00280865860679605
"SELRC1",5,0.00276220876574626
"C1orf123",16,0.0186247066525446
