"gene","module","score"
"TNFRSF18",17,0.000297679921638517
"FAM132A",6,0.000204575781155847
"C1orf222",7,0.000933479406037418
"C1orf86",14,0.0304104955746877
"MMEL1",15,0.000556876651570998
"AJAP1",18,0.00121198301440977
"TAS1R1",7,0.000317593681159175
"UTS2",9,0.000412252401770004
"ERRFI1",1,0.129902773670319
"CASZ1",18,0.0141011586058562
"MASP2",15,0.000726160735902851
"CLCNKA",15,0.000318792582093215
"MFAP2",15,0.000371630850817676
"AKR7A3",10,0.00050996084324498
"CAPZB",5,0.151773393652223
"PLA2G2A",9,0.000583840707389026
"WNT4",16,0.00736417350046588
"ID3",5,0.0760687772644642
"SRSF10",7,0.0119428562372268
"IL22RA1",22,0.000581122742422088
"GRHL3",19,0.00026970058872401
"STPG1",3,0.00982556807882719
"RUNX3",15,0.000263777604334934
"AL020996.1",11,0.000109877158149635
"AUNIP",6,0.0021169002343343
"STMN1",17,0.191447219940931
"PAFAH2",4,0.0142747373918958
"EXTL1",19,0.000184536218981703
"UBXN11",7,0.0133079708041175
"SFN",1,0.000979856539665538
"AHDC1",5,0.0896808801384679
"THEMIS2",15,0.000291087175893618
"TMEM200B",9,0.000845702295354048
"SDC3",6,0.0263590715208656
"SNRNP40",12,0.028262715705836
"PEF1",8,0.018880264829429
"COL16A1",8,0.00484489609417472
"PTP4A2",16,0.1237524278726
"MARCKSL1",9,0.194389123927509
"NCDN",5,0.00963827955962294
"CLSPN",20,0.0126502036313358
"LSM10",18,0.00404617163720807
"C1orf109",7,0.0124163854830855
"YRDC",14,0.00605578454606988
"POU3F1",1,0.000233924204602536
"GJA9",12,0.000891615694639295
"RHBDL2",1,0.00468528491851936
"BMP8B",13,0.000510376221747614
"MYCL",9,0.00497165613060874
"MFSD2A",2,0.0933352243127232
"SLFNL1",19,0.00139902082499869
"EDN2",12,0.000655382454259192
"C1orf210",1,0.00862655971513752
"CDC20",4,0.00872530009919788
"RNF220",6,0.37505962024261
"TCTEX1D4",4,9.65539136579128e-05
"PDZK1IP1",12,0.00140764290577836
"AGBL4",6,0.121564527418919
"SELRC1",3,0.00219472658505172
"LDLRAD1",8,0.000169970206765169
"FAM151A",7,0.0012025106433844
"PARS2",20,0.00269513964492717
"DHCR24",8,0.0689438393820361
"TACSTD2",16,0.0305116868398293
"JUN",5,0.359169423560149
"TCTEX1D1",3,8.05522806210567e-05
"DEPDC1",4,0.00836960835942175
"NEGR1",3,0.0386841623512913
"LRRIQ3",18,0.00529921524686389
"LRRC53",7,0.00193855089781891
"SLC44A5",18,0.0437452628941327
"ST6GALNAC3",20,0.217502242874802
"ST6GALNAC5",21,0.117402865069433
"PIGK",2,0.0270023474787433
"DNASE2B",20,0.000160480538794654
"LPAR3",3,0.00163371513853151
"CYR61",5,0.056756630201855
"GBP2",12,0.000605821748037174
"GBP4",13,0.000612884850801539
"BCAR3",18,0.029513408841486
"F3",1,0.0140369944395319
"DPYD",3,0.142008830250996
"OLFM3",11,0.0202196180476996
"COL11A1",6,0.21448964333688
"VAV3",6,0.0241815442676915
"TAF13",16,0.0108988053886992
"C1orf194",8,0.000772763506388233
"KIAA1324",3,0.0147019858135183
"ALX3",15,7.25166652942286e-05
"SLC16A4",7,0.00660232457920073
"KCNA2",2,0.000123299045570215
"KCNA3",15,0.000307372886523793
"FAM212B",5,0.00393384089374718
"KCND3",8,0.00436835126890036
"RSBN1",17,0.0509382377649952
"DCLRE1B",17,0.0163714917237381
"DENND2C",7,0.00309843353797113
"NRAS",14,0.0150015906410016
"NGF",5,0.00113188733712378
"AL136376.1",12,0.000821009976521648
"VTCN1",1,0.00121786345480497
"ZNF697",2,0.00501118748963084
"TXNIP",11,0.199281282379167
"FMO5",6,0.00831110480899941
"HIST2H2BF",14,0.004259497222162
"SF3B4",5,0.0167277107293529
"ADAMTSL4-AS1",4,0.00019064280627319
"HORMAD1",4,0.0445865752248099
"SEMA6C",14,0.00966848253304308
"RIIAD1",21,0.000104851035170466
"S100A10",11,0.150710307310818
"FLG",6,0.00036563960003847
"SPRR3",10,9.16980183562661e-05
"S100A9",12,0.00126126166573804
"S100A6",5,0.0956431522703008
"S100A4",9,0.0065322899872129
"S100A2",12,0.00068940809919806
"S100A16",11,0.0459097316586815
"S100A1",6,0.000119848989861368
"TPM3",16,0.0549982382176623
"PBXIP1",9,0.0557333543113374
"SHC1",12,0.0207004627846965
"DCST2",4,0.00150381192984841
"FAM189B",14,0.0154866529751774
"TSACC",19,0.000195477367782796
"CD5L",10,0.000299006833943724
"SLAMF8",10,9.14600146578753e-05
"IGSF9",12,0.0150003667419047
"CD84",15,0.000332598761201657
"USF1",7,0.00218949571152306
"PVRL4",16,0.0195479100824292
"B4GALT3",17,0.0126942172665932
"AL590714.1",10,0.000185834384953857
"SH2D1B",2,0.000143957635794314
"RXRG",15,0.000824901560199683
"ALDH9A1",14,0.0463435781121029
"ILDR2",9,0.000913202914441337
"CD247",9,0.00190759761581558
"DPT",2,0.000563315529833895
"SELL",10,0.000401028892438818
"SELE",18,0.000129817327656696
"MROH9",15,0.000764689626853234
"FMO2",3,0.00999893295436737
"MYOC",15,0.00022609351759872
"TNFSF18",4,0.000222890729544117
"TNFSF4",10,0.00066714270343115
"ANGPTL1",17,0.00170379344088775
"RGS16",18,0.016917734830592
"ARPC5",5,0.0377873933261144
"APOBEC4",1,0.000157179893829884
"COLGALT2",14,0.00122896259111026
"FAM129A",16,0.0462121951251662
"PTGS2",16,0.00395126813344341
"BRINP3",1,0.003949432584943
"RGS18",10,0.000183070654261956
"GLRX2",9,0.00362428420854409
"KCNT2",4,0.0719632864369923
"CFH",3,0.0201211544244322
"CFHR4",21,0.000323664837919495
"ASPM",4,0.0580305576843969
"KIF14",2,0.0177058602378116
"ELF3",1,0.137823829506834
"UBE2T",20,0.00647968849239528
"SYT2",10,0.00189058606333456
"ADIPOR1",5,0.0186608818461392
"BTG2",5,0.059698182166725
"PRELP",19,0.000401804968028025
"RAB7L1",7,0.00884327694423643
"C1orf147",15,0.000376836594865238
"PIGR",3,0.000950930087240543
"FCAMR",3,0.000157319262386579
"C1orf116",21,0.0816816779423476
"NEK2",4,0.00731765899729194
"ATF3",16,0.0281383706050005
"CENPF",4,0.0851311125452687
"ESRRG",12,0.0121015768227518
"DUSP10",3,0.0047942385103615
"HHIPL2",10,0.000129965558617244
"IBA57-AS1",4,0.000115511048624096
"C1orf198",11,0.0995701469750048
"SIPA1L2",1,0.00388999105015645
"SLC35F3",12,0.0216201183317925
"GNG4",1,0.00196465526654401
"CHRM3",1,0.00760123654308481
"AL646016.1",6,0.000109557409041124
"CHML",21,0.0391195890094072
"AC092782.1",11,0.0002103894466766
"RP11-156E8.1",19,0.000132330269907147
"ZNF695",7,0.00337654776894174
"RAD51AP2",7,0.000981986924363659
"NT5C1B",16,0.0016697628442096
"PFN4",19,0.00125771073695587
"ADCY3",6,0.00622319204537945
"GPR113",1,0.00193722921134708
"CIB4",15,0.000460997674204977
"CGREF1",1,0.000406364391684899
"SLC5A6",7,0.00809340621533591
"SLC30A3",10,0.0001899479621931
"DNAJC5G",6,0.000127013315498076
"UCN",20,0.000912468319033278
"CCDC121",21,0.00161107101399579
"AC110084.1",13,0.00191923283751269
"GALNT14",11,0.000889022631052052
"XDH",14,0.0017056418196799
"AC007401.2",3,0.0061379186238727
"CYP1B1",22,0.00102097682119477
"CDKL4",6,0.00460560607262427
"ZFP36L2",11,0.0965291106995147
"SIX2",1,0.000127476535674076
"PRKCE",5,0.133382233033873
"NRXN1",5,0.0455904858962152
