"gene","module","score"
"HES4",1,0.0765164751092982
"ACAP3",5,0.0485631598327605
"TMEM240",13,0.0021550751983761
"AL590822.1",13,0.0014704610841031
"MORN1",16,0.0202911897545577
"HES2",3,0.000405421079853059
"CASZ1",2,0.035241390661461
"KAZN",3,0.0385716118706458
"C1orf195",20,0.00140254593329859
"CTRC",14,1.10373265158593
"CELA2A",17,0.0447320570186786
"EPHA2",21,0.00914620984832995
"MFAP2",4,0.0014496763352327
"PADI2",14,0.00107581460825593
"IFFO2",1,0.0912246409187645
"AKR7A3",14,0.114221731697533
"CAPZB",10,0.210214343299391
"RNF186",14,0.0515258144429964
"CAMK2N1",10,0.146843043490421
"RAP1GAP",11,0.0713180377016142
"CELA3B",14,0.349588383041035
"CELA3A",14,1.24997119665961
"WNT4",7,0.0259696910689125
"C1QC",15,0.000435937240876724
"ID3",4,0.108569353540617
"SRSF10",16,0.0124034762020176
"IL22RA1",21,0.0596431397426658
"STPG1",9,0.0140232617139945
"AUNIP",8,0.00170239877038986
"STMN1",3,0.146513891719708
"UBXN11",6,0.0318843655042497
"CD52",10,0.00113018883169039
"AHDC1",10,0.0954054613768094
"THEMIS2",12,0.000742210271629391
"TMEM200B",22,0.000338126838971609
"SDC3",2,0.0053154466666908
"SNRNP40",9,0.0252393872218514
"BAI2",3,0.00106747599651956
"FAM167B",18,0.00206389119707442
"MARCKSL1",9,0.151485922183567
"GJA4",14,0.0275195598924273
"DLGAP3",2,0.00567201615330459
"NCDN",9,0.0192782182843687
"CLSPN",1,0.00467840706185953
"CDCA8",1,0.00427073339014157
"POU3F1",13,0.00210516031781336
"RHBDL2",7,0.00112399033684661
"BMP8B",12,0.00220794169328926
"MYCL",12,0.00494743503246669
"COL9A2",3,0.0182995718200314
"CITED4",6,0.0745475024577049
"LEPRE1",11,0.0383962018735828
"CDC20",3,0.00627585888526887
"BEST4",4,0.00200543330199785
"PIK3R3",5,0.0255293951084453
"TEX38",19,0.000490829935954149
"PDZK1IP1",21,0.00031611470312295
"AGBL4",5,0.141387310904377
"ELAVL4",5,0.0617649838212858
"RAB3B",11,0.207043689034582
"FAM151A",16,0.000983710432410054
"C1orf177",13,0.000478490195382362
"TACSTD2",4,0.0983415768508071
"AL138847.1",19,0.000268653181336212
"LEPR",18,0.0315228678826214
"DEPDC1",21,0.00501875896681046
"LRRC7",3,0.0148070335926248
"PTGER3",6,0.023682425263545
"NEGR1",2,0.0386568459212866
"LRRC53",17,0.00723923984098706
