,clusters,mean
AL627309.1,11,0.0014104085269943435
HES4,8,0.0016513022556044197
C1orf159,10,0.020230246439773343
C1orf86,1,0.01973762195092908
AL590822.2,1,0.0009878457978581689
MORN1,13,0.007186763438541855
GPR153,15,0.0007839045784984344
TNFRSF25,7,0.0018122066431478642
ERRFI1,17,0.2518408886270332
CASZ1,19,0.008841984090376318
KIAA2013,2,0.006946061480216069
KAZN,0,0.05176317218903612
C1orf195,9,0.0017845916625797596
RSC1A1,14,0.0003053964526160515
ZBTB17,0,0.006018253464092057
AKR7A3,6,0.0004506784594333297
CAPZB,8,0.10100704078242753
CAMK2N1,4,0.06626413406390531
ALPL,1,0.0011826615289751235
LDLRAD2,3,0.0003458797121513663
C1QC,2,0.00821760952410982
LACTBL1,7,0.0004114595892781567
ID3,2,0.00890439432641769
SRSF10,17,0.007842854368048588
STMN1,3,0.03567447687586454
PAFAH2,19,0.01665225765558326
UBXN11,10,0.005684897944624626
CD52,8,0.0003237288609210908
GPATCH3,16,0.003975979766259639
SLC9A1,17,0.009079739477606232
AHDC1,9,0.039448192431600554
FGR,18,0.00035910649274668
SDC3,4,0.012541097065328681
SNRNP40,17,0.018660655264165122
PEF1,1,0.011600053334331055
BAI2,20,0.0007355896684171294
MARCKSL1,4,0.04177305480450403
CSMD2,9,0.005629717750208418
LSM10,3,0.004391789589701989
MEAF6,0,0.018986660444015264
GNL2,9,0.011626880938234309
CDCA8,15,0.008526034909534222
EPHA10,14,0.00031844338743256434
SLFNL1,13,0.0022270269447692568
HIVEP3,17,0.03445867270389903
CDC20,4,0.005095761858702193
HYI,0,0.013801031477710455
PTCH2,12,0.00202401707771467
HECTD3,1,0.005856701479946873
ZSWIM5,6,0.16668131038109874
TESK2,16,0.0813083456443142
PRDX1,4,0.07254651575176108
TRABD2B,12,0.040500345795252024
C1orf185,11,0.0006061149090000669
TTC39A,11,0.0015876965414819513
KTI12,14,0.0012762904995202104
C1orf123,2,0.009783568678900586
PARS2,3,0.001847038990969963
DHCR24,4,0.3950386927294714
JUN,4,0.018847608680848792
ANGPTL3,2,0.23682510405083942
PDE4B,7,0.057831569054767204
SGIP1,10,0.19428768240303254
AL139147.1,9,0.0006840359652354286
WDR78,12,0.011358903698415228
DEPDC1,8,0.005392354803367682
LRRC7,8,0.01836384585284319
LRRC40,6,0.03068039360162185
CTH,10,0.03452436766387809
NEGR1,11,0.010408780018561463
FPGT-TNNI3K,10,0.0029724605899690963
LRRC53,8,0.007788084049443121
SLC44A5,9,0.01722020920217959
ELTD1,4,0.0007400693376001125
ODF2L,13,0.010436282394029031
RP11-147C23.1,11,0.00042657009336951804
LRRC39,10,0.002546349182671925
GPR88,5,0.0003236968420985838
VAV3,5,0.0050057524004386384
HENMT1,20,0.001261581633801401
TAF13,0,0.011488997656222586
CSF1,14,0.0031578007720377706
SLC16A4,11,0.00967440192934726
FAM212B,6,0.0034116249893436424
BCL2L15,9,0.0005875314523843787
DCLRE1B,7,0.026156391149907705
NRAS,3,0.016090246964815126
AL136376.1,7,0.00033591471092633964
TRIM45,18,0.003357077656473065
CD160,20,0.0005527867256130445
NBPF20,11,0.0020567717784831544
HIST2H2BF,10,0.0015005593450597612
SF3B4,4,0.003730390613597891
MTMR11,7,0.0022827205035355082
HORMAD1,19,0.0008055380396535585
CERS2,2,0.08877884159916097
SEMA6C,12,0.029534832312495964
LYSMD1,2,0.0038470721453499994
S100A10,3,0.04510588387559083
S100A6,2,0.027563567508668098
S100A4,1,0.020834075444533567
S100A16,4,0.0160941300944483
UBE2Q1,4,0.008125892568801207
KCNN3,9,0.0022899089683685076
SHC1,4,0.020989200797389442
MUC1,1,0.0015481080192110122
FAM189B,0,0.008396923568406307
SEMA4A,12,0.0022904432764979483
NES,1,0.002752044077083594
AIM2,4,0.0010308489987071023
IGSF9,20,0.0008501425246030905
ITLN1,3,0.0011532423251048734
USF1,4,0.002182872218386959
AL590714.1,4,0.14418652531914578
APOA2,1,1.6842573274967974
C1orf192,12,0.0005511739575991664
ALDH9A1,2,0.03049463380199138
FAM78B,6,0.008811180898922084
ILDR2,8,0.0007495499616813753
CD247,14,0.0011543094507463453
ADCY10,13,0.016742912653861176
METTL18,20,0.0012646292847402474
MROH9,7,0.005053861658036438
FMO3,13,0.019066879350698635
TNFSF4,19,0.008149865457594345
ANKRD45,6,0.00037514069715647864
CENPL,0,0.00402111882079966
SERPINC1,4,0.2230818121834434
ANGPTL1,15,0.0013599177011617601
AL162431.1,14,0.0003757082889424962
GLUL,4,0.12920945280970825
NMNAT2,11,0.002385889647611703
HMCN1,4,0.0037802453710014277
B3GALT2,1,0.0008634545699216901
ASPM,15,0.04885695471591409
KIF14,15,0.012478746476771815
PTPN7,1,0.0018795604507241246
UBE2T,8,0.007386583884546954
SYT2,7,0.0009169357318561438
ADIPOR1,2,0.020241701586992098
PRELP,20,0.0005273469104777994
KISS1,0,0.0009476239172725885
CNTN2,4,0.0007242842377950188
TMEM81,3,0.0003167118538348876
KLHDC8A,9,0.0004376552239218076
LEMD1,1,0.0008298079058709698
ELK4,15,0.021579790687535932
SLC45A3,19,0.01013052187545654
SLC30A1,1,0.020554679174050537
NEK2,5,0.004141697503374305
TMEM206,6,0.00278733935473854
ESRRG,5,0.006613981690054146
HLX,7,0.0005917303170197129
TLR5,12,0.0024293868468261747
SUSD4,5,0.0005342630417825801
TRIM17,13,0.00032304345641174256
AGT,4,0.49667272898331816
SIPA1L2,13,0.006298459986014184
SLC35F3,12,0.043780538929142895
IRF2BP2,1,0.033418965691229555
GNG4,10,0.06447568541561126
GREM2,10,0.02023742235836285
