,clusters,mean
NOC2L,0,0.027333235726937088
HES4,2,0.003813535976884462
C1orf159,4,0.019076227569187948
C1orf86,5,0.03995243528220275
AL590822.2,8,0.0017335547045328325
MORN1,8,0.007741668803236878
GPR153,3,0.0013783107079290355
DNAJC11,9,0.04342696566650275
CASZ1,11,0.011020179907308802
KIAA2013,2,0.009726951905644753
KAZN,1,0.07650579084471379
FHAD1,1,0.0014229876717640076
CAPZB,12,0.12534979682815092
ALPL,6,0.002853014157309426
LDLRAD2,13,0.0007498518409716932
C1QC,6,0.017637067138634537
ZNF436,1,0.0026558847107896947
ID3,14,0.019845059766488742
SRSF10,13,0.005817131172937579
IL22RA1,13,0.022222494224411315
STPG1,13,0.004793262872836
AUNIP,5,0.0036326488902484614
STMN1,3,0.07688475215942646
UBXN11,8,0.005407810227758021
SLC9A1,15,0.008540468035890496
AHDC1,16,0.04094893497483406
SDC3,17,0.02192655184940168
SNRNP40,0,0.0180017352229364
PEF1,2,0.022159408006207103
BAI2,18,0.0016604605555706501
FAM167B,6,0.003305274528860341
MARCKSL1,17,0.0975888553162388
ZBTB8A,13,0.0025788133922354114
RNF19B,8,0.009872876533113162
LSM10,7,0.00956992150360006
GRIK3,7,0.0033835533115851657
MEAF6,11,0.026721894440492017
GNL2,13,0.011572011472767558
EPHA10,15,0.000728143621588379
COL9A2,2,0.005172822241435386
ZFP69B,8,0.0008232967878159626
CITED4,3,0.0037218750155776376
SLFNL1,19,0.0012979119695185242
HIVEP3,4,0.024241220694827786
FAM183A,8,0.0006501154583333225
CDC20,6,0.011387148961313832
HYI,17,0.023375684057619264
RNF220,1,0.038951591633762335
HECTD3,19,0.00910055454440756
ZSWIM5,9,0.10652325252925662
TESK2,20,0.052435317558681485
LRRC41,4,0.05402357926564932
TRABD2B,8,0.024128324596663486
AGBL4,0,0.00509034729144314
TTC39A,1,0.0029129518417437073
KTI12,7,0.0028086586067960543
SELRC1,4,0.0027622087657462606
C1orf123,15,0.018624706652544634
LRP8,18,0.0007936220457540292
SSBP3,16,0.10596002173907328
C1orf168,10,0.10234316814839191
DAB1,9,0.24596215962702303
OMA1,8,0.03495498765955879
MYSM1,4,0.027581492532464093
JUN,2,0.03530537605107237
