,clusters,mean
TNFRSF18,16,0.0002976799216385172
FAM132A,5,0.00020457578115584687
C1orf222,6,0.0009334794060374179
C1orf86,13,0.030410495574687686
MMEL1,14,0.0005568766515709979
AJAP1,17,0.00121198301440977
TAS1R1,6,0.0003175936811591748
UTS2,8,0.000412252401770004
ERRFI1,0,0.12990277367031908
CASZ1,17,0.014101158605856201
MASP2,14,0.0007261607359028515
CLCNKA,14,0.0003187925820932151
MFAP2,14,0.00037163085081767637
AKR7A3,9,0.0005099608432449799
CAPZB,4,0.15177339365222298
PLA2G2A,8,0.0005838407073890259
WNT4,15,0.00736417350046588
ID3,4,0.07606877726446422
SRSF10,6,0.01194285623722677
IL22RA1,21,0.0005811227424220878
GRHL3,18,0.00026970058872400986
STPG1,2,0.009825568078827188
RUNX3,14,0.0002637776043349342
AL020996.1,10,0.000109877158149635
AUNIP,5,0.0021169002343343047
STMN1,16,0.19144721994093128
PAFAH2,3,0.014274737391895758
EXTL1,18,0.00018453621898170287
UBXN11,6,0.013307970804117525
SFN,0,0.000979856539665538
AHDC1,4,0.0896808801384679
THEMIS2,14,0.00029108717589361823
TMEM200B,8,0.0008457022953540482
SDC3,5,0.02635907152086559
SNRNP40,11,0.028262715705836047
PEF1,7,0.01888026482942898
COL16A1,7,0.004844896094174718
PTP4A2,15,0.12375242787260027
MARCKSL1,8,0.19438912392750882
NCDN,4,0.009638279559622936
CLSPN,19,0.012650203631335823
LSM10,17,0.004046171637208067
C1orf109,6,0.012416385483085518
YRDC,13,0.00605578454606988
POU3F1,0,0.00023392420460253586
GJA9,11,0.0008916156946392949
RHBDL2,0,0.0046852849185193566
BMP8B,12,0.0005103762217476144
MYCL,8,0.00497165613060874
MFSD2A,1,0.09333522431272322
SLFNL1,18,0.0013990208249986882
EDN2,11,0.0006553824542591925
C1orf210,0,0.00862655971513752
CDC20,3,0.00872530009919788
RNF220,5,0.37505962024261036
TCTEX1D4,3,9.655391365791283e-05
PDZK1IP1,11,0.0014076429057783633
AGBL4,5,0.12156452741891864
SELRC1,2,0.002194726585051718
LDLRAD1,7,0.00016997020676516906
FAM151A,6,0.0012025106433843976
PARS2,19,0.0026951396449271673
DHCR24,7,0.06894383938203606
TACSTD2,15,0.030511686839829282
JUN,4,0.3591694235601486
TCTEX1D1,2,8.05522806210567e-05
DEPDC1,3,0.008369608359421753
NEGR1,2,0.038684162351291296
LRRIQ3,17,0.005299215246863889
LRRC53,6,0.0019385508978189115
SLC44A5,17,0.04374526289413268
ST6GALNAC3,19,0.21750224287480227
ST6GALNAC5,20,0.11740286506943327
PIGK,1,0.02700234747874328
DNASE2B,19,0.00016048053879465414
LPAR3,2,0.0016337151385315135
CYR61,4,0.05675663020185497
GBP2,11,0.0006058217480371743
GBP4,12,0.0006128848508015389
BCAR3,17,0.02951340884148603
F3,0,0.01403699443953191
DPYD,2,0.14200883025099587
OLFM3,10,0.02021961804769958
COL11A1,5,0.2144896433368802
VAV3,5,0.02418154426769155
TAF13,15,0.010898805388699154
C1orf194,7,0.0007727635063882334
KIAA1324,2,0.014701985813518276
ALX3,14,7.251666529422857e-05
SLC16A4,6,0.006602324579200735
KCNA2,1,0.00012329904557021522
KCNA3,14,0.0003073728865237927
FAM212B,4,0.003933840893747176
KCND3,7,0.004368351268900359
RSBN1,16,0.050938237764995155
DCLRE1B,16,0.01637149172373809
DENND2C,6,0.003098433537971133
NRAS,13,0.015001590641001587
NGF,4,0.00113188733712378
AL136376.1,11,0.0008210099765216479
VTCN1,0,0.001217863454804967
ZNF697,1,0.005011187489630836
TXNIP,10,0.19928128237916692
FMO5,5,0.008311104808999412
HIST2H2BF,13,0.004259497222162004
SF3B4,4,0.016727710729352863
ADAMTSL4-AS1,3,0.0001906428062731897
HORMAD1,3,0.04458657522480989
SEMA6C,13,0.00966848253304308
RIIAD1,20,0.00010485103517046612
S100A10,10,0.1507103073108179
FLG,5,0.0003656396000384704
SPRR3,9,9.169801835626605e-05
S100A9,11,0.0012612616657380396
S100A6,4,0.09564315227030082
S100A4,8,0.006532289987212903
S100A2,11,0.0006894080991980604
S100A16,10,0.045909731658681494
S100A1,5,0.00011984898986136824
TPM3,15,0.054998238217662296
PBXIP1,8,0.05573335431133738
SHC1,11,0.020700462784696488
DCST2,3,0.001503811929848411
FAM189B,13,0.015486652975177373
TSACC,18,0.00019547736778279567
CD5L,9,0.00029900683394372353
SLAMF8,9,9.146001465787529e-05
IGSF9,11,0.01500036674190469
CD84,14,0.00033259876120165697
USF1,6,0.0021894957115230584
PVRL4,15,0.019547910082429187
B4GALT3,16,0.012694217266593208
AL590714.1,9,0.00018583438495385738
SH2D1B,1,0.00014395763579431417
RXRG,14,0.0008249015601996833
ALDH9A1,13,0.04634357811210288
ILDR2,8,0.0009132029144413368
CD247,8,0.0019075976158155776
DPT,1,0.000563315529833895
SELL,9,0.0004010288924388181
SELE,17,0.000129817327656696
MROH9,14,0.0007646896268532335
FMO2,2,0.009998932954367368
MYOC,14,0.00022609351759872
TNFSF18,3,0.00022289072954411688
TNFSF4,9,0.0006671427034311505
ANGPTL1,16,0.0017037934408877494
RGS16,17,0.016917734830592026
ARPC5,4,0.0377873933261144
APOBEC4,0,0.00015717989382988434
COLGALT2,13,0.001228962591110255
FAM129A,15,0.046212195125166236
PTGS2,15,0.003951268133443406
BRINP3,0,0.0039494325849429995
RGS18,9,0.00018307065426195567
GLRX2,8,0.0036242842085440867
KCNT2,3,0.07196328643699233
CFH,2,0.02012115442443218
CFHR4,20,0.00032366483791949484
ASPM,3,0.058030557684396904
KIF14,1,0.017705860237811587
ELF3,0,0.13782382950683394
UBE2T,19,0.006479688492395276
SYT2,9,0.0018905860633345567
ADIPOR1,4,0.018660881846139194
BTG2,4,0.059698182166725004
PRELP,18,0.0004018049680280253
RAB7L1,6,0.008843276944236428
C1orf147,14,0.00037683659486523825
PIGR,2,0.0009509300872405435
FCAMR,2,0.0001573192623865792
C1orf116,20,0.08168167794234764
NEK2,3,0.007317658997291939
ATF3,15,0.028138370605000462
CENPF,3,0.08513111254526869
ESRRG,11,0.012101576822751757
DUSP10,2,0.004794238510361502
HHIPL2,9,0.0001299655586172438
IBA57-AS1,3,0.00011551104862409619
C1orf198,10,0.09957014697500477
SIPA1L2,0,0.003889991050156453
SLC35F3,11,0.02162011833179248
GNG4,0,0.001964655266544011
CHRM3,0,0.007601236543084815
AL646016.1,5,0.00010955740904112429
CHML,20,0.039119589009407194
AC092782.1,10,0.00021038944667659971
RP11-156E8.1,18,0.00013233026990714687
