,clusters,mean
HES4,0,0.07651647510929824
ACAP3,4,0.04856315983276053
TMEM240,12,0.002155075198376102
AL590822.1,12,0.0014704610841031
MORN1,15,0.020291189754557716
HES2,2,0.0004054210798530595
CASZ1,1,0.035241390661460974
KAZN,2,0.0385716118706458
C1orf195,19,0.0014025459332985856
CTRC,13,1.10373265158593
CELA2A,16,0.04473205701867862
EPHA2,20,0.009146209848329947
MFAP2,3,0.0014496763352327042
PADI2,13,0.0010758146082559309
IFFO2,0,0.09122464091876449
AKR7A3,13,0.11422173169753252
CAPZB,9,0.21021434329939098
RNF186,13,0.051525814442996365
CAMK2N1,9,0.1468430434904215
RAP1GAP,10,0.07131803770161421
CELA3B,13,0.349588383041035
CELA3A,13,1.2499711966596143
WNT4,6,0.025969691068912452
C1QC,14,0.000435937240876724
ID3,3,0.10856935354061688
SRSF10,15,0.012403476202017606
IL22RA1,20,0.059643139742665795
STPG1,8,0.014023261713994525
AUNIP,7,0.0017023987703898623
STMN1,2,0.14651389171970827
UBXN11,5,0.03188436550424968
CD52,9,0.0011301888316903944
AHDC1,9,0.09540546137680939
THEMIS2,11,0.0007422102716293906
TMEM200B,21,0.0003381268389716092
SDC3,1,0.005315446666690803
SNRNP40,8,0.025239387221851376
BAI2,2,0.0010674759965195566
FAM167B,17,0.0020638911970744184
MARCKSL1,8,0.15148592218356655
GJA4,13,0.02751955989242728
DLGAP3,1,0.00567201615330459
NCDN,8,0.019278218284368674
CLSPN,0,0.004678407061859528
CDCA8,0,0.004270733390141566
POU3F1,12,0.002105160317813359
RHBDL2,6,0.0011239903368466093
BMP8B,11,0.0022079416932892647
MYCL,11,0.004947435032466687
COL9A2,2,0.018299571820031408
CITED4,5,0.0745475024577049
LEPRE1,10,0.03839620187358276
CDC20,2,0.00627585888526887
BEST4,3,0.0020054333019978478
PIK3R3,4,0.02552939510844535
TEX38,18,0.0004908299359541485
PDZK1IP1,20,0.00031611470312295004
AGBL4,4,0.14138731090437728
ELAVL4,4,0.06176498382128581
RAB3B,10,0.20704368903458248
FAM151A,15,0.000983710432410054
C1orf177,12,0.0004784901953823624
TACSTD2,3,0.09834157685080715
AL138847.1,18,0.00026865318133621177
LEPR,17,0.0315228678826214
DEPDC1,20,0.005018758966810461
LRRC7,2,0.014807033592624771
PTGER3,5,0.02368242526354501
NEGR1,1,0.03865684592128657
LRRC53,16,0.007239239840987062
SLC44A5,1,0.01758527489260646
ST6GALNAC5,10,0.15285967784491486
MCOLN2,19,0.0013702464853114968
CYR61,3,0.07762641847559816
EPHX4,17,0.0007007537753018374
F3,13,0.07501560612900196
CNN3,3,0.10642661236652244
PALMD,5,0.01977142895217437
FRRS1,16,0.004490072282328491
VCAM1,20,0.001069810712026926
NTNG1,11,0.01115910764034986
