,clusters,mean
PLEKHN1,15,0.004918556277061945
TNFRSF4,12,0.00815078031653793
SKI,1,0.13109684494631832
PRDM16,13,0.003004707581366832
LINC00337,23,0.0013305953032145088
TNFRSF9,25,0.005155078451650672
GPR157,15,0.013921725692941698
KAZN,15,0.04262144579926686
TMEM51,21,0.08729566312858285
PADI2,11,0.0050927112676198375
IGSF21,21,0.04592988999885665
PLA2G5,0,0.0031451328523474462
C1QA,2,0.029264989836155678
EPHB2,2,0.027997976131622093
TEX46,0,0.0008742788529962631
CNR2,4,0.03679405806255278
RCAN3,20,0.08139905926459008
CLIC4,2,0.08781821471456619
CD52,4,0.046722316702643096
ZNF683,20,0.015148140612028214
FGR,8,0.10002268624834994
SDC3,2,0.10727824691334664
TFAP2E,0,0.011849474428249103
CSF3R,8,0.11475342696351916
EBNA1BP2,13,0.14413163515954644
PTCH2,10,0.03236934095473739
ZSWIM5,20,0.09822970364386845
TESK2,5,0.10690664171814046
PIK3R3,18,0.09557935342359698
TAL1,19,0.002662675759789843
AGBL4,9,0.06524676594783131
GLIS1,23,0.003553177470684826
LEXM,22,0.009032230956681308
MIR4422HG,7,0.007873141038920804
AL603840.1,0,0.034104130024245
PLPP3,17,0.12652030482340135
DAB1,1,0.12733740610871588
JUN,3,0.03195907887428963
LINC01135,7,0.0325379095089174
AC093425.1,19,0.0014445140147284203
ROR1,17,0.07605621095022315
DNAJC6,14,0.013265993391615799
PDE4B,2,0.30659123405255756
IL23R,12,0.034126335051642434
IL12RB2,22,0.09218715395683565
NEGR1,6,0.01903118156407279
ST6GALNAC3,5,0.07265311789467678
AK5,25,0.020847354399552435
AC103591.3,8,0.010702273966909207
IFI44L,3,0.07049075737689203
ADGRL2,6,0.12817965955723548
LINC01362,13,0.008130028999581982
MCOLN2,15,0.07029011959145258
WDR63,16,0.02840746528984312
COL24A1,18,0.008093162959276255
GBP5,7,0.11362474950143339
TGFBR3,22,0.23713710276142808
DIPK1A,4,0.1540351959163655
DPYD-AS1,3,0.11968119412726763
CDC14A,20,0.2946700733931228
VCAM1,2,0.07130457285987725
SLC16A1-AS1,23,0.12367787696593162
AL137856.1,4,0.059059964810199234
SLC22A15,18,0.04867998870866057
AL445231.1,5,0.0027946961919286003
TENT5C,16,0.02453212874321483
LINC02798,3,0.02820468613288079
CD160,12,0.057218285952728494
CTSS,8,0.2659240837371881
TCHH,10,0.004739572685147808
S100A6,1,0.04261998319063005
S100A4,1,0.09509688041186193
AL358472.2,3,0.0012948190179927481
SH2D2A,24,0.03936122653872477
FCRL5,19,0.001014845846623488
FCRL3,24,0.03884148459543631
FCRL1,18,0.0066829170323392745
CD5L,2,0.08890009857774187
SPTA1,6,0.0004224000945026918
MNDA,17,0.03246193383623124
PYHIN1,24,0.3267818869003371
CRP,15,0.10934184574686372
FCRL6,16,0.051443914342681384
LINC01133,6,0.0018099281255685607
SLAMF6,20,0.13293539202775229
SLAMF1,12,0.07054930996140825
SLAMF7,15,0.08212871443656052
APOA2,6,0.2290488672977858
HSPA6,2,0.01719496158202741
SH2D1B,22,0.02708031670846128
UCK2,11,0.035038704337309975
CD247,12,0.5995961601751967
XCL1,20,0.006194658084705509
LINC00970,9,0.038547247851385885
SELE,15,0.004164632778846537
FMO3,14,0.12569031877794443
DNM3,15,0.034491342307172164
AL031599.1,22,0.028308037370407754
RABGAP1L-DT,1,0.0031968708467246336
TNR,14,0.006567014929260691
LINC02818,19,0.0004872381959745851
GLUL,2,0.08657796083082424
RGL1,2,0.28728035332674823
COLGALT2,22,0.018733784420355656
C1orf21,23,0.12194126760417077
NIBAN1,15,0.15296152802784305
ERVMER61-1,20,0.033523530676541936
AL138927.1,18,0.0033866953710738274
