"gene","module","score"
"PLEKHN1",16,0.00491855627706194
"TNFRSF4",13,0.00815078031653793
"SKI",2,0.131096844946318
"PRDM16",14,0.00300470758136683
"LINC00337",24,0.00133059530321451
"TNFRSF9",26,0.00515507845165067
"GPR157",16,0.0139217256929417
"KAZN",16,0.0426214457992669
"TMEM51",22,0.0872956631285828
"PADI2",12,0.00509271126761984
"IGSF21",22,0.0459298899988567
"PLA2G5",1,0.00314513285234745
"C1QA",3,0.0292649898361557
"EPHB2",3,0.0279979761316221
"TEX46",1,0.000874278852996263
"CNR2",5,0.0367940580625528
"RCAN3",21,0.0813990592645901
"CLIC4",3,0.0878182147145662
"CD52",5,0.0467223167026431
"ZNF683",21,0.0151481406120282
"FGR",9,0.10002268624835
"SDC3",3,0.107278246913347
"TFAP2E",1,0.0118494744282491
"CSF3R",9,0.114753426963519
"EBNA1BP2",14,0.144131635159546
"PTCH2",11,0.0323693409547374
"ZSWIM5",21,0.0982297036438684
"TESK2",6,0.10690664171814
"PIK3R3",19,0.095579353423597
"TAL1",20,0.00266267575978984
"AGBL4",10,0.0652467659478313
"GLIS1",24,0.00355317747068483
"LEXM",23,0.00903223095668131
"MIR4422HG",8,0.0078731410389208
"AL603840.1",1,0.034104130024245
"PLPP3",18,0.126520304823401
"DAB1",2,0.127337406108716
"JUN",4,0.0319590788742896
"LINC01135",8,0.0325379095089174
"AC093425.1",20,0.00144451401472842
"ROR1",18,0.0760562109502231
"DNAJC6",15,0.0132659933916158
"PDE4B",3,0.306591234052558
"IL23R",13,0.0341263350516424
"IL12RB2",23,0.0921871539568356
"NEGR1",7,0.0190311815640728
"ST6GALNAC3",6,0.0726531178946768
"AK5",26,0.0208473543995524
"AC103591.3",9,0.0107022739669092
"IFI44L",4,0.070490757376892
"ADGRL2",7,0.128179659557235
"LINC01362",14,0.00813002899958198
"MCOLN2",16,0.0702901195914526
"WDR63",17,0.0284074652898431
"COL24A1",19,0.00809316295927625
"GBP5",8,0.113624749501433
"TGFBR3",23,0.237137102761428
"DIPK1A",5,0.154035195916365
"DPYD-AS1",4,0.119681194127268
"CDC14A",21,0.294670073393123
"VCAM1",3,0.0713045728598772
"SLC16A1-AS1",24,0.123677876965932
"AL137856.1",5,0.0590599648101992
"SLC22A15",19,0.0486799887086606
"AL445231.1",6,0.0027946961919286
"TENT5C",17,0.0245321287432148
"LINC02798",4,0.0282046861328808
"CD160",13,0.0572182859527285
"CTSS",9,0.265924083737188
"TCHH",11,0.00473957268514781
"S100A6",2,0.04261998319063
"S100A4",2,0.0950968804118619
"AL358472.2",4,0.00129481901799275
"SH2D2A",25,0.0393612265387248
"FCRL5",20,0.00101484584662349
"FCRL3",25,0.0388414845954363
"FCRL1",19,0.00668291703233927
"CD5L",3,0.0889000985777419
"SPTA1",7,0.000422400094502692
"MNDA",18,0.0324619338362312
"PYHIN1",25,0.326781886900337
"CRP",16,0.109341845746864
"FCRL6",17,0.0514439143426814
"LINC01133",7,0.00180992812556856
"SLAMF6",21,0.132935392027752
"SLAMF1",13,0.0705493099614082
"SLAMF7",16,0.0821287144365605
"APOA2",7,0.229048867297786
"HSPA6",3,0.0171949615820274
"SH2D1B",23,0.0270803167084613
"UCK2",12,0.03503870433731
"CD247",13,0.599596160175197
"XCL1",21,0.00619465808470551
"LINC00970",10,0.0385472478513859
"SELE",16,0.00416463277884654
"FMO3",15,0.125690318777944
"DNM3",16,0.0344913423071722
"AL031599.1",23,0.0283080373704078
"RABGAP1L-DT",2,0.00319687084672463
"TNR",15,0.00656701492926069
"LINC02818",20,0.000487238195974585
"GLUL",3,0.0865779608308242
"RGL1",3,0.287280353326748
"COLGALT2",23,0.0187337844203557
"C1orf21",24,0.121941267604171
"NIBAN1",16,0.152961528027843
"ERVMER61-1",21,0.0335235306765419
"AL138927.1",19,0.00338669537107383
"RGS2",3,0.0113659454950948
"LINC01031",15,0.00299244562946754
"AL136456.1",21,0.437192016444198
"KCNT2",14,0.138765035566931
"ASPM",18,0.00857147276276301
