,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
ARID3A,tfdimers__MD00186,0.06234068146264545,3.5860496229059002,8.64282e-06,1.0,motif similar to tfdimers__MD00515 ('M01654_forward_4_M01835_reverse dimer: DRI1 / GKLF'; q-value = 8.64e-06) which is directly annotated,"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('CABP7', 0.5900088446554235), ('KCNJ5', 0.7884641270643227), ('CLCA2', 2.650330623649445), ('MGAT5B', 0.4471275714219796), ('NRN1', 0.7848650202146616), ('C15orf59', 0.5388020488190075), ('NPAS1', 0.7787025559184523), ('TNS1', 0.4594776623172615), ('FAM132A', 0.7217432658672912), ('HS3ST1', 0.7071942375893019), ('SYT10', 0.6707664765131561), ('RASGEF1A', 0.9987108155746184), ('EPHA8', 0.4958397470131717), ('KLF13', 2.7713453079079824), ('DES', 0.4337597724989941), ('RET', 0.9051222812507498), ('MADD', 0.5464760638705463), ('GJA5', 0.4551891641187242), ('SUPT16H', 1.2568400090305991), ('CACNG5', 0.473398406867515)]",775
ARID3A,metacluster_9.29,0.06103185435870588,3.446507643834572,7.24279e-06,0.803661,motif similar to transfac_pro__M02735 ('V$ARID3A_04: DRI1'; q-value = 7.24e-06) which is annotated for orthologous gene ENSMUSG00000019564 in M. musculus (identity = 80%),"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('POLE', 0.5222044899626754), ('SLC9A3', 0.4557445791940211), ('ARHGEF16', 0.6109064917384794), ('FN1', 0.6919938665767517), ('TRIM46', 0.6636660086282259), ('RNF208', 0.5670013643210466), ('CABP7', 0.5900088446554235), ('PPP1R27', 0.4442782020223051), ('CENPBD1', 0.9601431103152824), ('UNC93A', 0.5804071800114079), ('ARID3A', 1.0), ('CPLX1', 0.8010897731645903), ('PLBD1', 1.1242677181188514), ('SYNGR3', 0.4580292718220131), ('SLC34A1', 0.458128340615751), ('NTNG2', 0.7423188902962292), ('TMEM132E', 0.4651169774846805), ('ZNF17', 0.6520316592848983), ('UBAC1', 0.5500148148080696), ('ACTR1B', 1.4740281553030612), ('IKZF3', 0.4715804316791715), ('SMARCD3', 0.5071524020041723), ('TOM1L2', 0.9940611750533598), ('ADAMTS7', 0.4393636721356904), ('TMEM255B', 0.6037073061199372), ('BIRC7', 0.5262709267652379), ('CTRC', 0.5906726117957692), ('SLC39A13', 0.4906119189178703), ('C15orf59', 0.5388020488190075), ('UBE2O', 0.7349969371624944), ('KCNJ5', 0.7884641270643227), ('HCK', 0.4493377398897244), ('CCDC60', 0.6617065211304269), ('DES', 0.4337597724989941), ('RET', 0.9051222812507498), ('PCGF5', 0.4769702591980296), ('RASGEF1A', 0.9987108155746184), ('MGAT5B', 0.4471275714219796), ('SPEG', 0.429836485803391), ('TAGLN3', 1.6054320508344266), ('HS3ST3A1', 2.301663603232051), ('TG', 0.4536423175213417), ('MMD2', 0.6897355475770653), ('NIPSNAP3A', 0.6814978609405868), ('IRAK1BP1', 1.0765449055116465), ('SCO1', 0.500687196450861), ('RRS1', 1.0333463656513342), ('RAD54L2', 0.6405716975247178), ('AATK', 1.931448531307229), ('DOK6', 0.4884708507873245), ('SLC5A4', 0.5490555153916366), ('CBWD6', 0.5352234674056208), ('TBR1', 0.431595588499327), ('CHSY1', 0.5397147910194966), ('HIP1', 0.5237366567085743)]",3602
ARID3A,metacluster_9.23,0.058473408996004964,3.1737362990308577,3.14305e-06,0.803661,motif similar to transfac_pro__M02735 ('V$ARID3A_04: DRI1'; q-value = 3.14e-06) which is annotated for orthologous gene ENSMUSG00000019564 in M. musculus (identity = 80%),"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('CPLX1', 0.8010897731645903), ('GAS8', 0.7213438160005472), ('ZNF430', 0.540618540319828), ('STX1A', 0.5362739364356205), ('UNC93A', 0.5804071800114079), ('DTNB', 0.4347060076156889), ('TNS1', 0.4594776623172615), ('ADAM12', 0.8610713161031337), ('CCDC124', 0.673592369525607), ('KLF13', 2.7713453079079824), ('SCAMP4', 0.5974538220247965), ('CLIC5', 0.4809830045023819), ('SUPT16H', 1.2568400090305991)]",393
ARID3A,metacluster_9.22,0.05901563736763707,3.2315465475032648,2.88361e-06,0.803661,motif similar to transfac_pro__M02735 ('V$ARID3A_04: DRI1'; q-value = 2.88e-06) which is annotated for orthologous gene ENSMUSG00000019564 in M. musculus (identity = 80%),"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('UBAC1', 0.5500148148080696), ('KCNJ5', 0.7884641270643227), ('RASGEF1A', 0.9987108155746184), ('MGAT5B', 0.4471275714219796), ('CPLX1', 0.8010897731645903), ('NPAS1', 0.7787025559184523), ('NTNG2', 0.7423188902962292), ('CACNG5', 0.473398406867515), ('ACTR1B', 1.4740281553030612), ('TMEM132E', 0.4651169774846805), ('CABP7', 0.5900088446554235), ('C15orf59', 0.5388020488190075), ('GJA5', 0.4551891641187242), ('SYNGR3', 0.4580292718220131), ('SLC39A13', 0.4906119189178703), ('ARID3A', 1.0), ('CLIC5', 0.4809830045023819), ('SLC27A4', 0.4919931994171943), ('BIRC7', 0.5262709267652379), ('IRX6', 0.4287117142039131), ('TG', 0.4536423175213417)]",981
ARID3A,metacluster_9.28,0.05900940485761831,3.23088206188864,9.11481e-07,0.803661,motif similar to transfac_pro__M02735 ('V$ARID3A_04: DRI1'; q-value = 9.11e-07) which is annotated for orthologous gene ENSMUSG00000019564 in M. musculus (identity = 80%),"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('KCNJ5', 0.7884641270643227), ('UBAC1', 0.5500148148080696), ('MGAT5B', 0.4471275714219796), ('NTNG2', 0.7423188902962292), ('CACNG5', 0.473398406867515), ('RASGEF1A', 0.9987108155746184), ('TMEM255B', 0.6037073061199372), ('NPAS1', 0.7787025559184523), ('TMEM132E', 0.4651169774846805), ('CPLX1', 0.8010897731645903), ('EPT1', 0.5212499827669614), ('IRX6', 0.4287117142039131), ('NRN1', 0.7848650202146616), ('ARID3A', 1.0), ('SLC27A4', 0.4919931994171943), ('C15orf59', 0.5388020488190075), ('BIRC7', 0.5262709267652379), ('TG', 0.4536423175213417), ('GJA5', 0.4551891641187242), ('TBL2', 1.1900269441801836), ('SLC9A3', 0.4557445791940211), ('CLIC5', 0.4809830045023819), ('CABP7', 0.5900088446554235), ('SYNGR3', 0.4580292718220131)]",1177
ARID3A,tfdimers__MD00310,0.06169250042069443,3.5169431189848614,1.33354e-07,1.0,motif similar to tfdimers__MD00014 ('M01835_reverse_6_M01654_forward dimer: GKLF / DRI1'; q-value = 1.33e-07) which is directly annotated,"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('UBAC1', 0.5500148148080696), ('MGAT5B', 0.4471275714219796), ('NTNG2', 0.7423188902962292), ('CPLX1', 0.8010897731645903), ('SLC39A13', 0.4906119189178703), ('KCNJ5', 0.7884641270643227), ('EPHB6', 0.7422022913937355), ('TMEM132E', 0.4651169774846805), ('ARID3A', 1.0), ('RASGEF1A', 0.9987108155746184), ('TMEM255B', 0.6037073061199372), ('GJA5', 0.4551891641187242)]",281
BACH1,metacluster_22.20,0.07235338290024178,4.017516903290743,2.00067e-10,1.0,"motif similar to dbtfbs__BACH1_representative_N1 ('BACH1 (human, representative N1)'; q-value = 2e-10) which is directly annotated","frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('CLCN3', 0.8358582012198277), ('DECR1', 0.6710849902966536), ('FCHO2', 0.5297142278363107), ('CBWD5', 0.4443793934178029), ('SYCP3', 0.4638866107556186), ('GRHL2', 0.4265240347947803), ('TUBGCP2', 0.4765676891795373), ('TNPO1', 0.7226877279738504), ('WIPF1', 2.4184082293543385), ('RPF1', 0.6498736818410445), ('SNX2', 0.7353543320067764), ('HECA', 0.55958155159654), ('HYLS1', 0.6794904550731096), ('WDR53', 1.542746261780071), ('C7orf25', 0.9312671523631412), ('NDFIP1', 0.7539797074979878)]",803
BACH1,metacluster_22.19,0.06219519239497289,3.0894211513994723,1.29426e-12,1.0,"motif similar to dbtfbs__BACH1_representative_N1 ('BACH1 (human, representative N1)'; q-value = 1.29e-12) which is directly annotated","frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('PTP4A3', 0.7749169869796797), ('REM1', 0.5882278651841232), ('RPF1', 0.6498736818410445), ('ZNF821', 1.9847533684582677), ('SLC30A8', 0.5912125956069553), ('FSD1L', 1.605678486447797), ('IL34', 0.4753438128868619), ('FCHO2', 0.5297142278363107), ('PLS3', 0.5422169741517965), ('SYT8', 0.5211644577142769), ('DSG3', 0.8550555288439492)]",357
BACH1,metacluster_22.36,0.06385384088527268,3.240962374900809,8.408700000000001e-19,1.0,gene is annotated for similar motif transfac_pro__M12444 ('V$BACH1_04: BACH1'; q-value = 8.41e-19),"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('SH3BP2', 1.1747657986656002), ('WIPF1', 2.4184082293543385), ('SQSTM1', 0.5332336165010195), ('VEGFC', 0.4841034280402964), ('EPS8L2', 1.3822601423376284), ('BRD2', 0.4264844051518696), ('TAT', 0.8534321371645655), ('TRABD2B', 0.7174985937699231), ('PPIP5K1', 0.8535374866326921), ('TLE3', 2.3801608926975275), ('NUP43', 0.8722102868497104), ('NUDT16', 0.9988294740849174), ('C4BPB', 0.656533609949401), ('GNG10', 0.5420111332742497), ('COX20', 0.5133382953804888), ('DCUN1D3', 0.7544161319061087), ('CHRNA2', 0.5033981858404619), ('MYO19', 1.1283453811249835)]",873
BHLHE40,metacluster_14.20,0.07826632403229396,3.5080610691596927,7.25847e-06,1.0,motif similar to jaspar__MA0464.2 ('BHLHE40'; q-value = 7.26e-06) which is directly annotated,"frozenset({'activating', 'hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'weight>75.0%'})","[('PSMG3', 1.6482522250308254), ('ERICH1', 0.537632341531467), ('PSMC1', 0.6156710406470888), ('MBD3', 0.6817850586027243), ('UBA5', 0.6914921301196812), ('PIGK', 0.9711550319734764), ('SCG5', 0.4963133139590287), ('MARVELD3', 0.469006067895907), ('ZDHHC2', 4.874477313214864), ('EXOC2', 0.6369605647334029), ('PAFAH2', 0.7811414713554908), ('FRMD4A', 0.4643858692151776), ('CC2D1B', 0.5437468940301391), ('ARHGEF2', 1.4439197750248791), ('TRAPPC3', 0.5072445516108341), ('ZMYM1', 0.454662136204175), ('LEMD3', 0.8658298031559701), ('NEDD9', 1.15426917269654), ('HEATR6', 0.797843643597449), ('BHLHE40', 1.0)]",3307
