"gene","module","score"
"AAAS",1,1.11285567686835
"ACTN4",1,0.876740347379433
"ADAT3",1,0.350920539942655
"ADPRHL1",1,0.356225555410953
"AIRE",1,0.506305342644275
"AMER2",1,0.611782450089211
"ANKRD30A",1,1.07635677874205
"ARID3A",1,1
"ATP1B2",1,0.801580269533014
"BDKRB2",1,0.225718433579883
"CCDC129",1,0.66662119398857
"CCDC85B",1,1.39487417382856
"CCNE2",1,0.863678340275486
"CUEDC2",1,1.47502997171637
"DACH2",1,0.576282449534234
"DIMT1",1,1.41956672249905
"ELAVL3",1,0.351392294534368
"EMC3",1,1.67964054546201
"FOXP3",1,1.28743063248387
"GJA5",1,1.11556576716887
"GLI1",1,0.570603187830749
"HAS1",1,3.37702771858933e-09
"HELZ2",1,1.3397627420761
"IGSF21",1,0.515219112442278
"IL1R2",1,0.428409169076937
"KANK2",1,1.54159917657262
"KANK4",1,1.01122334724923
"LHFPL3",1,1.0578967516887
"LHX1",1,0.383020229568524
"LRRC25",1,0.412515071810014
"MARCH10",1,0.67678124219515
"MPP7",1,0.469233696239054
"MSLN",1,0.971484027834145
"MYH10",1,0.844628445714304
"MYH4",1,1.05214176623267
"MYL5",1,0.97152319643485
"MYO7B",1,0.284853704406065
"NTNG2",1,0.673422260815963
"PDGFRB",1,0.479714469524445
"PDIK1L",1,1.155466067698
"PDXK",1,1.37804484764337
"PPARA",1,1.24375089297557
"PRKCG",1,0.148906902189482
"PRMT1",1,1.22695734266016
"RAI2",1,0.418404701867881
"RRAGC",1,0.390891892955857
"RTN4RL2",1,0.468019389571615
"SEMA4A",1,0.468112567278931
"SEMA4D",1,0.483001325103729
"SLC7A5",1,1.37023498412127
"SLCO1C1",1,0.496554881645232
"SRPK3",1,0.552949622660242
"STMN4",1,0.58502173084291
"TMEM164",1,0.663509983045918
"TMEM74B",1,0.60908886783286
"VIT",1,0.443111428387289
"VPS37D",1,0.682944816535094
"WDR90",1,2.08475724933556
"ZNF155",1,2.19453706121843
"ZNF561",1,1.00810679133716
"ZNF678",1,1.003581300307
"ALG12",2,2.41015736878899
"CD6",2,0.532678499315241
"DLEC1",2,0.953125444987982
"DSG1",2,0.856511916845905
"ERAP2",2,2.70572229245589
"FABP3",2,0.879728895196087
"GUSB",2,1.89226932920154
"IHH",2,0.507894918189334
"MCM3AP",2,1.22794793469223
"MYEOV",2,0.953742212405353
"NAB1",2,2.01097014477698
"NDUFB5",2,1.25282866705839
"PREB",2,0.524125428681583
"RRM1",2,1.26647570365375
"ZBTB17",2,0.459064077231069
"ZNF747",2,1.09191179799206
"AES",3,1.08528338336906
"ATF3",3,1
"CAP2",3,1.87955304267445
"MOB1A",3,2.29817199970291
"PSMD12",3,2.73617258807414
"ACY3",4,2.21904500456556
"ANKRD13B",4,1.11747757031898
"B3GAT2",4,2.65645473403134
"BEND3",4,2.3182386202533
"CISD3",4,1.88865785548159
"DNAJC19",4,1.57892592812331
"EEF1A2",4,1.32017209208862
"FOLH1",4,2.96543603691747
"LMO3",4,0.960253451581187
"MS4A4A",4,0.994566326787149
"P2RY14",4,1.48477108129526
"PGP",4,2.62560549200116
"PLCG1",4,1.27240237036335
"POC1B-GALNT4",4,2.81027250427471
"PRR3",4,1.00381487415797
"SNX31",4,0.908074260756903
"THBS1",4,0.758072037163522
"WNT11",4,1.83676801147248
"ZBBX",4,1.02402375898415
"AKAP8L",5,2.74310458549464
"ALX4",5,0.54349772274296
"ARL6IP5",5,0.99279777677531
"ATF5",5,1
"ATG4C",5,1.63738966207191
"BCAT1",5,1.26782788087112
"BMP5",5,0.41385272793394
"BNC1",5,1.32974205814363
"C15orf48",5,0.344320492402066
"C2orf72",5,0.950443743770306
"C6orf47",5,1.72137755135106
"CALB2",5,0.669359368732406
"CARS",5,3.03115275393763
"CCDC22",5,0.536445078708767
"CCDC63",5,0.416640247925238
"CCZ1",5,1.01433913741516
"CDH20",5,0.403086782208965
"CDH24",5,0.600774238470322
"CHRNA5",5,1.00956246535831
"CNGA3",5,0.518671468583528
"COPS8",5,1.75014367906553
"CXorf36",5,0.409043450420042
"DHRS9",5,0.816547229893356
"DNTT",5,0.911732091748112
"ECHS1",5,0.958733454678704
"EP300",5,2.5895234698262
"EPS8L3",5,0.529055224866043
"FAM19A5",5,2.118406706205
"FAM72A",5,1.02908002048811
"FCRLA",5,0.610253691587606
"FGL1",5,1.304881227146
"FOXF1",5,0.484449737864964
"GLT8D1",5,2.42941600500645
"GLUD1",5,2.09507634916899
"GNG5",5,1.6417343439605
"GRIN2B",5,1.68496090865452
"GRP",5,0.855746948800183
"HAS3",5,0.501711143794272
"HLF",5,2.48333212381179
"IL1RL1",5,0.536904798101374
"IL2RB",5,0.525683786240675
"IRF5",5,0.978682517334661
"KCNA6",5,0.550638019873659
"LAP3",5,2.55240644845242
"LTF",5,1.03240481584031
"MAB21L2",5,1.212738629651
"MCTP2",5,2.37868108437022
"MMP24",5,0.616562854209441
"NCR1",5,0.47608088630608
"NMRAL1",5,1.15258977754449
"NTRK1",5,1.04930229790912
"PDP1",5,0.854097771095414
"RADIL",5,0.71040177337457
"RAN",5,1.21395836764754
"RASL10A",5,0.528593682059401
"RBMX2",5,3.23237544638551
"SATL1",5,0.583133009679761
"SLC25A19",5,0.834685902333582
"SLC9B1",5,1.9941736023841
"SPDYE2B",5,0.788572460714815
"TEX101",5,0.494335511996292
"TMC2",5,0.522512739666346
"TMEM231",5,2.91244260776865
"TPP1",5,1.51619471314513
"UMOD",5,0.652640749865982
"VSX2",5,0.212087310087973
"YPEL5",5,2.02147332069648
"ZNF524",5,1.89615578857503
"ABI1",6,2.37541805060465
"ALS2",6,1.33353325994621
"AMMECR1",6,1.15176317558268
"AP5B1",6,1.0559992197839
"APLNR",6,1.1119722193614
"COG3",6,0.497489991412804
"CRTAM",6,1.6414336565062
"CYP2C8",6,1.24907249120163
"E4F1",6,1.25337743425218
"EP400NL",6,2.04656577433611
"EPHA4",6,0.465945398415671
"ETV3",6,1.36060397983671
"FAM150B",6,0.776384185518179
"FAM174A",6,1.42269161636873
"GALK2",6,1.55573556010841
"GNG12",6,1.40197217208679
"GTPBP10",6,1.23749576877494
"HECTD2",6,3.13143228349298
"HES4",6,1.0052930937861
"HN1",6,1.06714732155162
"HNRNPLL",6,1.05949359960787
"KCNC3",6,2.26252468615464
"LRRD1",6,0.520631290787604
"MRRF",6,1.00737602691562
"MTMR7",6,1.50062695036671
"PPP1R1B",6,0.302953946837062
"RALA",6,0.899159216969325
"RNF169",6,2.27703610473856
"RNF19A",6,1.49765082215659
"SCNN1D",6,0.58716085493353
"SLC17A3",6,2.76353411169766
"SLC36A4",6,1.3813441241102
"SPOP",6,2.66751726506951
"TBC1D31",6,2.20902431518573
"TMEM218",6,1.59413871029607
"TMEM41B",6,1.34170651592791
"TRMT10A",6,0.968834741431433
"USP32",6,1.39569668798669
"USP54",6,1.59867352342202
"VPS45",6,1.46398785948696
"VRK3",6,1.66762123767143
"ZDHHC13",6,0.8391825397368
"ZNF213",6,1.11661088053888
"ZNF518B",6,1.17656057573516
"ZNF720",6,2.76437151967695
"CASR",7,0.253994648730541
"CIDEC",7,0.921407225777472
"DNAJC18",7,2.46693273605883
"GADD45B",7,1.27517107733214
"HOXD3",7,1.02622162315101
"INPP5J",7,0.711146996147282
"LYRM2",7,1.84213361276313
"NXF5",7,0.489510945499972
"PCDH17",7,1.61586534288338
"SETD9",7,3.32590827033335
"SORBS3",7,2.77522472226932
"TAPT1",7,2.56815624178757
"TBC1D2B",7,1.4357425259945
"TEX29",7,1.07110072720834
"UBE2E1",7,1.4366129167859
"ZNF816",7,2.56161075137417
"ZXDB",7,0.706818331487302
"ADAM17",8,0.938393837071009
"ARFIP2",8,1.6880901333874
"ARPC4",8,3.03003701819599
"BASP1",8,0.330004831539837
"C1GALT1",8,0.901810148427565
"CACNG7",8,1.04116111772864
"CCNT1",8,0.668248935399338
"CD2BP2",8,0.769940475674914
"CDC14A",8,0.189775551013159
"CGGBP1",8,0.57756037469303
"CHMP2B",8,1.62179724707125
"CORO2A",8,1.15478605514829
"DSEL",8,1.34132665605838
"EIF4E3",8,1.08288405048947
"EPN1",8,0.534653133927274
"ESYT1",8,0.649102219748489
"EXTL3",8,0.251250646973423
"FAM83H",8,0.519604554501843
"FKBP5",8,0.50204449118678
"IKZF5",8,0.570570014504235
"MFSD8",8,2.0619342204037
"MIB2",8,1.29054950102533
"MTRF1L",8,0.547841785794615
