"gene","module","score"
"AHR",1,1
"ANKRD50",1,1.79675531875936
"BRPF3",1,1.27671536205572
"BTG3",1,1.05188973908316
"CDC42SE2",1,1.58971599845956
"HMGN3",1,1.50504662091664
"IL6ST",1,2.83199064320465
"ITPR2",1,1.66526311899699
"ITSN2",1,1.11154159589616
"KCNN2",1,2.4121800730751
"KIF27",1,2.28221241219128
"KITLG",1,2.38444112844436
"LYN",1,1.38274766140473
"MET",1,0.992056982171786
"NCOA7",1,2.68346323451254
"NFE2L2",1,1.67437618157253
"NRXN3",1,2.01505591154705
"PAX8",1,1.20119981970548
"PCDH11Y",1,1.68056628929138
"PHACTR2",1,1.62334729517574
"PLK2",1,1.44994913870074
"PPP4R1L",1,1.44534778218244
"SECISBP2L",1,1.39408035740525
"SESTD1",1,3.76410109480411
"TEAD1",1,1.25769200173399
"THOC2",1,1.94451744463042
"WWC3",1,1.79669024833491
"ADAM33",2,0.429335021431778
"ANKRD18B",2,0.541501156432884
"ANKRD9",2,0.640472126059233
"ATP6V0D2",2,0.704439943435883
"CDC42EP2",2,1.80487852687385
"CES4A",2,1.12099461473184
"CLSTN3",2,1.26396264342548
"CYTH1",2,2.14176058431452
"DCST1",2,1.24064256833223
"DPAGT1",2,1.62166573672421
"DSCAM",2,1.10906573509755
"DUSP14",2,2.12839356690457
"DYRK1B",2,0.458372831284608
"FAM196B",2,0.805034231743686
"FAM92A1",2,2.75986377672396
"GABBR1",2,2.72592561119062
"GPR20",2,0.601320740964613
"GRAMD1A",2,1.29799707616298
"GTPBP10",2,1.12940507141205
"HHAT",2,1.03244518717834
"HOXA11",2,0.662626772027983
"IFFO1",2,0.609255409057404
"JAK2",2,0.578100698580085
"JPH2",2,0.886007981609262
"KLHL41",2,0.625779498192187
"LRRC71",2,0.995652500145397
"MGAT4A",2,0.860819533274397
"MLXIPL",2,0.95963416589332
"MMEL1",2,0.528908729981321
"MX2",2,0.9665368527779
"NAT8L",2,1.05001630422377
"NPW",2,3.43925466131091
"PDE6A",2,0.826132908951242
"PDE6C",2,1.26577829154686
"PLG",2,0.992801522734878
"ROM1",2,0.850068910120192
"SCN11A",2,1.64025967214322
"SERHL2",2,0.49458162029507
"SERPINB9",2,2.46554221395128
"SLC22A11",2,0.606392659758353
"SLC27A5",2,0.585748244739648
"SLC7A7",2,1.53036868986813
"SPATA5L1",2,1.06091611272619
"SPATA9",2,1.38727193485611
"TAGLN3",2,1.47066353605514
"TAL2",2,1.22033060528221
"TERF2",2,2.13855033278502
"TINAG",2,0.717013846170279
"TRIM7",2,0.487580107392695
"UCK1",2,3.75499061418903
"ZEB1",2,0.586353448268404
"ZNF808",2,1.19916948009972
"ADCY2",3,1.83009296714027
"AKT3",3,1.58577748044567
"ANTXR2",3,0.156187299701859
"BCL2",3,1.44836254887956
"BMPR1B",3,0.821288560439492
"CACNA2D1",3,1.91017929479884
"CDH10",3,2.51412895853336
"CDH2",3,3.73517826388447
"CRYZ",3,0.217656727786309
"DAG1",3,0.0757576877529591
"DOK1",3,0.451524353496218
"DTX3",3,1.24468183108181
"ENO2",3,0.341245304418902
"EYA4",3,0.575043229079588
"FAM19A2",3,1.17233614498518
"GPC6",3,0.594002530760148
"GPR173",3,0.916240751827094
"INPP1",3,0.791477605498367
"INSM1",3,1.18741763858125
"KCNIP4",3,1.58590936941686
"KLHL13",3,4.72539313249181
"KREMEN1",3,1.02891542794197
"LMO3",3,0.383596442865323
"LNX1",3,0.427824453892781
"LRIG1",3,1.31878513938188
"MAP1A",3,0.292308823128318
"NPY1R",3,0.571100117162902
"NRG1",3,2.78974615287971
"PCDH20",3,0.184737764449721
"POLD4",3,0.254441859024227
"RGMB",3,0.868484880402164
"SMOC2",3,1.75905463450895
"SOX2",3,1.81981673139609
"SRGAP1",3,2.34273553946851
"TIAL1",3,2.97424741989888
"TMEM47",3,1.30713707247305
"TOX3",3,4.80222584711228
"WASF1",3,1.88194228145922
"WTAP",3,0.896697619858642
"AKAP14",4,0.211364877880851
"C1QTNF2",4,0.896811637032305
"CALB1",4,0.151047083357421
"CEP72",4,0.953988681810461
"FAM199X",4,0.273541015966042
"FKBP8",4,0.105349996297869
"FSD1L",4,0.769608218254257
"MESP2",4,1.15836035552245
"NRBF2",4,0.786296257362857
"TMEM150B",4,0.533551933687035
"TRAF3IP3",4,1.38332610960319
"TRIM25",4,0.150129343575288
"ZDHHC16",4,0.212484480269689
"ZNF410",4,0.25277643738334
"ZNF788",4,1.05879807999694
"ADAM2",5,1.48149042544484
"ADO",5,1.23962425710619
"AMIGO2",5,0.57361282606368
"C20orf85",5,1.48371878360631
"C2CD2",5,0.835401571853935
"CD5L",5,0.911961356158304
"CSAD",5,0.424111791904834
"DMRTC1",5,0.420878282108972
"DMXL2",5,1.35596581715927
"ERVFRD-1",5,0.636149979431021
"FAM131C",5,0.611927644505571
"GEM",5,1.97877789646637
"GRK1",5,0.832432078543655
"HLA-DPB1",5,0.412482421711285
"KCNH6",5,0.607239352039385
"KCNJ11",5,0.869878573559122
"KLB",5,0.438634517778788
"NETO1",5,0.881961160782703
"PARP12",5,0.976482936104823
"PDE7B",5,3.83440869807447
"RAB8B",5,1.6677851066013
"RARG",5,2.50192827862411
"RIPK4",5,1.51524087291189
"TMEM161B",5,0.582284551297156
"TRPV2",5,0.505606514621604
"TUBB4A",5,0.494131369941711
"UCP1",5,0.42140111555838
"VTN",5,0.438850607995222
"ZDHHC19",5,0.429040573530315
"C17orf53",6,0.66928038752244
"COX10",6,1.31105910048856
"CSRNP1",6,1.97421122058905
"DMPK",6,0.733209882094931
"DNAJC16",6,1.86025942767327
"FLRT3",6,0.779109244795323
"GCNT4",6,0.53891558342295
"GPATCH3",6,0.704612459753323
"HPCA",6,0.649854518994941
"KLF10",6,1.25549336533466
"LDLR",6,0.457421278544843
"MAFF",6,1.415534984872
"NTSR1",6,1.09378339729538
"PHLDB1",6,0.9064258404886
"PLLP",6,1.78113068907515
"PPP1R15A",6,3.32562427699731
"SEMA5A",6,0.556332066228129
"ACPP",7,3.47994629041633
"ARHGEF9",7,2.24371851942348
"CATSPERB",7,1.85697056711889
"CCDC9",7,1.61160547642838
"CD247",7,1.65633199225405
"FGF11",7,4.1908764758004
"ICAM5",7,1.19650157278424
"ING5",7,2.04422681139163
"IST1",7,3.89990501837926
"KNSTRN",7,1.38897969151658
"LSAMP",7,0.559369237858494
"MAL",7,0.946017959940218
"MYOM2",7,0.536420147239866
"PLBD1",7,2.25205116299285
"SEPW1",7,1.13826698307272
"SERPINE3",7,2.44857792485112
"SFR1",7,0.794292839153025
"SIDT1",7,2.8224326188794
"SLC35F1",7,1.18735992564115
"SYN3",7,2.01708337131125
"TNFAIP1",7,1.0145691400457
"TNFSF4",7,2.22511570839154
"TSACC",7,0.52096988066792
"ZDHHC13",7,0.585039395814602
"ARHGEF10L",8,2.22866577892904
"C7orf55-LUC7L2",8,1.15194547843255
"CSK",8,1.8170785579654
"GRAP2",8,1.3535608392122
"GZMM",8,0.555383736990578
"HRAS",8,2.39714703394324
"NTSR2",8,1.11494226755059
"PDLIM2",8,1.41424875948943
"PRKD2",8,2.00324016220454
"PROSER1",8,2.69519141184266
"SLC8A2",8,0.870273316650081
"STK11",8,3.77265157800945
"SYT2",8,0.940006595934306
"TDRD7",8,1.11274711866708
"USP9X",8,1.08288696140724
"ARHGAP9",9,0.418458353757447
"ARHGEF10",9,1.1919652859972
"ATM",9,0.674722586737611
"C5orf34",9,1.20156310454921
"CCDC102B",9,0.760384361778998
"CRADD",9,0.512529171225626
"FAM19A1",9,1.52844618778168
"FCHO2",9,1.07753978554003
"HSPA2",9,0.717271063795875
"MME",9,0.658504318612986
"MYOM1",9,0.945027738045192
"RECK",9,1.10786835638326
"RPH3AL",9,1.76844044442094
"SLC17A7",9,0.423598778103748
"TEX12",9,0.740289094615001
"WWC2",9,1.23386794411729
"ZNF790",9,0.850716991730874
"ADH1B",10,0.869176172674236
"BACH2",10,1
"FHL1",10,0.850761288323809
"GLRX5",10,1.88465340955514
"HABP2",10,1.0917431862461
"INA",10,2.92311105194327
"INTS10",10,0.978479951086437
"LRRC32",10,3.67328047143357
"PTPRC",10,0.43755834663354
"SNTA1",10,1.94345074322492
"SPSB1",10,1.96011256084102
"TMEM87B",10,1.51477928847301
"MPPED1",11,5.02774052134131
"TEAD3",11,0.799713158408668
"A4GALT",12,0.341266948403709
"ACYP1",12,0.987194893386445
"ANKRD30B",12,0.646879332596214
"ATP13A4",12,0.163916846537668
"BMP5",12,0.713652913405377
"C12orf42",12,0.445623874439483
"CACNA1A",12,0.617386482473092
"CFH",12,0.612941220111174
"CLIC5",12,0.0499504580143535
"CLMP",12,1.60748023969679
"CNTN4",12,1.14656440995644
"COL8A1",12,0.214677765394737
"CRIM1",12,0.74039065956566
"DPP6",12,0.494644754301134
"FAH",12,0.22664986518504
"FAM129A",12,0.687984842416231
"FAM46B",12,0.715351414464152
"FAM89A",12,0.403178472369472
"GLIS3",12,2.18531832269902
"KCNT2",12,1.69349270961566
"KSR1",12,0.969504356085794
"MR1",12,1.14801166836772
"NDRG1",12,0.493738331892156
"PCDH7",12,1.6826346334096
"PCDH9",12,0.913303485764151
"PISD",12,0.634474258318608
"PLSCR4",12,2.26308725889935
"POMC",12,1.9582840188549
"PTGDS",12,0.624645859569977
"SLC4A8",12,1.88439116969834
"SLCO5A1",12,1.0699614906139
"SPTSSA",12,0.69656739407336
"STEAP3",12,1.67133936180197
"TBC1D1",12,1.94452798603515
"TGFB2",12,0.116085726208273
"TLE4",12,1.04262687361117
"TLL1",12,0.662845457107703
"TNFAIP3",12,2.16383331342624
"UNC80",12,0.313932317887471
"ZNF557",12,0.385626857034065
"CLCC1",13,0.199438292843648
"DGKI",13,0.567455717621514
"KATNAL1",13,0.440562575611045
"SLC36A1",13,2.0930099835317
"SPATA7",13,1.94191549191686
"TCEA1",13,0.335798536579664
"UBE2N",13,0.409817578112218
"APBA3",14,2.12605723323053
"CCL26",14,1.82193729154711
"CYP2F1",14,0.69368372688772
"DPM1",14,0.840267052516449
"EIF4H",14,1.55759879408715
"HMGCS1",14,1.54831179074915
"KIF6",14,1.41030062050732
"MCC",14,1.90088017606967
"PEX12",14,0.912166173664328
"PHTF1",14,1.75870632364944
"PSMA6",14,1.32373611621348
"SLC37A1",14,2.56552421523938
"STEAP4",14,0.888049159813654
"STK4",14,1.00377022545906
"TCFL5",14,2.65578728603376
"TFCP2L1",14,1.71700423282089
"TIPIN",14,2.50388915143392
"TP53AIP1",14,1.00206176708176
"ZBTB26",14,1.10165778412561
"ZP3",14,1.27211885809201
"IGSF9B",15,1.71720544627259
"ABHD12",16,0.352008935172786
"ABI1",16,1.73100268770535
"ABI2",16,0.463645099758121
"ADD3",16,0.310033567942706
"ADM",16,0.239055687020291
"ADRA1A",16,0.273252877227921
"AGFG2",16,0.374295172539746
"AGPAT3",16,0.570972924766353
"ANGPTL4",16,0.289943196268854
"ANKMY2",16,0.228419603991218
"ANKRD40",16,0.205180218358682
"ANKRD44",16,0.184940963697395
"ANO3",16,0.32128768657277
"ANO4",16,0.212772623119917
"ANTXR1",16,0.972965641668189
"AP1AR",16,0.0003929263085823
"ARID4B",16,0.311723784370305
"ASTN1",16,0.398295400823636
"BTBD7",16,1.26132928506491
"C10orf128",16,3.61918130934846e-12
"C1QL3",16,0.0152167413248524
"C1orf229",16,0.893854683353233
"C9orf129",16,0.325736822342192
"CACNG2",16,0.712852691701218
"CAP2",16,0.387626858427041
"CAPZB",16,0.100440064742825
"CBX2",16,2.46851616501647
"CCDC144NL",16,0.354154965605563
"CCDC71L",16,0.192751045186222
"CCDC85A",16,0.64180642613489
"CCDC88A",16,0.331089499833087
"CCND3",16,0.498035443482237
"CD200",16,0.259913242534999
"CDC42EP3",16,0.379501613962101
"CDH15",16,0.2461807496716
"CDK13",16,0.0680482887527845
"CFL2",16,0.170913193793355
"CHURC1",16,0.23195437187682
"CHURC1-FNTB",16,0.333055294650822
"CLEC14A",16,0.226789769104459
"CNGA3",16,0.433524559140457
"CNOT2",16,0.627527767040546
"CNTNAP5",16,0.180668918385379
"CTAGE6",16,0.31629307678115
"CUX1",16,0.643579108433227
"DCHS2",16,0.313820112709154
"DCX",16,0.20687411908979
"DNAJB5",16,0.564371836916143
"DNAJB6",16,0.298076048655286
"DPEP1",16,0.954493966597418
"DPY19L4",16,0.474648007801563
"EDA2R",16,0.580778574504013
"EFNB2",16,0.610685349300533
"EGFLAM",16,0.473487036045227
"ESCO1",16,0.770318037414328
"FAM84B",16,0.437077023505946
"FAM8A1",16,1.01352580392203
"FAM9B",16,0.336232745745422
"FAXC",16,0.13257954482333
"FBN3",16,0.432862777400558
"FBXL5",16,0.275905441198916
"FLT3LG",16,0.361090411675007
"FOXR1",16,2.29002093315453e-10
"FRS2",16,1.77238238513114
"FXR1",16,0.155655401364242
"GABRA1",16,0.29909429600569
"GABRG3",16,0.353646581541499
"GALNT2",16,0.337407062096193
"GAS1",16,0.275548957123011
"GCLC",16,0.408895172487441
"GLS",16,0.70060282593597
"GNG3",16,0.197483319819314
"GNPDA2",16,0.231965768797668
"GOLGA7B",16,0.270456289229791
"GPRC5B",16,0.19060771330421
"GTF3C3",16,0.21806671269492
"H2AFY2",16,0.339349360191466
"HFM1",16,0.329523359960441
"HIPK2",16,0.694909946306492
"HMG20A",16,0.707613258360452
"HOXA4",16,0.335857882289799
"HP1BP3",16,0.337651279012235
"HPRT1",16,1.21506640301218
"HSD17B12",16,0.0928244592781398
"INTU",16,0.662918548349597
"IRAK1BP1",16,0.141920820542906
"IRF2BP1",16,0.152661144541699
"JARID2",16,0.84541411758369
"KCNA4",16,0.119018843068884
"KCNG1",16,1.70394622881123
"KDM1A",16,1.88316370429988
"KMT2A",16,0.407691047159967
"KMT2C",16,1.65280124350006
"KRAS",16,0.969514886416975
"LAMC1",16,0.246306964591045
"LIMA1",16,0.637148515222463
"LRCH3",16,1.52102805311496
"LRRC19",16,0.639720208350936
"LRRC8D",16,0.384111209677984
"LY75",16,0.39533767208847
"MAP3K2",16,0.818079837207664
"MAP3K4",16,0.574743424965871
"MAPK11",16,0.200494148284547
"MAU2",16,0.3422628519026
"MCM9",16,0.386943753330865
"MLLT6",16,0.223812915430301
"MOB3C",16,0.143336134106967
"MTUS2",16,0.273095928866512
"MYC",16,0.644298785051173
"MYOZ1",16,0.282503532063101
"NAA15",16,0.894974852752106
"NAA60",16,0.256404952007694
"NDRG2",16,1.72220141317112
"NEK3",16,0.118011824932653
"NFATC3",16,1.48616956020433
"NINJ2",16,0.240951166679361
"NPEPPS",16,0.883408988798696
"NPHP1",16,0.685934539498509
"NR1D2",16,0.189851492193934
"NUB1",16,0.584468991620012
"NUFIP2",16,0.274559864314983
"ODF3B",16,0.710662652836425
"OSBPL8",16,1.51172117897427
"P2RX4",16,0.0057462455461873
"PABPC4L",16,0.143817937467173
"PAK7",16,0.60186591547984
"PAPD5",16,1.76561665818328
"PCDH1",16,0.182405530452179
"PHF2",16,0.30172927787872
"PHLDB2",16,0.838644524813806
"PHLPP2",16,1.60813939264405
"PIK3C2A",16,0.554946131405579
"PON2",16,0.111358446535744
"POT1",16,0.385180771674344
"PPFIBP1",16,1.22079580605446
"PPP2R5E",16,2.53149777258631
"PRRX1",16,0.194855004970378
"PRSS54",16,0.411624348975041
"PTPMT1",16,2.24096268152307e-05
"PTPN1",16,0.862103605201784
"RAB30",16,0.149669561126437
"RAB3GAP1",16,1.15150002468377
"RBM20",16,0.644119961963142
"RBM24",16,0.324197351334593
"RBMX",16,0.254379484985528
"RNF145",16,0.129018252521227
"ROCK1",16,1.45216982927163
"ROPN1",16,0.46430036834897
"ROR2",16,0.822199586238653
"RPTOR",16,0.726890239555589
"RRAGD",16,0.21365165221178
"RREB1",16,1.45895073999584
"SEMA3A",16,0.188215581636282
"SEPT6",16,0.853720204247645
"SETX",16,0.152447649001315
"SFRP2",16,0.409257383536117
"SLC25A2",16,0.530796527561321
"SLC40A1",16,1.45688039240339
"SLC44A1",16,1.08640586871769
"SLC4A10",16,0.408860587999522
"SMARCA1",16,0.220998289743516
"SNX3",16,0.263957424014975
"SNX4",16,1.46187411407584
"SPOP",16,0.753637494141654
"ST3GAL5",16,0.23873908422315
"STK31",16,0.21047476911438
"SUDS3",16,0.269048255782651
"SUN3",16,0.0777926668342261
"SYNRG",16,1.45944303876355
"TAOK1",16,1.31634519485026
"TCF24",16,0.764461354011984
"TGDS",16,0.287816497315793
"TGIF2",16,0.632425748048073
"TGM7",16,0.400260258127512
"TJP1",16,0.125541938747007
"TMEM45B",16,0.350591735055643
"TOP2B",16,1.49013661563083
"TRAPPC3",16,0.230678065438743
"TRIM38",16,0.808735158311768
"TSPAN32",16,0.276904642644655
"TTC3",16,2.3743614666371
"TUBB2A",16,0.91488335717013
"TULP3",16,0.206684478172992
"UBE3A",16,1.04648947630972
"UBXN7",16,0.166168811057678
"USP10",16,0.765820650942348
"VKORC1L1",16,1.00380503242171
"WDFY1",16,0.611183211277669
"WDTC1",16,1.92506018380566
"WFIKKN1",16,0.48091563881313
"YY1AP1",16,1.09608419586852
"ZBTB33",16,0.0029491735605622
"ZC3H14",16,0.667862585762624
"ZCCHC14",16,2.03829100705481
"ZNF384",16,0.0004859099575614
"ZNF518B",16,0.153892971495625
"ZNF563",16,0.221850372973965
"ZNF572",16,0.198966141733502
"ASF1B",17,3.5559620589997
"BARD1",17,2.89483491265789
"BLM",17,3.81102697850524
"BRIP1",17,4.29185275425993
"C7orf49",17,3.59483681235049
