"gene","module","score"
"ANGPT1",1,0.973641751243821
"ARL4C",1,0.546738838929169
"CHMP4C",1,1.85878518536767
"DVL1",1,1.62472552521627
"ESCO1",1,0.894870993360188
"GYG2",1,0.84841536556818
"LEMD2",1,1.04310811659904
"LMBRD1",1,2.72713716154949
"MYLK",1,0.457033468134883
"NAT10",1,1.29528926907125
"PPP1R3B",1,1.75581120686444
"RELN",1,1.40633547907143
"SMNDC1",1,1.35354591163536
"TFB1M",1,2.90647226153642
"ZFYVE16",1,1.25946665155555
"ZNF219",1,1.184073769385
"ZNF700",1,3.36097556351246
"ZNF720",1,0.596730046635951
"A2ML1",2,0.406832843569709
"ABCA9",2,0.458622325223643
"AKR1E2",2,0.767483257407471
"ARSF",2,0.456714491173011
"ASIC5",2,0.890159283462426
"BET1",2,0.784914528820032
"BTLA",2,1.46550167675132
"C19orf81",2,0.855524527367802
"CDYL",2,0.436604949198673
"CTHRC1",2,0.78741488981355
"DAPP1",2,0.637092328333461
"DLL4",2,1.30759492398429
"DRG2",2,1.02956918436982
"FAM71D",2,0.441745057480847
"GRIN3B",2,0.614725700918971
"IGLON5",2,0.920867624579069
"IL26",2,0.242033216363338
"ITGA10",2,0.44501779499303
"LRRC66",2,0.786180129186294
"MEGF11",2,0.950576872104781
"MICB",2,0.396190125279115
"MKX",2,0.716346163086118
"PNPLA3",2,0.506909752028861
"PODNL1",2,0.430058771543279
"RASGRF2",2,2.16764462876481
"SCUBE3",2,1.21869731008429
"SLC14A2",2,2.58090792125393
"SMARCA4",2,0.521795391995423
"SYNGR4",2,1.95188342888212
"TRMT12",2,0.853039317823505
"USP2",2,1.92508635190337
"ZNF750",2,1.11305010055299
"ZNF836",2,4.2439512871736
"ANKS6",3,1.64168967911058
"ARSG",3,2.48953549352925
"BRAP",3,2.41771181727718
"CETN3",3,2.74684738788275
"CYB561D2",3,2.52655727113249
"DDX56",3,1.31347512704677
"DPP3",3,1.23284900575142
"FAM160B1",3,1.45550879209933
"FARSB",3,3.07900808309658
"GRWD1",3,1.18623019049892
"IGSF10",3,1.41639023187044
"LINC00908",3,2.30964692579972
"METTL21B",3,1.3232950836803
"MNT",3,2.93815844460954
"PDK2",3,0.863347079955611
"PDPR",3,0.854511769919398
"PHKB",3,1.10462146691577
"PRDM12",3,0.503864690424281
"SLC25A14",3,2.88065452356219
"TMEM129",3,1.91965682056015
"TMEM187",3,0.438102722714778
"ACSF2",4,1.12075219724522
"ANTXR1",4,1.28398398633113
"ATF1",4,1
"C1QTNF7",4,0.848333588524996
"C1orf106",4,1.21752321655933
"C8orf33",4,1.51801067253843
"C8orf87",4,0.639428348117835
"CCDC61",4,2.19029669138712
"CLDN12",4,3.44869910800066
"DHX32",4,2.90683973924198
"DNHD1",4,2.08082483472844
"FGD3",4,0.958409333581831
"GALNT11",4,1.56260615887835
"GLYR1",4,1.21462739181146
"HEXA",4,1.06482462899123
"HMGN5",4,2.91472321460127
"INPP5E",4,2.10634886492962
"LPCAT2",4,1.78454880058656
"MS4A6E",4,0.81541144607113
"PLP1",4,0.688002932828453
"RBM18",4,3.13808419566683
"REXO1",4,1.08995759439801
"RNASE2",4,0.479565005292136
"SGTB",4,1.07364049688311
"SLC48A1",4,4.75726583465546
"SLC6A7",4,0.452804476334189
"SRGAP2",4,1.66482271265909
"STAT2",4,1.77444914374935
"THBS4",4,1.28906741101708
"TMEM38B",4,1.50447848933538
"TRIM16",4,1.51124042260186
"WDR5",4,2.18792717181985
"C1orf229",5,1.08497233606068
"C1orf233",5,1.38477319052358
"CD81",5,2.60353015495485
"CHPF",5,1.50439254307095
"CPB1",5,1.05692166210082
"CXCL2",5,4.78558115004454
"CYHR1",5,1.44562468688672
"DUSP2",5,2.93017335807031
"EIF3H",5,1.13626948206099
"HMGCS1",5,3.91098258151589
"LDLR",5,2.01466946146318
"MT2A",5,0.951918184632356
"NCL",5,1.54532109199549
"PI4K2B",5,1.78706047856284
"RBBP8NL",5,0.861847651884608
"REG3G",5,3.35309035843806
"RND3",5,2.68539150146757
"SCOC",5,0.980775681014665
"SHISA5",5,1.19974803986922
"TJP2",5,1.5367658088325
"TMEM147",5,2.07753239329344
"TRIB1",5,3.27451393174617
"ZNF627",5,0.884607111939195
"ANKEF1",6,2.31358973671374
"ARHGAP20",6,1.11567771815404
"BRMS1L",6,2.56644571876425
"DOCK9",6,1.37548527276509
"FAM83B",6,1.52905583027808
"FBXO8",6,2.59589205777143
"GPR35",6,0.992754162876372
"GRID2",6,1.17577813617253
"KDM3A",6,2.07733262008256
"MCMDC2",6,1.98545548677652
"MOB3B",6,1.10511907917721
"OTUD6B",6,1.12265709618495
"PPP1R42",6,2.15468260699787
"TRIM45",6,1.16183527876549
"WDR59",6,1.76520288329536
"ZNF546",6,4.8110247690942
"C5orf45",7,2.224694134192
"DCBLD2",7,1.78886814183097
"ERLIN1",7,1.16652353545253
"GINS3",7,1.59424435359278
"GPRASP1",7,1.19248714707053
"HIVEP1",7,1.40788466525274
"HTR4",7,1.00256495925524
"IL17A",7,0.467404755057145
"MARCH5",7,1.25734846492867
"OGFOD3",7,2.18797240726798
"RFX4",7,1.54525760321263
"SF1",7,0.926018775622103
"ZYX",7,1.06129531462487
"ACER1",8,1.06423120805742
"ADM2",8,1.03791888747295
"ATP8B2",8,0.750981565989722
"BIRC3",8,3.49272697374512
"C14orf2",8,1.1236066684944
