"tf_name","gene_name","weight"
"ELF4","A1BG"," 0.0446202357947974"
"ELK4","AAGAB"," 0.1550013335086161"
"KLF12","AAK1"," 0.4470438267518002"
"REL","AASDH"," 0.648260183905594"
"SMAD4","AASDHPPT"," 0.4885878042529397"
"UBP1","AATF"," 1.375403012170325"
"CUX1","AATK"," 3.5625328033074144"
"PPARA","ABAT"," 0.9119117192398982"
"ETV5","ABCA1"," 4.9501848590832624"
"BCLAF1","ABCA3"," 2.4250342350436207)]"
"SMAD4","ABCA5"," 0.1148238115469379"
"ARID3A","ABCA7"," 0.8137008652464177"
"HNF4A","ABCA8"," 0.6989978367377113"
"SP2","ABCB10"," 0.8045054033181669"
"HNF4A","ABCB11"," 1.3405866597885527)]"
"ELK4","ABCB7"," 0.1518489726026781"
"HNF4A","ABCC2"," 2.302357512796414"
"RXRA","ABCC3"," 1.940480745915744"
"PPARG","ABCC5"," 2.1349624278182304"
"PPARA","ABCD3"," 0.317038234383674"
"TCF3","ABCD4"," 1.618190308337364"
"STAT1","ABCE1"," 0.4305301681498375"
"ATF3","ABCG1"," 0.2081415562562576"
"ZBTB25","ABCG2"," 0.3810810148614612"
"BACH1","ABHD10"," 1.0102176251463506"
"ETV5","ABHD12"," 0.9706115638198908"
"ZNF333","ABHD13"," 2.218460786820569"
"STAT2","ABHD16A"," 2.058506643465469"
"TBX21","ABHD17A"," 1.416604448949783"
"IKZF2","ABHD17B"," 0.5162899010120306"
"ZNF148","ABHD18"," 0.8826446771533026)]"
"TFDP2","ABHD2"," 0.6299491590079981"
"ELF1","ABHD5"," 5.620059336474981e-08"
"SPI1","ABHD6"," 0.7223913970881009"
"RFX3","ABI1"," 1.4068848388558397"
"ZBTB25","ABI2"," 0.1483558054913243"
"ZBTB11","ABI3BP"," 0.9318116912417432"
"SPI1","ABL2"," 0.5123656296398658"
"ETS1","ABLIM1"," 0.7616530121096494"
"IRF7","ABLIM2"," 0.3854159290804287"
"PPARG","ABR"," 0.7070269476720966"
"ELF2","ABRACL"," 0.847813120551356"
"TCF7L1","ABTB2"," 1.6700724985407636"
"HNF4A","ACAA1"," 1.619421123901953"
"ZFX","ACACA"," 0.16582448739024"
"ZBTB7A","ACAD10"," 0.5068237878981681"
"MXD3","ACADL"," 0.3434192979535877"
"ELK3","ACADSB"," 0.0327950325692001"
"MBD2","ACAP2"," 0.1697865351018297"
"USF1","ACAP3"," 0.2967130562459296"
"UBP1","ACAT2"," 0.6149084093425767"
"PPARG","ACBD3"," 0.5895459516539476"
"FLI1","ACBD5"," 1.1756470397871206"
"FOSL2","ACE"," 1.0368010722138143"
"BPTF","ACER2"," 0.3412091512703755"
"NFYA","ACIN1"," 0.2384540580306827"
"HNF4A","ACO1"," 0.8611890149437182"
"BCLAF1","ACO2"," 0.7250341239756293"
"PPARG","ACOT11"," 0.7034645741331974"
"ZNF83","ACOT8"," 0.2638204720526373"
"ATF4","ACOT9"," 0.3766805896116038"
"STAT2","ACSF3"," 0.2823332145306839"
"HIF1A","ACSL3"," 1.342351631935708"
"MBD2","ACSL4"," 0.7773789647829148"
"AEBP2","ACSL6"," 0.4491112022261649"
"CREBL2","ACTA2"," 3.1051272439815665"
"JUND","ACTB"," 0.7304333063016099"
"IKZF3","ACTN4"," 3.38969479389918"
"IKZF2","ACTR10"," 0.0502663022918722"
"ZNF148","ACTR1A"," 4.378546440089641"
"RFX3","ACTR2"," 1.1556300699591633"
"NFKB1","ACTR3"," 0.8333193877005498"
"TFDP2","ACTR3B"," 1.2511681454136646e-06"
"HNF4G","ACTR3C"," 0.1792975623934463"
"ZNF704","ACTR6"," 1.2902075750200352"
"BACH2","ACVR1"," 0.2396429613917056"
"SPI1","ACVR1B"," 1.375623507982293"
"BACH2","ACVR1C"," 0.4706781097724226"
"ELF4","ACVR2A"," 0.1495412618439911"
"IKZF3","ACYP2"," 0.8273038457930358"
"ETV3","ADA"," 2.1036213813907163"
"BACH1","ADAM10"," 0.8455842882092591"
"IKZF2","ADAM12"," 4.294884048841274"
"PPARG","ADAM17"," 1.2143534882610814"
"ZNF616","ADAM22"," 1.138605099405758)]"
"ELK3","ADAM23"," 0.6274148431504362"
"HIF1A","ADAM9"," 1.3735431914182754)]"
"BPTF","ADAMTS17"," 0.0801044381885116"
"TCF7L1","ADAMTS2"," 3.31737649987867"
"CUX1","ADAMTS9"," 0.2390815896658552"
"ZNF718","ADAMTSL2"," 1.6597810094459158"
"HNF4A","ADAMTSL3"," 2.6097465766931807"
"ETV5","ADAP2"," 1.475951585373754"
"STAT1","ADAR"," 1.7518712304399098"
"ETS1","ADARB1"," 1.3964114768261344"
"BACH2","ADARB2"," 1.1014416402978164"
"BHLHE40","ADCK1"," 2.451085895190753"
"ESRRA","ADCK5"," 0.5088561860038263"
"SP4","ADCY3"," 0.1028239100472693"
"FLI1","ADCY7"," 1.1298733097956"
"ZBTB7A","ADCY9"," 0.0909932734510486"
"ETS1","ADD1"," 1.5060660952393865"
"KLF12","ADD3"," 1.774922284718557"
"NR3C1","ADD3-AS1"," 0.0137197779492214"
"PPARA","ADGRA3"," 0.3651203421591034"
"SPI1","ADGRE2"," 1.729969462994406"
"SPI1","ADGRE3"," 0.8811643509863286"
"ETS1","ADGRE5"," 1.6609817986685709"
"PPARG","ADGRG6"," 1.5575528642786385"
"STAT2","ADGRG7"," 0.5517266727798782"
"BACH2","ADGRL2"," 0.4408734273159135"
"NR3C1","ADGRL4"," 0.1665110115124193)]"
"PPARA","ADGRV1"," 0.2541063613001046"
"ZBTB7A","ADHFE1"," 0.1709296987464849"
"KLF12","ADIPOR2"," 1.0271425700706274"
"PPARA","ADK"," 0.1688647192349661"
"TAF1","ADNP"," 0.9277292212867474"
"IKZF2","ADNP2"," 0.4693520632323301"
"STAT1","ADORA1"," 0.0696804375714459"
"HNF4A","ADORA2A-AS1"," 1.6045031589015597"
"HNF4A","ADRA1A"," 1.3785572392215866"
"PHF20","ADRM1"," 0.94628598071976"
"ZNF140","ADSL"," 0.9529733289551828"
"ETS1","ADSS"," 0.4408347520334909"
"IKZF3","AEBP2"," 0.99285554084582"
"IKZF3","AFAP1"," 1.0545885989523864"
"ZNF704","AFF1"," 0.1109704184919882"
"BACH2","AFF3"," 0.1201276833902648"
"STAT2","AFF4"," 0.7353113443921601"
"IRF8","AFG3L2"," 2.2667710957232945"
"HNF4A","AFM"," 1.7877729065014476"
"CUX1","AFP"," 1.9818749263548776"
"BACH1","AFTPH"," 1.5439177788534604"
"E2F6","AGA"," 0.4339336801416438)]"
"PPARA","AGAP1"," 0.694207484284984"
"SPI1","AGAP3"," 1.666840598274225"
"STAT1","AGAP4"," 0.2478242530880179"
"NFYA","AGBL2"," 0.2495956806605104"
"ATF6","AGBL3"," 2.3690473415778706"
"ZBTB7A","AGBL5"," 2.653560464920883"
"BACH1","AGFG1"," 1.0198531432581104"
"NR2C2","AGGF1"," 0.6990125721331052"
"NR2C2","AGK"," 0.2612187677084057"
"CLOCK","AGO1"," 0.553904509820821"
"BACH1","AGO2"," 0.5290905470060855"
"SP3","AGO3"," 2.638293121673267"
"ETS1","AGO4"," 0.7147849933706119"
"SPI1","AGPAT3"," 2.3091352869937745"
"ATF6","AGPS"," 0.4439701637431204)]"
"RFX3","AGTPBP1"," 0.7302236127972233"
"IRF5","AGTR1"," 0.5819369339017368)]"
"KLF12","AHCTF1"," 1.6716858924864095"
"CREM","AHCYL1"," 2.498089293254524"
"ZNF329","AHCYL2"," 0.2668855209313785"
"ZBTB25","AHDC1"," 1.3153445522827023"
"TBX21","AHI1"," 1.269014203837502"
"ETS1","AHNAK"," 1.6365842680146363"
"BACH1","AHR"," 0.43035221000517"
"HNF4A","AHSG"," 0.8963700077744483"
"RELB","AIDA"," 1.4684680473495542"
"CEBPB","AIF1"," 1.3306351028416046"
"ATF6","AIFM1"," 1.862076726571165"
"HNF4A","AIG1"," 1.6958083133081978"
"BCL6","AIM2"," 0.4555787945247113"
"XBP1","AIP"," 0.2327973536215094"
"CEBPD","AK1"," 0.652527917162031"
"KLF12","AK3"," 0.96918743507439"
"TFDP2","AK5"," 1.514934920615563"
"ELF1","AK6"," 0.8448045199128584"
"CUX1","AK7"," 6.176664521847282"
"IKZF1","AKAP1"," 0.0916363827308591"
"FLI1","AKAP10"," 0.8220028479565337"
"IKZF1","AKAP11"," 0.4147923451353045"
"BACH1","AKAP13"," 1.8891644971273664"
"STAT2","AKAP6"," 0.5295786755879816"
"RFX3","AKAP7"," 0.6044377820362745"
"ATF4","AKAP8"," 0.8689831133830622"
"POU2F2","AKAP8L"," 1.196496918716888"
"STAT2","AKAP9"," 0.3790400752301176"
"SP3","AKIRIN1"," 0.5149091153119971"
"ZFX","AKIRIN2"," 2.6050238940841586e-07"
"PHF20","AKT1"," 3.4937488951322657"
"ZNF83","AKT1S1"," 0.5402354886172648"
"TBX21","AKT2"," 0.390534150301116"
"KLF12","AKT3"," 1.9770892466594088"
"PPARG","ALCAM"," 0.4772314669731485"
"HDX","ALDH16A1"," 1.33074623424353)]"
"ELK4","ALDH18A1"," 0.4153716719360524"
"STAT2","ALDH1A1"," 0.0910027673994982"
"RXRA","ALDH1L1"," 0.1271593154243032"
"CREM","ALDH1L2"," 0.5522425813224839"
"PPARA","ALDH8A1"," 0.2318595438166896"
"SP4","ALG13"," 0.5062013493228165)]"
"BACH1","ALG2"," 0.143973415867544"
"STAT1","ALG5"," 0.6269500465565906"
"TAF1","ALG6"," 0.2670532475153193"
"NR2C2","ALK"," 0.4647101717080715"
"FOS","ALKBH1"," 1.4519203077057483)]"
"ZNF384","ALOX5"," 0.0370447254443676"
"ZNF83","ALOX5AP"," 0.1129713889872497"
"FOSL2","ALPK3"," 1.2351603860383675"
"STAT1","ALS2"," 0.5541752213060452"
"YY1","AMACR"," 0.413460638937139)]"
"PHF20","AMBRA1"," 0.4242459576122724"
"IKZF3","AMD1"," 1.3082233152465454"
"SPI1","AMFR"," 0.8536712718707863"
"ETS1","AMMECR1"," 2.489179982771528"
"ETS1","AMMECR1L"," 0.4077581318828872"
"NFKB1","AMOTL1"," 3.3833170048988044"
"FOSL2","AMPD2"," 1.2692631880345795"
"BCLAF1","AMPH"," 2.646959945484833e-09"
"FOS","AMZ1"," 1.1294050821079722"
"ERF","ANAPC1"," 0.6378351708968915"
"SP3","ANAPC10"," 0.7180879792382104"
"SMAD4","ANAPC16"," 0.1559269285548321"
"CREB1","ANAPC4"," 1.0311224440596285"
"CUX1","ANGEL2"," 0.7076757774137413"
"ZNF148","ANGPT1"," 0.4218728063878659"
"ELK3","ANGPT2"," 1.0798808055420843"
"HNF4A","ANGPTL3"," 3.140761550669512"
"KLF12","ANK3"," 1.680006499907778"
"RARB","ANKAR"," 0.5967445340158997"
"PPARG","ANKDD1A"," 2.733413254860801"
"PPARG","ANKH"," 2.5043530542183845"
"NR3C1","ANKHD1"," 0.8855373005831018"
"IKZF3","ANKIB1"," 2.9110610448810497"
"ERF","ANKLE2"," 2.2590636747442088"
"VDR","ANKMY1"," 1.104380321659944"
"UBP1","ANKMY2"," 0.3719905475320477"
"ZNF718","ANKRD10"," 0.7583146311279674"
"NFATC2","ANKRD11"," 0.942254352114558"
"IKZF1","ANKRD12"," 1.0017136436905758"
