"gene","module","score"
"CXorf48",10,0.00769608525634887
"APOE",8,0.502264700528916
"ALB",13,0.444972288173027
"PAPLN",2,0.108524693271747
"CLU",8,0.433623503778172
"AMBP",8,0.610328522384589
"AGT",8,0.53023614702983
"FAXC",23,0.651685393213736
"VTN",8,0.437614626937182
"DLK1",4,0.389186215049768
"TTR",8,0.585274285316477
"RPLP1",4,0.459018100277417
"APOC1",8,0.645344129508881
"MT1E",19,0.316899755933305
"MT1G",13,0.605920909469776
"APOM",4,0.566084787980799
"DHCR24",4,0.449468756710176
"FABP1",4,0.443642032842422
"APOC3",13,0.635746898012384
"MT2A",19,0.553021615461198
"PRAP1",4,0.388663014718415
"RBP4",8,0.295626926548303
"MT1H",19,0.317108105542753
"APOH",8,0.287767193826073
"PEBP1",14,0.394418576019601
"TMBIM6",8,0.285176042440994
"APOA1",13,0.436262866162523
"TPT1",4,0.382622670267554
"FTL",13,0.266291567953435
"FGB",10,0.420815184262239
"FGA",10,0.589825684761335
"GAPDH",4,0.452879010112417
"SERPINC1",6,0.333711550062775
"MT1F",19,0.543010752638553
"SERPINA1",13,0.666604320539111
"NCK2",2,0.150372355498326
"SEPP1",14,0.389260184179823
"FGG",10,0.532286492504142
"SFRP5",3,0.438633581800777
"RPLP0",5,0.36015311684612
"EEF2",2,0.357901311634238
"HBA2",15,0.601613460939183
"APOLD1",7,0.51567944245876
"CTSD",6,0.309305473094802
"PDE4B",24,0.35376532394717
"APOA2",13,0.492432170279486
"UTY",24,0.341793570174866
"SPP1",3,0.479595187582037
"SCD",12,0.346405228712888
"MT1X",19,0.54286304477582
"P4HB",4,0.3697558221327
"AHSG",8,0.331846748166897
"PEG10",14,0.471740768601252
"ITIH2",8,0.431891217469893
"ALDOB",10,0.403110403517182
"AFP",13,0.421140542296577
"PSAP",6,0.294322202755003
"RORA",1,0.568728147515538
"CALR",4,0.369002794923043
"TM7SF2",12,0.277396755326136
"PABPC1",2,0.323454699363516
"SPG7",16,0.413309982438308
"GPC5",1,0.559004433051662
"AL590714.1",4,0.408872288842889
"DIAPH3",7,0.0880184585730286
"ACTG1",2,0.307335510798875
"COL2A1",12,0.283973805313386
"A2M",8,0.245462133880692
"RPLP2",2,0.209207862467683
"NAA25",16,0.357673125385438
"SERPINA5",6,0.382475291775693
"CDC25C",7,0.379487179440084
"GSN",6,0.194148237957093
"C3",10,0.440143500641915
"DHX15",16,0.191768483680766
"MTRNR2L12",14,0.114859339014024
"NRG3",1,0.542760743043866
"TF",8,0.21385824261831
"CD63",4,0.332709042136619
"HBA1",15,0.459845548890063
"DHCR7",6,0.265315725714595
"ZBTB20",1,0.639797838661469
"ANGPTL3",9,0.248494649467053
"ITIH1",4,0.215696665122437
"ARHGAP11B",7,0.340529643590973
"APOB",13,0.184826346995028
"IGF2",13,0.47052772013223
"TUBA1B",5,0.283197625669788
"GNB2L1",16,0.052945523639079
"METTL7A",9,0.253006954524395
"DUSP9",4,0.361807299449185
"CHST9",3,0.378378378330915
"BRIP1",18,0.316546762546398
"HBM",15,0.487332935955381
"HBG2",15,0.590931298376161
"DPYD",1,0.55591738794546
"HBG1",15,0.615012106490187
"NPIPB5",2,0.0883365742779754
"PPIB",6,0.229326858046917
"FAU",5,0.435744117732348
"SERPINA4",12,0.128228350647088
"STAR",17,0.139052866304093
"ASPM",7,0.329019511447793
"CLDN6",3,0.0678580171207429
"TOP2A",7,0.0989618218203868
"TUBB",16,0.0458860759401169
