"gene","module","score"
"FAXC",5,0.0217616580285196
"NPIPB5",5,0.122408687055505
"AFP",2,0.591763643623806
"APOA2",2,0.666572716979234
"APOC3",2,0.572675393226988
"APOA1",2,0.627016090723277
"AHSG",2,0.576812284448647
"ALB",2,0.594733004466984
"NCK2",5,0.203171862636255
"PAPLN",5,0.1112766086678
"APOB",2,0.47228869166958
"SERPINA1",2,0.513309937898636
"APOE",2,0.4956426395371
"SFRP5",4,0.301897642294912
"MT1G",2,0.412235808232013
"IGF2",2,0.242373726772652
"FGB",2,0.246938000056858
"SPP1",4,0.318858183998779
"FTL",2,0.621228408371531
"TF",2,0.556237564627821
"HBA2",2,0.223299982531278
"CHST9",4,0.291467938497044
"HBA1",2,0.254062822274817
"AMBP",2,0.621140899087343
"CDH6",3,0.358597990001443
"NRG3",1,0.576847197932183
"TTR",2,0.591429903137628
"GPC5",1,0.574459724901993
"HBG2",5,0.257783889454829
"RORA",1,0.528450695779774
"CPS1",5,0.596901675576297
"VTN",2,0.497844953652384
"ZBTB20",1,0.528527391312723
"GPC3",5,0.120257447272718
"PDGFD",7,0.34482758615981
"CFTR",7,0.230769230739941
"SEMA6D",3,0.289831010942413
"FARP2",1,0.0793189651894651
"SLC4A4",4,0.286168521439072
"CLDN6",4,0.119918237546192
"APOC1",2,0.543097185200104
"FAM171A1",3,0.0929439667844136
"ANKRD30B",5,0.0406209150258569
"LYPD6B",5,0.000859634040935968
"PKHD1",1,0.257051468425631
"WWOX",1,0.447112797318449
"FOXP2",1,0.392451777718695
"FGA",6,0.501783616101168
"GAS2",1,0.163588699419277
"BICC1",3,0.566854432212548
"DPYD",1,0.39490286932859
"C10orf11",1,0.410024251535503
"UGT2B15",3,0.0374401761812857
"PDE4B",3,0.00238049561948631
"MT1H",2,0.117134898744219
"SORBS2",1,0.2281858527094
"PIK3C2G",1,0.415746866713932
"GPC6",1,0.401870400236068
"NAALADL2",1,0.474419090536016
"RBP4",2,0.357517122287678
"HBG1",2,0.150647818296026
"APOLD1",8,0.129824561386693
"KCNT2",1,0.372060588769082
"APOH",2,0.241938738066498
"STAT1",3,0.458971755614044
"THRB",9,0.486448922813132
"SOX9",10,0.344827586161712
"DLC1",1,0.306842169562952
"NAA25",2,0.0670896065874951
"TENM1",1,0.228804455834194
"SPG7",2,0.0379278027869263
"TOP2A",8,0.255392579779757
"AGMO",1,0.344115756731537
"ASPM",8,0.493333333283342
"MYO1E",5,0.277736651269988
"DLGAP1",1,0.349833628506266
"CSPP1",3,0.502051898158605
"MAGI1",1,0.357934086439314
"STAR",11,0.4276729559258
"ACSM3",3,0.582781456905013
"APCDD1",4,0.150530277087438
"PDE3B",9,0.448834001420505
"SLC44A3",10,0.555555555506173
"PARD3B",1,0.324786726209135
"FABP1",2,0.308782359513569
"FHIT",1,0.36180923738771
"MT1E",2,0.107628225306079
"ANXA4",4,0.595238095189909
"PRR4",9,0.382730847646375
"ASS1",5,0.433281926967426
"CYP17A1",11,0.431746031696879
"VEPH1",7,0.34999999996535
"DHCR24",2,0.395996482043614
"SLC12A2",4,0.0621687062275815
"KCNMA1",4,0.0604821037157523
"HAL",5,0.289306094405312
"GRHL2",2,0.000633190263158472
"PTPRK",1,0.376114416956742
"SEPP1",6,0.656943563683535
"DCDC2",3,0.339163948979319
"ROBO1",1,0.164888651412874
"KLF12",1,0.308142128215937
"TTC28",4,0.0114191137133603
"SCD",6,0.339841182141738
"HMGCS1",6,0.445383473310972
"CTNND2",3,0.174720822199327
"CDC25C",2,0.00949164948854131
"PARD3",1,0.363555072936321
"CDK14",3,0.0123286598651538
"EXT1",1,0.367510668199854
"AGT",2,0.427450134694546
"VTCN1",7,0.473684210482438
"GLIS3",3,0.272143527919843
"RPLP1",2,0.0832812421274598
"SH3D19",1,0.246822251833019
"ITIH5",4,0.0756756756636637
"C7orf10",1,0.097419771943127
"TSHZ2",1,0.108142534932668
"FGG",6,0.355484608460017
"RALYL",1,0.0361277863621123
"SHANK2",1,0.0772057396378475
"FREM1",3,0.0763898373280077
"SOX4",4,0.0775895512619563
"NCKAP5",1,0.174237426121616
"PLCB1",3,0.00265889787912923
"ITIH2",2,0.273871770279892
"PLCXD2",1,0.15078587392427
"DLK1",2,0.246625391141542
"ITIH1",2,0.257942033033806
"FNDC3B",1,0.251429199240408
"ALDOB",6,0.639681153540239
"SLCO1B3",3,0.00345945580505171
"IMMP2L",3,0.0694673148458709
"ANXA13",3,0.122006940912737
"ANK1",12,0
"DAB1",4,0.00399324777927065
"DAPK1",4,0.00577089544949765
"PEBP1",6,0.489412254800823
"FOXP1",1,0.397508611527265
"EHBP1",4,0.00629092089975089
"DPYS",1,0.152419444531915
"A2M",2,0.243988562656658
