"gene","module","score"
"HORMAD1",22,0.508305647799205
"SCGB3A2",13,0.503837837437603
"TOP2A",4,0.449456564434436
"CENPF",7,0.318152732601434
"SFTPC",18,0.398863503994219
"DLG2",10,0.44133587839013
"MKI67",4,0.420067070928837
"CCL20",3,0.193514792873189
"NTN1",2,0.413183726601198
"ASPM",7,0.410501193268982
"ATP11A",1,0.352950354813104
"CP",13,0.210727663108975
"KAL1",2,0.382086275115015
"C5orf46",13,0.465602475519715
"SLPI",20,0.610169491478656
"GPC5",2,0.372312400595166
"CENPE",7,0.388261850968248
"LCN2",3,0.21498501495262
"SFTPB",17,0.165427980614069
"RALYL",8,0.291471605909164
"AQP4",6,0.100997183804872
"NCKAP5",2,0.244859208959954
"PIK3C2G",10,0.331319835947188
"DIAPH3",16,0.296385513702226
"STEAP4",3,0.181364392649068
"C3",3,0.147184165145419
"NUSAP1",4,0.369024856549989
"TPX2",7,0.213996889550632
"CXCL5",3,0.1933716352448
"ARHGAP11B",19,0.252101037114173
"GPRC5A",6,0.140617400682189
"SLC4A4",10,0.328735114961335
"BMPR1B",13,0.279971048985703
"JUN",11,0.197396717571213
"CLDN18",12,0.402393860542882
"APOLD1",19,0.197929034446545
"NEGR1",8,0.328189457558682
"ADAMTS6",23,0.430476190427157
"DMD",2,0.437351378481012
"CTNND2",2,0.413226870458038
"NPC2",18,0.481360355406488
"TUBA1B",4,0.153731333707155
"C10orf90",10,0.4524627431921
"GDF15",14,0.188563960640601
"CEBPD",18,0.433566012920164
"FMN1",10,0.389942699376347
"PRR11",7,0.272151898694488
"BRIP1",16,0.275332650932459
"TMEM132D",2,0.322319172984976
"TLL1",8,0.292173067535176
"LPHN3",2,0.342451322251918
"GALNT13",21,0.156417112276881
"ETV5",1,0.22599657146386
"FOS",11,0.326590225523986
"UBE2C",4,0.148465548729314
"IGF2",14,0.0805568868176898
"DUSP1",11,0.180244936946364
"CASC5",5,0.189983122799428
"KIAA1324",8,0.171842261599999
"ST6GALNAC5",2,0.108910902458571
"SMARCA5",12,0.393380869049537
"PTPRD",10,0.242158140124399
"DLGAP5",24,0.221784776872152
"KIF14",5,0.0807083180726368
"ADAMTSL1",2,0.340471793846429
"CDC25C",5,0.166719556921375
"FOSB",11,0.29417889867145
"CXCL1",3,0.139392966088579
"FAM129A",2,0.40846774188842
"TPPP3",15,0.312809851228362
"FOXP2",1,0.388924159508401
"FMO2",13,0.389830508424717
"SLC34A2",18,0.445073807022345
"KIF18B",19,0.327603639996389
"NAMPT",3,0.066839404467476
"CSF3",3,0.184202028001571
"PRC1",4,0.291215043570395
"CENPK",16,0.228445464762719
"RNF220",1,0.242688600410311
"CHST9",20,0.0479228730178438
"ELF3",3,0.0200657462158411
"PSD3",1,0.560834730712807
"MEGF11",22,0.216809848519498
"CLIC6",14,0.25685044565344
"EGR1",11,0.403030631827205
"TMSB10",9,0.444257734109611
"DMBT1",3,0.0937984549809817
"ICAM4",6,0.250350076069081
"CFH",13,0.353437433185109
"PTPRZ1",1,0.144997250774289
"COL11A1",1,0.280325740924235
"RBMS3",2,0.167813382980874
"CDH10",21,0.367924528255376
"ARL6IP1",7,0.184377148399736
"ICAM1",3,0.029940599493195
"CXCL2",3,0.10479928958994
"CCSER1",1,0.45993663110184
"HMGB2",4,0.306227687383134
"ACTG1",9,0.488586280437764
"NDNF",12,0.213024526732145
"SCGB3A1",20,0.620689655126219
"NAALADL2",1,0.505563645657066
"PTPN13",1,0.483639931405592
"SOX2",14,0.157434861493417
"GTSE1",7,0.244979604198235
"NHSL1",1,0.446197686953298
"H2AFX",4,0.215400778008535
"TESC",15,0.214996767277496
"NDC80",5,0.239035087682919
"CCNB1",24,0.239880952346341
"POLQ",16,0.178017532004241
"CENPP",16,0.234014789002862
"PCDH7",8,0.0672870141532719
"EMP2",6,0.215693262786075
"SDPR",6,0.249851744912319
"TUBB",4,0.0831312811749453
"HIST1H4C",5,0.0771252006818314
"SMOC2",2,0.329506922082317
"RPLP2",9,0.536982174190796
"ATF3",11,0.212131543403498
"ANXA1",6,0.163697156006446
"CPM",12,0.16085257012489
"NPNT",6,0.168051978432859
"ERBB4",2,0.244624397731376
"BUB1",19,0.269330052717068
"TMSB4X",9,0.366845705759832
"KIF4A",5,0.172882034571207
"DEPDC1B",19,0.221798928841583
