"gene","module","score"
"CPA2",6,0.603234409241906
"SYCN",6,0.66582117941016
"PCSK1N",12,0.393978304433411
"CTRB2",6,0.64300122121332
"CTRB1",6,0.564732647653755
"GP2",6,0.581868314317561
"CHGA",5,0.261625350869001
"CELA3A",6,0.576406216659586
"CPA1",6,0.644088864678886
"CTRC",6,0.436214139182728
"CEL",6,0.591705436177384
"DLK1",6,0.18671752486805
"GCG",13,0.603732162411034
"MT1G",6,0.326030630490636
"SST",11,0.467473626631367
"SERPINI2",6,0.535869622668753
"SPINK1",6,0.58732927192328
"PRSS1",6,0.342522796592788
"CFTR",3,0.299182182335461
"INS",7,0.310871915081837
"TTR",13,0.225919759292456
"REG1A",6,0.332706874941503
"CLPS",6,0.622822030316283
"IGF2",4,0.180360687318446
"MAFB",5,0.195431180887839
"KCNMB2",1,0.251772951159839
"SLC30A8",7,0.19113094298784
"PNLIPRP1",6,0.281602114257926
"ERP27",6,0.540780824940814
"NRXN1",1,0.498512923643445
"ROBO2",7,0.486032946392413
"RRBP1",4,0.433143885400918
"GATM",6,0.555515085815542
"RBPJL",10,0.274679999774439
"PTPRT",13,0.355467630312458
"TOP2A",2,0.526191022325448
"REG3G",6,0.21615970498685
"ACVR1C",7,0.601908065867081
"TTYH1",8,0.50265269229376
"MT1H",6,0.307105886783423
"MT1E",6,0.289414176933327
"PCSK1",7,0.16356915317731
"KLK1",6,0.390607489183286
"MT2A",6,0.272064823313041
"IAPP",16,0.297670446181535
"MAGI2",1,0.361455425078751
"PAX6",5,0.189906231675201
"SLC4A4",3,0.353986393330165
"PLAGL1",7,0.613506258005665
"PLA2G1B",6,0.379010262125943
"RARRES2",6,0.397953170769939
"CACNA1A",1,0.261498151218431
"SEL1L",6,0.509697590450852
"KCTD8",11,0.503869343041087
"RIMS2",1,0.370759267434734
"CELA3B",6,0.520511697676506
"GHRL",15,0.479350990047087
"IRX2",13,0.525481335621342
"PDZD2",7,0.404028414297524
"PDE4D",7,0.301799430310803
"CPB1",6,0.189343576685571
"NEUROD1",5,0.36633501442961
"CACNA1C",1,0.397912438563738
"PCSK2",9,0.299861945988172
"CACNA2D1",1,0.275283904911645
"DPEP1",6,0.461206865844105
"LINGO2",7,0.361431736958141
"TRPM3",1,0.0673068478964166
"KCNB2",1,0.326111928786144
"CENPF",2,0.425384018569284
"FXYD2",8,0.38131241421674
"ARX",13,0.29963266769996
"MKI67",2,0.472727272677421
"ST6GALNAC5",7,0.460037885067711
"IGFBP5",5,0.387158879780889
"RAB3B",5,0.352902370904572
"CCND1",8,0.504925746867403
"INSM1",5,0.241516859644676
"ATP1B1",8,0.381381354771773
"CRYBA2",12,0.212342685454496
"CPE",5,0.353989915333634
"ERO1LB",5,0.20706434012589
"ANKRD29",18,0.65853658532088
"DACH1",1,0.464257659023306
"PLCXD3",7,0.152704359971545
"NOL4",1,0.42156853017061
"RBP4",7,0.181181970580603
"SSR4",4,0.455215853779834
"ROBO1",1,0.135504874639312
"ISL1",5,0.306423880695624
"DCDC2",3,0.416955368901439
"ANKS1B",1,0.1037801106647
"CHGB",12,0.263765422202225
"CNTN4",7,0.268375980525369
"HS6ST3",1,0.222818790189156
"UNC5D",7,0.452222401034452
"PTPRN2",1,0.353015868717945
"EEF1A2",12,0.332523744235025
"BTBD11",13,0.538980569783003
"MEIS2",7,0.360229340103984
"MAP1B",5,0.353699895923528
"NLGN1",11,0.495582329666052
"CNTN5",11,0.502415107647648
"SCG5",6,0.379362830116554
"CTGF",8,0.200888258938961
"CADPS",1,0.320699259723629
"LEPR",11,0.386933242122194
"RUNX1T1",1,0.333477084400218
"TPX2",2,0.430595293807788
"TUBA1A",5,0.270841179726917
"P4HB",4,0.486124879676106
"STMN2",5,0.254104085710962
"BTG2",14,0.214967578515123
"BICC1",3,0.389386470002689
"KCNMA1",7,0.253821092008305
"MFAP4",7,0.278518467359967
"SGCD",7,0.42077541859849
"TFF3",6,0.258474703979847
"CCSER1",7,0.52507549730302
"MT1X",6,0.28567300836152
"SFRP5",8,0.493259989609081
"LRRTM4",1,0.181403294038176
"PLTP",4,0.424636194952106
"PAPLN",9,0.0073768596606288
"CNTNAP2",7,0.397573104475161
"RRM2",2,0.0927513320209407
"PTPRN",5,0.23418443344418
"ASIC2",7,0.217610066277856
"LRFN5",11,0.520796232214403
"ANXA4",3,0.296390762773553
"DSCAM",1,0.105776703104373
"NUSAP1",2,0.297455403794978
"SERPINA1",6,0.103798962445786
"COL18A1",8,0.258409211176933
"PRR11",2,0.287898262830428
"DCDC1",1,0.180692543372563
"ASPM",2,0.29669198199182
"CLU",6,0.153138014750629
"ACSL1",15,0.432574306566656
"TPT1",4,0.340616632526094
"NTRK2",8,0.15024781054233
"C5orf38",13,0.360678324898456
"CENPE",2,0.334682656908649
"ECEL1",7,0.245963601016658
"CNTN1",1,0.275467272647869
"ABCC8",7,0.270650127023631
"CACNB2",1,0.396754358047052
"CRH",11,0.249219410355952
"PDE3A",3,0.467015666092941
"HADH",7,0.24032998981115
"KIAA1244",9,0.188898481296328
"WWTR1",3,0.217799342319883
"GAD2",5,0.127877819919525
"RGS7",1,0.44465873133557
"CDC20",2,0.257126418191606
"KCTD16",10,0.121903156361784
"KCNK16",5,0.188659555278861
"P2RX1",4,0.281333146244794
"ST18",1,0.447296797350852
"FOXP2",7,0.450682566639874
"AMBP",6,0.287311486942992
"AGBL4",1,0.228504832789376
"AQP1",8,0.163136170953146
"LSAMP",11,0.246255003525218
"NCAM1",9,0.468492775426223
"CYBA",4,0.33550416816862
"FLRT2",10,0.0813966074688014
"PAX4",5,0.0113930593448428
"GLS",13,0.411421570509021
"CHST9",7,0.0791906844701644
"KIF5C",9,0.314724466628231
"BIRC5",2,0.25114688187148
"APLP1",12,0.350757825644811
"SCTR",3,0.41450777197211
"TK1",2,0.0778093435722699
"ZFP36L1",14,0.136575503926843
"EGR1",14,0.355250217072537
"MECOM",10,0.282498575343421
"MAP2",1,0.216570911797614
"GCK",7,0.513829166680815
"TENM2",1,0.174500958612047
"CAMK2N1",12,0.328266156809047
"KIAA1377",9,0.190810721269734
"ATF3",14,0.431938093514064
"RBPJ",4,0.120162051301725
"VWA5B2",5,0.365104077043735
"PPP1R1B",8,0.362372131387356
"NAALADL2",3,0.366282016735195
"KCNJ6",9,0.34737566606479
"PLCB1",10,0.174205787363859
"LAMA1",3,0.310800602764229
"TOX",1,0.221803100207436
"GTSE1",2,0.25599609144097
"PPFIA2",11,0.343637869461354
"JUN",14,0.0899726160852073
"UBE2C",2,0.297774505149961
"SYP",5,0.324133485957035
"WBSCR17",10,0.203506143782295
"CNIH2",5,0.37413163969668
"SOD3",8,0.400901910002146
"GUCY1A2",3,0.156974310085517
"SCG3",5,0.339546445057113
"ANXA2",8,0.119055804542377
"CXCL12",6,0.333026598385584
"HES4",8,0.412102878526135
"MYT1L",7,0.180278061394515
"RIMBP2",1,0.304808750938706
"GABRB3",1,0.0917743725306142
"SYT7",5,0.33936978548593
"CAMK1D",10,0.20801214136816
"MAFA",7,0.222499257283779
"NPAS3",1,0.257323735327443
"FEV",5,0.0344852487030944
"RFX6",1,0.289189544544313
"PKHD1",3,0.376195487207012
"TPD52",9,0.176391858218761
"BCAT1",4,0.416706711578169
"GLIS3",3,0.216187910841677
"GNAO1",9,0.339933869628782
"H3F3B",14,0.09090487285974
"CCNA2",2,0.315963861144615
"PPARGC1A",3,0.161591989401428
"ATP1A1",8,0.522964509344677
"MT1F",6,0.233610010430777
"PDZRN3",10,0.107079165738569
"KCNJ3",15,0.123708253757253
"FRMD4A",3,0.386556523888025
"TMEM132D",9,0.0852802556237233
"HECTD4",7,0.172540465682849
"FAM135B",1,0.328595729599355
"FGF14",15,0.0926157679114214
"CALB1",8,0.318937036797597
"DCC",13,0.301383819352476
"NKX2-2",5,0.15370733793963
"FMN2",1,0.189761123420319
"ECE1",10,0.0660932854807889
"PLK1",2,0.305506062404309
"CDKN1C",8,0.0609907434782425
"PEX5L",7,0.449657678809374
"SHANK2",3,0.399831147713193
"ZNF385B",10,0.141702404168132
"LRFN2",7,0.369473705273264
"PPIB",4,0.479693584878146
"PTPRD",13,0.214999810860622
"DIAPH3",2,0.10275425311932
"MOB1B",1,0.128768817105759
"DLGAP5",2,0.279445618542715
"SLC16A12",6,0.340052316498523
"CADM1",11,0.026597046008966
"NPDC1",12,0.410730540232338
"THSD4",15,0.251956551911519
"SPP1",8,0.277508944815937
"PLD1",3,0.341429067911008
"CDK1",2,0.271228778031995
"SAMD5",11,0.14809334923625
"FOSB",14,0.421049485045027
"DOCK10",7,0.375971726644538
"MAML2",3,0.165187047188847
"ID1",8,0.0777353277377484
"GPC6",1,0.117573015990519
"PPY",13,0.239876873955667
"CELF4",9,0.370891932225177
"SCG2",13,0.265879137291467
"RAMP1",4,0.367137584428125
"HDAC9",11,0.421874999951186
"KIAA0101",2,0.0362392692425156
"DCX",5,0.284470374342519
"FOS",14,0.308845905195043
"PCDH7",9,0.100869989819627
"HMGB2",2,0.304193270455338
"DSCAML1",1,0.106612511564871
"STMN1",5,0.159300545676589
"GNG4",7,0.30709113798954
"CTNND2",10,0.150708637586267
"CDK14",3,0.26708469534229
"KIF18B",2,0.11033016174565
"ZC3H18",4,0.556876014805617
"FRAS1",3,0.216032344007873
"HDLBP",4,0.517159849506862
"ADAMTS16",3,0.226074055188742
"NRG3",10,0.230432346922879
"AKR7A3",4,0.213687315795369
"PCLO",9,0.435845213800102
"DPP6",7,0.186128604700583
"PCDH17",8,0.13947264687008
"COL1A2",6,0.0190660706410558
"SDK1",1,0.205577556224977
"SEZ6L",13,0.234746238333612
"CACNA1D",9,0.163460762268335
"NKX6-3",11,0.155202120638293
"EYA2",17,0.0453873065146398
"GABRG2",11,0.150696623063021
"FXYD6",12,0.334368547204527
"CALCR",11,0.201465219970472
"PTPRE",7,0.37510114312889
"GRIA4",16,0.200631446118012
"HSPA1A",16,0.277153678930196
"FTH1",4,0.223712156635741
"ANLN",2,0.133237232114023
"KCNT2",1,0.106246885469707
"RPLP0",4,0.261836589719654
"ZFP36",14,0.390067703341671
"C1QL1",12,0.127640464222941
"CCNB1",2,0.161545639830008
"LYPD6B",3,0.314184394257584
"HEPACAM2",5,0.189810502188911
"CNTNAP4",7,0.245366660610477
"PSD3",7,0.345950719387905
"SCGN",5,0.502305397292014
"NR5A2",10,0.179955165413448
"PHACTR2",7,0.406637513329699
"CST3",12,0.110646423905873
"CTNNA2",1,0.245113321776489
"GNB2L1",4,0.258860420377818
"FTL",12,0.0773022044591997
"IER2",14,0.233366913305735
"NUCB2",4,0.374196394723592
"RGS17",9,0.217785671324631
"ITIH5",8,0.148142225001323
"ARHGAP11A",2,0.25755762389287
"GMNN",3,0.236938477752035
"PRC1",2,0.225720223870558
"LY6H",11,0.161030201662782
"TMEM178B",13,0.131452551693472
"FAM129A",6,0.23786259368354
"EEF2",4,0.358817237067328
"CADM2",17,0.246122373665873
"ISYNA1",8,0.410479019375931
"MAN1A1",9,0.128292893149566
"CASR",5,0.0458480383056514
"NEK2",2,0.221265522903793
"ZFP36L2",6,0.168066091342566
"SOX5",1,0.247017653260475
"PPP1R1A",11,0.0837158535448929
"PLXNC1",9,0.319875693737901
"GADD45B",14,0.0983470399206651
"CLDN10",8,0.149349940135786
"NEGR1",11,0.170126778494684
"DPP4",13,0.277667221430593
"PLCB4",1,0.173671456382048
"ATP2A3",5,0.201023214185752
"ELAVL4",1,0.108264969184349
"CELA2A",6,0.0588096691244057
"FOXM1",2,0.190054981780992
"SLC7A2",9,0.0595549499902552
"SAT1",8,0.279147230974042
"TENM3",7,0.153496540203408
"DACH2",16,0.165396261647886
"GNAS",12,0.228680968418633
"LPPR5",7,0.122134270241312
"SLC39A5",4,0.201164890898834
"BTBD17",5,0.111894303924925
"CACNG4",9,0.19287942525247
"RPLP1",4,0.146652657598973
"TSPAN5",1,0.189184871782422
"SPOCK1",10,0.0412709286456724
"HMGCLL1",9,0.115271700982795
"TCF4",9,0.206895464658903
"IL32",4,0.379308567523822
"CHRM3",10,0.203953441252429
"SEMA3A",11,0.179724153324455
"PSD",12,0.180814449752737
"KCTD12",5,0.075209723435573
"CRMP1",5,0.144064072418078
"NOTCH2NL",3,0.20363684611936
"MS4A8",11,0.218246921298106
"CAMK2B",5,0.197461237000008
"XBP1",4,0.560241882011572
"EYS",1,0.0602633327985439
"C14orf105",3,0.219709251402517
"GRIK2",1,0.258348565531419
"GRIA3",13,0.278521712747966
"PDIA6",4,0.528384978204485
"BCAM",4,0.127206025891051
