"gene","module","score"
"SLC8A1",3,0.262130876622182
"VCAN",25,0.515573584816793
"CD163",9,0.252844463656884
"FMNL2",9,0.274818129429287
"SKAP1",8,0.551351351301909
"NDST3",5,0.532960549239576
"SLC4A10",19,0.437086569093301
"KCNMA1",12,0.180845444614415
"CCDC26",5,0.376045900320476
"FRMD4B",5,0.139893968705658
"ADAP2",4,0.393005398798188
"DSCAM",5,0.421273034335243
"EPB41L2",5,0.169350139106508
"RGL1",9,0.319291155363163
"DMXL2",22,0.25189141786451
"THEMIS",16,0.249492512641317
"MARCO",5,0.257652292353793
"SIGLEC1",4,0.329005553301656
"FRMD4A",4,0.102490881494627
"RBM47",3,0.259039823236603
"FCN1",25,0.300726406254826
"CD247",21,0.27730426671844
"IL7R",11,0.20990874540525
"TCF7L2",15,0.116722893374501
"GRK3",3,0.282759060917772
"ITGA9",9,0.302190695560327
"PLXDC2",23,0.0484896482527495
"DAPK1",22,0.0995971958622873
"CD163L1",2,0.045406898096647
"INPP4B",8,0.357921026961593
"ZEB2",20,0.0674357486877774
"GNLY",20,0.297841555979057
"PRKCH",27,0.127527472861295
"MSR1",2,0.102657437199803
"MCTP1",3,0.176010100921539
"FYN",27,0.352084095781414
"TBXAS1",15,0.0528207195645858
"SLC1A3",2,0.118419536038397
"CPVL",7,0.176653087404285
"LGMN",2,0.107501664050879
"CAMK4",11,0.180886904700082
"MERTK",9,0.229899359058684
"DST",5,0.0725168142451412
"MARCH1",7,0.194007555349867
"WDFY3",3,0.37136653906421
"AC100849.1",9,0.48288321729444
"MS4A6A",7,0.268609718592239
"MRC1",9,0.380783069105027
"ABCA1",5,0.235412793222894
"NCKAP5",5,0.194805026170226
"DOCK4",9,0.171509253852725
"SAT1",7,0.176438473028777
"AC105402.3",1,0.00608787477313278
"MS4A7",9,0.117512509603711
"SASH1",22,0.0369013440581963
"CTSB",12,0.138805706938515
"KLRF1",21,0.207245176238333
"SYNE2",20,0.124531125367076
"SAMD3",28,0.31362188867641
"TNFAIP2",4,0.179669856604292
"AXL",4,0.290198295741922
"BCL11B",14,0.519152259327662
"FLT3",29,0.34359558309136
"ME1",5,0.0914057836971403
"MITF",2,0.23796426137442
"UBE2E2",3,0.348147893507876
"ITSN1",9,0.44812030073488
"CD5L",5,0.224514605122194
"RTN1",23,0.245458661550556
"SDC3",4,0.204928848466086
"FCHO2",2,0.315824376763735
"RIPOR2",11,0.196862552881709
"GAB2",3,0.366176228483766
"AC025569.1",5,0.349186410811072
"CD96",16,0.290390978603618
"RAB31",9,0.107299838104807
"AOAH",28,0.095308750731368
"HCK",15,0.135146203739442
"LRMDA",12,0.260409850731965
"MTSS1",15,0.0300252291634873
"VCAN-AS1",25,0.374672508377146
"MTRNR2L8",1,0.0103247739330494
"EPB41L3",9,0.356119562484408
"SLFN12L",14,0.403738487230962
"LINC02694",8,0.0379983755679158
