"gene","module","score"
"SLC8A1",23,0.213999131705558
"VCAN",28,0.289738746654121
"CD163",27,0.2580080948806
"FMNL2",27,0.140795217328188
"SKAP1",33,0.064824677468295
"NDST3",27,0.540102661617412
"SLC4A10",24,0.3162878853952
"KCNMA1",27,0.0887500950169471
"CCDC26",27,0.412040170124695
"FRMD4B",27,0.257154679231646
"ADAP2",6,0.137771249587568
"DSCAM",27,0.472484623666455
"EPB41L2",27,0.24521038242608
"RGL1",27,0.249793011609036
"DMXL2",23,0.0834275656973083
"THEMIS",33,0.245092015882005
"MARCO",27,0.268497917089215
"SIGLEC1",6,0.120245865850799
"FRMD4A",27,0.0446124868707576
"RBM47",27,0.0378037352341535
"FCN1",28,0.130500335479115
"CD247",26,0.229705776270108
"IL7R",24,0.0503063761488541
"TCF7L2",21,0.0593257083008137
"GRK3",21,0.0264962821507843
"ITGA9",27,0.321303461408036
"PLXDC2",16,0.0379734600491286
"DAPK1",27,0.0627474775358024
"CD163L1",27,0.103791224847818
"INPP4B",33,0.0898316530330221
"ZEB2",25,0.125466604742443
"GNLY",25,0.245113397714308
"PRKCH",26,0.0389976322014949
"MSR1",27,0.0320458778040102
"MCTP1",23,0.21647620646293
"FYN",26,0.022048323830187
"TBXAS1",23,0.100450392054335
"SLC1A3",20,0.0242680575174962
"CPVL",16,0.0154774681933319
"LGMN",27,0.0621197999731223
"CAMK4",12,0.039775659178847
"MERTK",27,0.0726971554878716
"DST",27,0.103497245026631
"MARCH1",23,0.158008001217885
"WDFY3",27,0.18195057944587
"AC100849.1",27,0.285232044779143
"MS4A6A",27,0.067216475503571
"MRC1",27,0.249510606689438
"ABCA1",27,0.170956191038354
"NCKAP5",27,0.358314001158854
"DOCK4",27,0.0380844135104165
"SAT1",21,0.00386048569910947
"AC105402.3",10,7.24013224731879e-05
"MS4A7",27,0.0444413877665989
"SASH1",27,0.0679676397711772
"CTSB",27,0.0610095170483595
"KLRF1",26,0.193028139271059
"SYNE2",25,0.118193739792395
"SAMD3",25,0.057041414915915
"TNFAIP2",6,0.0821443016743215
"AXL",6,0.111097324286309
"BCL11B",13,0.0385150446725498
"FLT3",31,0.211052922505427
"ME1",27,0.0921517684512523
"MITF",20,0.195714233144048
"UBE2E2",23,0.137553489574799
"ITSN1",27,0.171998222683391
"CD5L",27,0.31757398138708
"RTN1",16,0.211348131982932
"SDC3",6,0.119103912955376
"FCHO2",20,0.0492206006875281
"RIPOR2",25,0.0283406449748575
"GAB2",23,0.307802601031999
"AC025569.1",27,0.373850684810195
"CD96",13,0.0594252420312113
"RAB31",10,0.0344987934297865
"AOAH",26,0.0758372456297283
"HCK",21,0.0825630621892912
"LRMDA",23,0.0918109429632901
"MTSS1",21,0.0194446679704127
"VCAN-AS1",28,0.244253518996993
"MTRNR2L8",10,0.000915396706096183
"EPB41L3",10,0.041297229012798
"SLFN12L",13,0.129390105741154
"LINC02694",33,0.0783478253370666
"HS3ST2",20,0.20141321898578
"LILRB5",6,0.12366521017355
"TC2N",33,0.101873709306062
"NCAM1",26,0.21476880741252
"NKG7",25,0.0572764374118761
"CR1",27,0.425089068748254
"LYN",21,0.0927986318484178
"AC010967.1",24,0.268406777934812
"ADAMTS2",27,0.155300656152455
"MCTP2",26,0.219455109361625
"NRP1",27,0.0734203145910657
"LEF1",12,0.246602693987182
"SLC11A1",28,0.181652967433742
"ADAMTS17",26,0.30541684124043
"CARD11",13,0.0925137732844134
"IRAK3",28,0.107139630911106
"DYSF",27,0.268311565366303
"IFNG-AS1",33,0.129118535838131
"STON2",27,0.400787632070405
"SLC40A1",27,0.0983075189923131
"ETS1",12,0.0243292145608088
"CCND3",12,0.00753224204530022
"FGD2",21,0.00554664854580409
"TLR2",23,0.103657180593646
"CYBB",23,0.0685783172940598
"TCF4",27,0.165822335268137
"CIITA",16,0.239675157749414
"PDGFC",27,0.110926823759637
"ZNF710",3,0.0561891153077505
"STAT4",1,0.0445293001215111
"ATP8B4",26,0.0768990110935925
"PID1",23,0.0837956557238324
"CSF1R",6,0.0466284445192466
"RAP1GAP2",25,0.159346172250057
"PARP8",1,0.0336994763782694
"MS4A4E",27,0.0365127673026822
"HDAC9",16,0.00447545845433753
"BASP1",27,0.279101183796735
"MNDA",28,0.233040073690165
"SLCO2B1",27,0.0782755409441371
"TXK",26,0.172429356303451
"TOX",26,0.0812751079948546
"RAB20",27,0.0767383101544609
"CTSS",21,0.0757148772582801
"CMKLR1",6,0.0857581478630031
"GPNMB",20,0.104372439541767
"ZFHX3",3,0.0174542563171602
"RBMS3",27,0.448195945316605
"KLRD1",26,0.0900905304691857
"SYK",16,0.0103177543550434
"ANKRD44",1,0.073984942514961
"EXT1",27,0.378298325629296
"FMN1",20,0.0237830158988146
"FGF13",27,0.413554345676426
"SPIRE1",27,0.0981460981056975
"IDO1",31,0.234816402806687
"LRRK1",16,0.00787302635758182
"CSF3R",28,0.228559984654509
"EDA",27,0.285089055101449
"TRPV4",6,0.115960409596869
"GAS7",3,0.02378859986832
"PYHIN1",25,0.144127545307281
"PLCB1",24,0.167295870750439
"AC099560.1",31,0.436831165277323
"WDFY4",31,0.456587628988619
"LTB",24,0.0259462342617673
"ARHGAP15",12,0.110830034503726
"CHST15",21,0.0234246183133753
"MYBL1",24,0.0462559826127305
"TNS3",27,0.0174429437898422
"ADAM12",24,0.222638506833463
"WSB1",6,0.0579720085432959
"LRP1",6,0.0513368519633988
"KIAA1217",27,0.384660079829179
"ETV5",27,0.274557071125941
"LINC00861",12,0.0138043584108945
"NPL",20,0.0641568043204752
"SPRED1",23,0.129510785270653
"SLC22A23",27,0.0665305101462009
"TMEM26",27,0.406685138400912
"PTPRC",1,0.0932971962138343
"IL23R",24,0.176160097331309
"MEF2C",16,0.105544899092405
"HRH1",6,0.10590813189419
"NCR1",26,0.21099006005183
"TOX2",26,0.278922821541253
"RNF144B",10,0.0892733754968918
"NAMPT",10,0.0829064587167167
"CCDC88A",23,0.05801683069033
"BNC2",26,0.0737222532662349
"PDE4B",27,0.0986548280267072
"GRAP2",33,0.139500083553525
"CYFIP1",6,0.0191812643991347
"TRIO",3,0.0163228397957891
"RORA",24,0.0257621754586392
"LINC01934",33,0.305434535786975
"NCALD",25,0.100008083799951
"SULF2",31,0.00646683641161061
